"행정구역","2021년03월_계_총인구수","2021년03월_계_연령구간인구수","2021년03월_계_0~9세","2021년03월_계_10~19세","2021년03월_계_20~29세","2021년03월_계_30~39세","2021년03월_계_40~49세","2021년03월_계_50~59세","2021년03월_계_60~69세","2021년03월_계_70~79세","2021년03월_계_80~89세","2021년03월_계_90~99세","2021년03월_계_100세 이상","2021년03월_남_총인구수","2021년03월_남_연령구간인구수","2021년03월_남_0~9세","2021년03월_남_10~19세","2021년03월_남_20~29세","2021년03월_남_30~39세","2021년03월_남_40~49세","2021년03월_남_50~59세","2021년03월_남_60~69세","2021년03월_남_70~79세","2021년03월_남_80~89세","2021년03월_남_90~99세","2021년03월_남_100세 이상","2021년03월_여_총인구수","2021년03월_여_연령구간인구수","2021년03월_여_0~9세","2021년03월_여_10~19세","2021년03월_여_20~29세","2021년03월_여_30~39세","2021년03월_여_40~49세","2021년03월_여_50~59세","2021년03월_여_60~69세","2021년03월_여_70~79세","2021년03월_여_80~89세","2021년03월_여_90~99세","2021년03월_여_100세 이상"
"충청남도 금산군 (4471000000)","50,953","50,953","2,492","4,269","3,925","3,605","6,121","8,864","10,074","6,790","4,247","557","9","25,692","25,692","1,271","2,218","2,258","1,907","3,357","4,909","5,136","3,098","1,411","126","1","25,261","25,261","1,221","2,051","1,667","1,698","2,764","3,955","4,938","3,692","2,836","431","8"
"충청남도 금산군 금산읍(4471025000)","22,593","22,593","1,619","2,445","2,159","2,060","3,499","3,718","3,462","2,346","1,148","134","3","11,092","11,092","799","1,246","1,211","1,046","1,810","1,911","1,650","989","405","25","0","11,501","11,501","820","1,199","948","1,014","1,689","1,807","1,812","1,357","743","109","3"
"충청남도 금산군 금성면(4471031000)","3,299","3,299","88","151","212","196","293","596","758","545","383","75","2","1,701","1,701","57","82","132","109","165","349","390","261","137","18","1","1,598","1,598","31","69","80","87","128","247","368","284","246","57","1"
"충청남도 금산군 제원면(4471032000)","2,794","2,794","75","104","182","147","237","476","723","464","340","46","0","1,462","1,462","41","66","116","88","152","272","385","226","105","11","0","1,332","1,332","34","38","66","59","85","204","338","238","235","35","0"
"충청남도 금산군 부리면(4471033000)","2,457","2,457","65","70","97","111","172","411","637","458","383","51","2","1,233","1,233","32","32","58","68","115","258","324","213","122","11","0","1,224","1,224","33","38","39","43","57","153","313","245","261","40","2"
"충청남도 금산군 군북면(4471034000)","2,523","2,523","125","137","134","139","249","417","591","416","279","36","0","1,260","1,260","62","69","78","73","141","248","308","188","85","8","0","1,263","1,263","63","68","56","66","108","169","283","228","194","28","0"
"충청남도 금산군 남일면(4471035000)","2,880","2,880","83","418","157","125","247","418","596","444","358","34","0","1,449","1,449","47","202","96","63","148","247","314","207","117","8","0","1,431","1,431","36","216","61","62","99","171","282","237","241","26","0"
"충청남도 금산군 남이면(4471036000)","2,130","2,130","55","164","104","76","157","423","490","364","263","34","0","1,095","1,095","26","88","70","35","94","243","275","167","92","5","0","1,035","1,035","29","76","34","41","63","180","215","197","171","29","0"
"충청남도 금산군 진산면(4471037000)","3,217","3,217","72","213","190","139","300","627","722","565","352","37","0","1,616","1,616","42","119","97","68","174","364","376","258","109","9","0","1,601","1,601","30","94","93","71","126","263","346","307","243","28","0"
"충청남도 금산군 복수면(4471038000)","3,032","3,032","76","145","196","189","290","564","750","484","287","51","0","1,596","1,596","37","85","113","97","179","335","396","247","93","14","0","1,436","1,436","39","60","83","92","111","229","354","237","194","37","0"
"충청남도 금산군 추부면(4471039000)","6,028","6,028","234","422","494","423","677","1,214","1,345","704","454","59","2","3,188","3,188","128","229","287","260","379","682","718","342","146","17","0","2,840","2,840","106","193","207","163","298","532","627","362","308","42","2"
