"ÇàÁ¤±¸¿ª","2021³â05¿ù_°è_ÃÑÀÎ±¸¼ö","2021³â05¿ù_°è_¿¬·É±¸°£ÀÎ±¸¼ö","2021³â05¿ù_°è_0~9¼¼","2021³â05¿ù_°è_10~19¼¼","2021³â05¿ù_°è_20~29¼¼","2021³â05¿ù_°è_30~39¼¼","2021³â05¿ù_°è_40~49¼¼","2021³â05¿ù_°è_50~59¼¼","2021³â05¿ù_°è_60~69¼¼","2021³â05¿ù_°è_70~79¼¼","2021³â05¿ù_°è_80~89¼¼","2021³â05¿ù_°è_90~99¼¼","2021³â05¿ù_°è_100¼¼ ÀÌ»ó","2021³â05¿ù_³²_ÃÑÀÎ±¸¼ö","2021³â05¿ù_³²_¿¬·É±¸°£ÀÎ±¸¼ö","2021³â05¿ù_³²_0~9¼¼","2021³â05¿ù_³²_10~19¼¼","2021³â05¿ù_³²_20~29¼¼","2021³â05¿ù_³²_30~39¼¼","2021³â05¿ù_³²_40~49¼¼","2021³â05¿ù_³²_50~59¼¼","2021³â05¿ù_³²_60~69¼¼","2021³â05¿ù_³²_70~79¼¼","2021³â05¿ù_³²_80~89¼¼","2021³â05¿ù_³²_90~99¼¼","2021³â05¿ù_³²_100¼¼ ÀÌ»ó","2021³â05¿ù_¿©_ÃÑÀÎ±¸¼ö","2021³â05¿ù_¿©_¿¬·É±¸°£ÀÎ±¸¼ö","2021³â05¿ù_¿©_0~9¼¼","2021³â05¿ù_¿©_10~19¼¼","2021³â05¿ù_¿©_20~29¼¼","2021³â05¿ù_¿©_30~39¼¼","2021³â05¿ù_¿©_40~49¼¼","2021³â05¿ù_¿©_50~59¼¼","2021³â05¿ù_¿©_60~69¼¼","2021³â05¿ù_¿©_70~79¼¼","2021³â05¿ù_¿©_80~89¼¼","2021³â05¿ù_¿©_90~99¼¼","2021³â05¿ù_¿©_100¼¼ ÀÌ»ó"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ (2917000000)","428,262","428,262","32,734","42,128","61,820","55,009","66,607","71,487","54,545","29,612","12,469","1,782","69","212,637","212,637","16,750","22,217","32,539","28,646","33,428","35,078","25,910","13,295","4,415","354","5","215,625","215,625","15,984","19,911","29,281","26,363","33,179","36,409","28,635","16,317","8,054","1,428","64"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï1µ¿(2917051000)","4,916","4,916","226","186","935","953","614","662","679","457","181","21","2","2,536","2,536","109","107","404","507","373","382","363","211","71","8","1","2,380","2,380","117","79","531","446","241","280","316","246","110","13","1"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï2µ¿(2917052000)","6,814","6,814","269","460","1,341","777","860","982","982","763","337","42","1","3,472","3,472","138","229","691","464","450","520","477","338","147","18","0","3,342","3,342","131","231","650","313","410","462","505","425","190","24","1"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÁßÈï3µ¿(2917053000)","4,840","4,840","263","301","915","691","712","660","638","454","186","18","2","2,542","2,542","140","163","467","404","410","369","311","197","76","5","0","2,298","2,298","123","138","448","287","302","291","327","257","110","13","2"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ Áß¾Óµ¿(2917055500)","3,177","3,177","85","110","483","420","381","551","561","374","166","41","5","1,682","1,682","47","49","231","245","238","324","296","179","63","9","1","1,495","1,495","38","61","252","175","143","227","265","195","103","32","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ÀÓµ¿(2917057000)","7,880","7,880","529","552","987","1,091","1,139","1,197","1,184","857","299","44","1","3,878","3,878","281","289","490","543","608","608","523","391","138","7","0","4,002","4,002","248","263","497","548","531","589","661","466","161","37","1"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ½Å¾Èµ¿(2917058000)","11,966","11,966","443","686","2,265","1,787","1,569","1,896","1,715","1,088","466","47","4","6,285","6,285","219","354","1,172","1,034","925","1,031","855","495","189","11","0","5,681","5,681","224","332","1,093","753","644","865","860","593","277","36","4"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿ëºÀµ¿(2917059000)","38,477","38,477","2,600","3,761","7,185","4,760","5,551","6,672","4,577","2,360","895","115","1","19,191","19,191","1,298","2,002","3,786","2,564","2,785","3,166","2,159","1,075","330","26","0","19,286","19,286","1,302","1,759","3,399","2,196","2,766","3,506","2,418","1,285","565","89","1"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï1µ¿(2917060100)","19,444","19,444","1,723","2,267","2,514","2,254","3,095","3,094","2,712","1,292","427","63","3","9,380","9,380","884","1,157","1,294","1,076","1,415","1,453","1,265","651","171","14","0","10,064","10,064","839","1,110","1,220","1,178","1,680","1,641","1,447","641","256","49","3"
"±¤ÁÖ±¤¿ª½Ã ºÏ±¸ ¿î¾Ï2µ¿(2917060200)","12,109","12,109","538","881","1,720","1,303","1,625","2,121","2,105","1,248","513","52","3","6,101","6,101","248","449","912","753","843","1,102","980","589","215","10","0","6,008","6,008","290","432","808","550","782","1,019","1,125","659","298","42","3"
