"행정구역","2021년07월_계_총인구수","2021년07월_계_연령구간인구수","2021년07월_계_0~9세","2021년07월_계_10~19세","2021년07월_계_20~29세","2021년07월_계_30~39세","2021년07월_계_40~49세","2021년07월_계_50~59세","2021년07월_계_60~69세","2021년07월_계_70~79세","2021년07월_계_80~89세","2021년07월_계_90~99세","2021년07월_계_100세 이상","2021년07월_남_총인구수","2021년07월_남_연령구간인구수","2021년07월_남_0~9세","2021년07월_남_10~19세","2021년07월_남_20~29세","2021년07월_남_30~39세","2021년07월_남_40~49세","2021년07월_남_50~59세","2021년07월_남_60~69세","2021년07월_남_70~79세","2021년07월_남_80~89세","2021년07월_남_90~99세","2021년07월_남_100세 이상","2021년07월_여_총인구수","2021년07월_여_연령구간인구수","2021년07월_여_0~9세","2021년07월_여_10~19세","2021년07월_여_20~29세","2021년07월_여_30~39세","2021년07월_여_40~49세","2021년07월_여_50~59세","2021년07월_여_60~69세","2021년07월_여_70~79세","2021년07월_여_80~89세","2021년07월_여_90~99세","2021년07월_여_100세 이상"
"서울특별시 서초구 (1165000000)","418,294","418,294","32,536","44,898","53,490","61,001","76,130","62,960","48,264","27,121","10,024","1,758","112","200,107","200,107","16,747","22,881","25,727","28,047","35,718","31,076","22,302","12,669","4,432","478","30","218,187","218,187","15,789","22,017","27,763","32,954","40,412","31,884","25,962","14,452","5,592","1,280","82"
"서울특별시 서초구 서초1동(1165051000)","20,698","20,698","1,419","1,930","2,804","3,504","3,769","2,992","2,375","1,316","499","89","1","9,965","9,965","743","999","1,340","1,634","1,808","1,445","1,127","626","213","30","0","10,733","10,733","676","931","1,464","1,870","1,961","1,547","1,248","690","286","59","1"
"서울특별시 서초구 서초2동(1165052000)","23,900","23,900","2,072","2,194","3,214","4,564","4,436","3,175","2,408","1,346","415","69","7","11,362","11,362","995","1,152","1,449","2,053","2,124","1,597","1,119","632","216","22","3","12,538","12,538","1,077","1,042","1,765","2,511","2,312","1,578","1,289","714","199","47","4"
"서울특별시 서초구 서초3동(1165053000)","32,425","32,425","1,748","2,828","5,440","5,549","5,068","4,925","3,748","2,169","811","131","8","15,664","15,664","913","1,614","2,500","2,613","2,378","2,415","1,783","1,049","361","34","4","16,761","16,761","835","1,214","2,940","2,936","2,690","2,510","1,965","1,120","450","97","4"
"서울특별시 서초구 서초4동(1165053100)","30,990","30,990","2,916","4,153","3,525","3,495","6,229","4,824","3,106","1,850","751","125","16","15,093","15,093","1,563","2,145","1,722","1,480","2,891","2,522","1,458","894","372","43","3","15,897","15,897","1,353","2,008","1,803","2,015","3,338","2,302","1,648","956","379","82","13"
"서울특별시 서초구 잠원동(1165054000)","27,005","27,005","2,021","3,351","3,439","3,546","5,215","4,553","2,836","1,354","570","114","6","12,959","12,959","1,047","1,722","1,650","1,612","2,380","2,327","1,343","617","227","31","3","14,046","14,046","974","1,629","1,789","1,934","2,835","2,226","1,493","737","343","83","3"
"서울특별시 서초구 반포본동(1165055000)","8,892","8,892","414","1,373","1,145","672","1,595","1,714","961","725","257","30","6","4,235","4,235","222","710","572","292","675","846","466","304","135","12","1","4,657","4,657","192","663","573","380","920","868","495","421","122","18","5"
"서울특별시 서초구 반포1동(1165056000)","33,780","33,780","3,224","3,739","4,207","5,523","6,980","4,457","3,245","1,736","562","99","8","16,426","16,426","1,626","1,893","1,929","2,569","3,471","2,360","1,507","805","240","25","1","17,354","17,354","1,598","1,846","2,278","2,954","3,509","2,097","1,738","931","322","74","7"
"서울특별시 서초구 반포2동(1165057000)","15,750","15,750","1,746","2,810","1,325","1,416","3,627","2,151","1,361","923","339","44","8","7,520","7,520","932","1,379","649","538","1,634","1,177","633","411","156","7","4","8,230","8,230","814","1,431","676","878","1,993","974","728","512","183","37","4"
"서울특별시 서초구 반포3동(1165058000)","22,279","22,279","1,933","2,972","2,475","2,520","4,528","3,571","2,275","1,364","524","106","11","10,602","10,602","1,007","1,518","1,237","1,119","2,020","1,812","1,043","600","216","29","1","11,677","11,677","926","1,454","1,238","1,401","2,508","1,759","1,232","764","308","77","10"
