기준날짜,누적확진자수,누적사망자수
2020-01-20,0,0
2020-01-21,0,0
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,1,0
2020-02-02,3,0
2020-02-03,3,0
2020-02-04,4,0
2020-02-05,5,0
2020-02-06,6,0
2020-02-07,6,0
2020-02-08,6,0
2020-02-09,6,0
2020-02-10,6,0
2020-02-11,6,0
2020-02-12,6,0
2020-02-13,6,0
2020-02-14,6,0
2020-02-15,6,0
2020-02-16,6,0
2020-02-17,6,0
2020-02-18,6,0
2020-02-19,10,0
2020-02-20,12,0
2020-02-21,29,0
2020-02-22,57,1
2020-02-23,94,1
2020-02-24,126,1
2020-02-25,146,1
2020-02-26,178,1
2020-02-27,237,1
2020-02-28,303,1
2020-02-29,437,1
2020-03-01,518,1
2020-03-02,631,1
2020-03-03,712,1
2020-03-04,791,1
2020-03-05,845,1
2020-03-06,888,1
2020-03-07,942,1
2020-03-08,976,1
2020-03-09,1006,1
2020-03-10,1031,1
2020-03-11,1083,1
2020-03-12,1101,1
2020-03-13,1117,1
2020-03-14,1133,1
2020-03-15,1142,1
2020-03-16,1148,1
2020-03-17,1165,1
2020-03-18,1172,1
2020-03-19,1182,1
2020-03-20,1194,1
2020-03-21,1204,1
2020-03-22,1223,1
2020-03-23,1230,1
2020-03-24,1236,1
2020-03-25,1248,1
2020-03-26,1254,1
2020-03-27,1258,1
2020-03-28,1280,1
2020-03-29,1294,1
2020-03-30,1299,1
2020-03-31,1315,1
2020-04-01,1326,1
2020-04-02,1337,2
2020-04-03,1350,2
2020-04-04,1358,2
2020-04-05,1370,2
2020-04-06,1375,2
2020-04-07,1382,2
2020-04-08,1387,3
2020-04-09,1394,3
2020-04-10,1396,3
2020-04-11,1398,3
2020-04-12,1400,3
2020-04-13,1401,3
2020-04-14,1405,3
2020-04-15,1408,3
2020-04-16,1410,3
2020-04-17,1411,3
2020-04-18,1412,3
2020-04-19,1412,3
2020-04-20,1412,3
2020-04-21,1413,3
2020-04-22,1417,3
2020-04-23,1418,3
2020-04-24,1418,3
2020-04-25,1420,3
2020-04-26,1421,3
2020-04-27,1422,3
2020-04-28,1423,3
2020-04-29,1426,3
2020-04-30,1427,3
2020-05-01,1429,3
2020-05-02,1430,3
2020-05-03,1432,3
2020-05-04,1435,3
2020-05-05,1436,3
2020-05-06,1436,3
2020-05-07,1436,3
2020-05-08,1438,3
2020-05-09,1438,3
2020-05-10,1442,3
2020-05-11,1446,3
2020-05-12,1448,3
2020-05-13,1450,3
2020-05-14,1451,3
2020-05-15,1453,3
2020-05-16,1454,3
2020-05-17,1457,3
2020-05-18,1462,3
2020-05-19,1462,3
2020-05-20,1468,3
2020-05-21,1471,3
2020-05-22,1473,3
2020-05-23,1474,3
2020-05-24,1481,3
2020-05-25,1483,3
2020-05-26,1486,3
2020-05-27,1489,3
2020-05-28,1503,3
2020-05-29,1513,3
2020-05-30,1517,3
2020-05-31,1521,3
2020-06-01,1527,3
2020-06-02,1529,3
2020-06-03,1534,3
2020-06-04,1536,3
2020-06-05,1540,3
2020-06-06,1551,3
2020-06-07,1559,3
2020-06-08,1564,3
2020-06-09,1568,3
2020-06-10,1569,3
2020-06-11,1573,3
2020-06-12,1575,3
2020-06-13,1578,3
2020-06-14,1584,3
2020-06-15,1595,3
2020-06-16,1599,3
2020-06-17,1601,3
2020-06-18,1607,3
2020-06-19,1610,3
2020-06-20,1618,3
2020-06-21,1623,3
2020-06-22,1624,3
2020-06-23,1633,3
2020-06-24,1645,3
2020-06-25,1647,3
2020-06-26,1652,3
2020-06-27,1658,3
2020-06-28,1667,3
2020-06-29,1673,3
2020-06-30,1681,3
2020-07-01,1683,3
2020-07-02,1685,3
2020-07-03,1691,3
2020-07-04,1699,3
2020-07-05,1710,3
2020-07-06,1716,3
2020-07-07,1723,3
2020-07-08,1738,3
2020-07-09,1749,3
2020-07-10,1754,3
2020-07-11,1756,3
2020-07-12,1761,3
2020-07-13,1770,3
2020-07-14,1773,3
2020-07-15,1782,3
2020-07-16,1791,3
2020-07-17,1805,3
2020-07-18,1814,3
2020-07-19,1817,3
2020-07-20,1821,3
2020-07-21,1824,3
2020-07-22,1834,3
2020-07-23,1842,3
2020-07-24,1848,3
2020-07-25,1882,3
2020-07-26,1897,3
2020-07-27,1900,3
2020-07-28,1907,3
2020-07-29,1918,3
2020-07-30,1922,3
2020-07-31,1930,3
2020-08-01,1936,3
2020-08-02,1944,3
2020-08-03,1946,3
2020-08-04,1952,3
2020-08-05,1956,3
2020-08-06,1959,3
2020-08-07,1964,3
2020-08-08,1968,3
2020-08-09,1971,4
2020-08-10,1974,4
2020-08-11,1978,4
2020-08-12,1990,4
2020-08-13,1995,4
2020-08-14,2011,4
2020-08-15,2035,4
2020-08-16,2070,4
2020-08-17,2093,4
2020-08-18,2120,4
2020-08-19,2159,4
2020-08-20,2191,4
2020-08-21,2233,4
2020-08-22,2281,4
2020-08-23,2343,4
2020-08-24,2382,4
2020-08-25,2415,4
2020-08-26,2457,4
2020-08-27,2528,4
2020-08-28,2580,4
2020-08-29,2627,4
2020-08-30,2665,4
2020-08-31,2693,4
2020-09-01,2717,4
2020-09-02,2741,4
2020-09-03,2770,4
2020-09-04,2797,4
2020-09-05,2816,4
2020-09-06,2841,4
2020-09-07,2857,4
2020-09-08,2874,4
2020-09-09,2889,4
2020-09-10,2906,4
2020-09-11,2928,4
2020-09-12,2946,4
2020-09-13,2957,4
2020-09-14,2968,4
2020-09-15,2986,4
2020-09-16,3003,4
2020-09-17,3023,4
2020-09-18,3044,4
2020-09-19,3053,4
2020-09-20,3067,4
2020-09-21,3073,4
2020-09-22,3083,4
2020-09-23,3097,4
2020-09-24,3114,4
2020-09-25,3129,4
2020-09-26,3134,4
2020-09-27,3146,4
2020-09-28,3151,4
2020-09-29,3158,4
2020-09-30,3178,4
2020-10-01,3192,4
2020-10-02,3198,4
2020-10-03,3209,4
2020-10-04,3222,4
2020-10-05,3230,4
2020-10-06,3232,4
2020-10-07,3242,4
2020-10-08,3251,4
2020-10-09,3257,4
2020-10-10,3263,4
2020-10-11,3271,4
2020-10-12,3287,4
2020-10-13,3304,4
2020-10-14,3315,4
2020-10-15,3326,4
2020-10-16,3336,4
2020-10-17,3341,4
2020-10-18,3355,4
2020-10-19,3370,4
2020-10-20,3382,4
2020-10-21,3400,4
2020-10-22,3418,4
2020-10-23,3439,4
2020-10-24,3448,4
2020-10-25,3459,4
2020-10-26,3481,4
2020-10-27,3495,4
2020-10-28,3512,4
2020-10-29,3526,4
2020-10-30,3545,4
2020-10-31,3563,4
2020-11-01,3588,4
2020-11-02,3607,4
2020-11-03,3613,4
2020-11-04,3624,4
2020-11-05,3647,4
2020-11-06,3673,4
2020-11-07,3694,4
2020-11-08,3716,4
2020-11-09,3735,4
2020-11-10,3746,4
2020-11-11,3758,4
2020-11-12,3780,4
2020-11-13,3804,4
2020-11-14,3833,4
2020-11-15,3860,4
2020-11-16,3889,4
2020-11-17,3925,4
2020-11-18,3976,4
2020-11-19,4028,4
2020-11-20,4081,4
2020-11-21,4137,4
2020-11-22,4201,4
2020-11-23,4250,4
2020-11-24,4310,4
2020-11-25,4385,4
2020-11-26,4478,4
2020-11-27,4574,4
2020-11-28,4669,4
2020-11-29,4738,4
2020-11-30,4796,4
2020-12-01,4859,5
2020-12-02,4938,5
2020-12-03,5031,5
2020-12-04,5120,5
2020-12-05,5197,5
2020-12-06,5270,5
2020-12-07,5343,5
2020-12-08,5424,5
2020-12-09,5520,5
2020-12-10,5612,5
2020-12-11,5714,5
2020-12-12,5857,5
2020-12-13,6007,5
2020-12-14,6126,5
2020-12-15,6251,5
2020-12-16,6393,6
2020-12-17,6534,6
2020-12-18,6668,6
2020-12-19,6821,6
2020-12-20,6974,6
2020-12-21,7098,6
2020-12-22,7222,6
2020-12-23,7365,6
2020-12-24,7498,6
2020-12-25,7695,7
2020-12-26,7873,7
2020-12-27,8032,7
2020-12-28,8152,7
2020-12-29,8324,7
2020-12-30,8487,7
2020-12-31,8621,7
2021-01-01,8775,7
2021-01-02,8880,7
2021-01-03,8969,7
2021-01-04,9141,7
2021-01-05,9255,7
2021-01-06,9365,8
2021-01-07,9520,8
2021-01-08,9604,8
2021-01-09,9693,8
2021-01-10,9785,9
2021-01-11,9846,9
2021-01-12,9937,9
2021-01-13,10019,9
2021-01-14,10104,9
2021-01-15,10184,9
2021-01-16,10263,9
2021-01-17,10345,9
2021-01-18,10411,9
2021-01-19,10483,9
2021-01-20,10541,9
2021-01-21,10594,9
2021-01-22,10646,9
2021-01-23,10705,10
2021-01-24,10765,10
2021-01-25,10811,10
2021-01-26,10861,10
2021-01-27,10946,10
2021-01-28,11026,10
2021-01-29,11100,10
2021-01-30,11167,10
2021-01-31,11212,10
2021-02-01,11251,10
2021-02-02,11303,12
2021-02-03,11395,12
2021-02-04,11471,12
2021-02-05,11514,12
2021-02-06,11574,12
2021-02-07,11618,12
2021-02-08,11671,12
2021-02-09,11723,12
2021-02-10,11793,12
2021-02-11,11858,12
2021-02-12,11905,12
2021-02-13,11954,12
2021-02-14,11994,12
2021-02-15,12041,12
2021-02-16,12119,12
2021-02-17,12207,12
2021-02-18,12285,12
2021-02-19,12364,12
2021-02-20,12433,12
2021-02-21,12477,12
2021-02-22,12505,12
2021-02-23,12552,12
2021-02-24,12617,12
2021-02-25,12684,12
2021-02-26,12738,12
2021-02-27,12800,13
2021-02-28,12855,14
2021-03-01,12900,14
2021-03-02,12952,14
2021-03-03,13033,14
2021-03-04,13107,14
2021-03-05,13180,14
2021-03-06,13245,14
2021-03-07,13298,14
2021-03-08,13346,14
2021-03-09,13429,14
2021-03-10,13498,14
2021-03-11,13573,14
2021-03-12,13640,14
2021-03-13,13715,14
2021-03-14,13789,14
2021-03-15,13842,14
2021-03-16,13891,14
2021-03-17,13976,14
2021-03-18,14058,14
2021-03-19,14133,14
2021-03-20,14204,14
2021-03-21,14276,14
2021-03-22,14343,14
2021-03-23,14396,14
2021-03-24,14462,14
2021-03-25,14530,14
2021-03-26,14614,14
2021-03-27,14692,14
2021-03-28,14755,14
2021-03-29,14822,14
2021-03-30,14906,14
2021-03-31,15007,14
2021-04-01,15088,14
2021-04-02,15173,14
2021-04-03,15270,14
2021-04-04,15350,14
2021-04-05,15423,14
2021-04-06,15505,14
2021-04-07,15619,14
2021-04-08,15729,14
2021-04-09,15854,14
2021-04-10,15980,14
2021-04-11,16070,14
2021-04-12,16164,14
2021-04-13,16244,14
2021-04-14,16358,14
2021-04-15,16476,14
2021-04-16,16586,14
2021-04-17,16695,14
2021-04-18,16804,14
2021-04-19,16882,14
2021-04-20,16993,14
2021-04-21,17121,14
2021-04-22,17253,14
2021-04-23,17372,14
2021-04-24,17484,14
2021-04-25,17577,14
2021-04-26,17654,14
2021-04-27,17733,14
2021-04-28,17853,14
2021-04-29,17959,14
2021-04-30,18068,14
2021-05-01,18178,14
2021-05-02,18269,14
2021-05-03,18356,14
2021-05-04,18439,14
2021-05-05,18555,14
2021-05-06,18659,14
2021-05-07,18729,14
2021-05-08,18841,14
2021-05-09,18913,14
2021-05-10,18985,14
2021-05-11,19086,15
2021-05-12,19199,15
2021-05-13,19326,15
2021-05-14,19459,15
2021-05-15,19570,15
2021-05-16,19664,15
