기준날짜	누적확진자수	누적검사자수	누적사망자수	일일확진자수	일일검사자수	일일사망자수
20200120	1	4	0	1	4	0
20200121	1	15	0	0	11	0
20200122	1	21	0	0	6	0
20200123	1	25	0	0	4	0
20200124	2	29	0	1	4	0
20200125	2	47	0	0	18	0
20200126	3	56	0	1	9	0
20200127	4	84	0	1	28	0
20200128	4	137	0	0	53	0
20200129	4	208	0	0	71	0
20200130	7	275	0	3	67	0
20200131	11	335	0	4	60	0
20200201	12	371	0	1	36	0
20200202	15	429	0	3	58	0
20200203	15	490	0	0	61	0
20200204	16	607	0	1	117	0
20200205	21	714	0	5	107	0
20200206	24	885	0	3	171	0
20200207	24	1130	0	0	245	0
20200208	24	1701	0	0	571	0
20200209	27	2340	0	3	639	0
20200210	28	2776	0	1	436	0
20200211	28	3629	0	0	853	0
20200212	28	5074	0	0	1445	0
20200213	28	5797	0	0	723	0
20200214	28	6854	0	0	1057	0
20200215	28	7519	0	0	665	0
20200216	30	7919	0	2	400	0
20200217	30	8171	0	0	252	0
20200218	32	9265	0	2	1094	0
20200219	66	10411	0	34	1146	0
20200220	82	12161	1	16	1750	1
20200221	156	14816	1	74	2655	0
20200222	346	19621	3	190	4805	2
20200223	556	22633	3	210	3012	0
20200224	763	28615	7	207	5982	4
20200225	893	36716	8	130	8101	1
20200226	1146	46127	11	253	9411	3
20200227	1595	57990	12	449	11863	1
20200228	2022	70940	13	427	12950	1
20200229	2931	85693	16	909	14753	3
20200301	3526	96985	17	595	11292	1
20200302	4212	109591	23	686	12606	6
20200303	4812	125851	28	600	16260	5
20200304	5328	136707	32	516	10856	4
20200305	5766	146541	35	438	9834	3
20200306	6284	164740	42	518	18199	7
20200307	6767	178189	44	483	13449	2
20200308	7134	188518	50	367	10329	6
20200309	7382	196618	51	248	8100	1
20200310	7513	210144	54	131	13526	3
20200311	7755	222395	60	242	12251	6
20200312	7869	234998	66	114	12603	6
20200313	7979	248647	67	110	13649	1
20200314	8086	261335	72	107	12688	5
20200315	8162	268212	75	76	6877	3
20200316	8236	274504	75	74	6292	0
20200317	8320	286716	81	84	12212	6
20200318	8413	295647	84	93	8931	3
20200319	8565	307024	91	152	11377	7
20200320	8652	316664	94	87	9640	3
20200321	8799	327509	102	147	10845	8
20200322	8897	331780	104	98	4271	2
20200323	8961	338036	111	64	6256	7
20200324	9037	348582	120	76	10546	9
20200325	9137	357896	126	100	9314	6
20200326	9241	364942	131	104	7046	5
20200327	9332	376961	139	91	12019	8
20200328	9478	387925	144	146	10964	5
20200329	9583	394141	152	105	6216	8
20200330	9661	398902	158	78	4761	6
20200331	9786	410564	162	125	11662	4
20200401	9887	421547	165	101	10983	3
20200402	9976	431743	169	89	10196	4
20200403	10062	443273	174	86	11530	5
20200404	10156	455032	177	94	11759	3
20200405	10237	461233	183	81	6201	6
20200406	10284	466804	186	47	5571	3
20200407	10331	477304	192	47	10500	6
20200408	10384	486003	200	53	8699	8
20200409	10423	494711	204	39	8708	4
20200410	10450	503051	208	27	8340	4
20200411	10480	510479	211	30	7428	3
20200412	10512	514621	214	32	4142	3
20200413	10537	518743	217	25	4122	3
20200414	10564	527438	222	27	8695	5
20200415	10591	534552	225	27	7114	3
20200416	10613	538775	229	22	4223	4
20200417	10635	546463	230	22	7688	1
20200418	10653	554834	232	18	8371	2
20200419	10661	559109	234	8	4275	2
20200420	10674	563035	236	13	3926	2
20200421	10683	571014	237	9	7979	1
20200422	10694	577959	238	11	6945	1
20200423	10702	583971	240	8	6012	2
20200424	10708	589520	240	6	5549	0
20200425	10718	595161	240	10	5641	0
20200426	10728	598285	242	10	3124	2
20200427	10738	601660	243	10	3375	1
20200428	10752	608514	244	14	6854	1
20200429	10761	614197	246	9	5683	2
20200430	10765	619881	247	4	5684	1
20200501	10774	623069	248	9	3188	1
20200502	10780	627562	250	6	4493	2
20200503	10793	630973	250	13	3411	0
20200504	10801	633921	252	8	2948	2
20200505	10804	640237	254	3	6316	2
20200506	10806	643095	255	2	2858	1
20200507	10810	649388	256	4	6293	1
20200508	10822	654863	256	12	5475	0
20200509	10840	660030	256	18	5167	0
20200510	10874	663886	256	34	3856	0
20200511	10909	668492	256	35	4606	0
20200512	10936	680890	258	27	12398	2
20200513	10962	695920	259	26	15030	1
20200515	11018	726747	260	56	30827	1
20200516	11037	740645	262	19	13898	2
20200517	11050	747653	262	13	7008	0
20200518	11065	753211	263	15	5558	1
20200519	11078	765574	263	13	12363	0
20200520	11110	776433	263	32	10859	0
20200521	11122	788684	264	12	12251	1
20200522	11142	802418	264	20	13734	0
20200523	11165	814420	266	23	12002	2
20200524	11190	820289	266	25	5869	0
20200525	11206	826437	267	16	6148	1
20200526	11225	839475	269	19	13038	2
20200527	11265	852876	269	40	13401	0
20200528	11344	868666	269	79	15790	0
20200529	11402	885120	269	58	16454	0
20200530	11441	902901	269	39	17781	0
20200531	11468	910822	270	27	7921	1
20200601	11503	921391	271	35	10569	1
20200602	11541	939851	272	38	18460	1
20200603	11590	956852	273	49	17001	1
20200604	11629	973858	273	39	17006	0
20200605	11668	990960	273	39	17102	0
20200606	11719	1005305	273	51	14345	0
20200607	11776	1012769	273	57	7464	0
20200608	11813	1018214	273	37	5445	0
20200609	11851	1035997	274	38	17783	1
20200610	11901	1051972	276	50	15975	2
20200611	11946	1066888	276	45	14916	0
20200612	12002	1081486	277	56	14598	1
20200613	12050	1094704	277	48	13218	0
20200614	12084	1100327	277	34	5623	0
20200615	12121	1105719	277	37	5392	0
20200616	12155	1119767	278	34	14048	1
20200617	12198	1132823	279	43	13056	1
20200618	12257	1145712	280	59	12889	1
20200619	12306	1158063	280	49	12351	0
20200620	12373	1170901	280	67	12838	0
20200621	12421	1176463	280	48	5562	0
20200622	12438	1182066	280	17	5603	0
20200623	12484	1196012	281	46	13946	1
20200624	12535	1208597	281	51	12585	0
20200625	12563	1220478	282	28	11881	1
20200626	12602	1232315	282	39	11837	0
20200627	12653	1243780	282	51	11465	0
20200628	12715	1251695	282	62	7915	0
20200629	12757	1259954	282	42	8259	0
20200630	12799	1273765	282	42	13811	0
20200701	12850	1285231	282	51	11466	0
20200702	12904	1295962	282	54	10731	0
20200703	12965	1307759	282	61	11797	0
20200704	13028	1319521	283	63	11762	1
20200705	13089	1326055	283	61	6534	0
20200706	13137	1331796	284	48	5741	1
20200707	13181	1346194	285	44	14398	1
20200708	13243	1359734	285	62	13540	0
20200709	13293	1371771	287	50	12037	2
20200710	13338	1384890	288	45	13119	1
20200711	13373	1396941	288	35	12051	0
20200712	13417	1402144	289	44	5203	1
20200713	13479	1408312	289	62	6168	0
20200714	13512	1420616	289	33	12304	0
20200715	13551	1431316	289	39	10700	0
20200716	13612	1441348	291	61	10032	2
20200717	13672	1451017	293	60	9669	2
20200718	13711	1460204	294	39	9187	1
20200719	13745	1465299	295	34	5095	1
20200720	13771	1470193	296	26	4894	1
20200721	13816	1482390	296	45	12197	0
20200722	13879	1492071	297	63	9681	1
20200723	13938	1500854	297	59	8783	0
20200724	13979	1510327	298	41	9473	1
20200725	14092	1518634	298	113	8307	0
20200726	14150	1522926	298	58	4292	0
20200727	14175	1526974	299	25	4048	1
20200728	14203	1537704	300	28	10730	1
20200729	14251	1547307	300	48	9603	0
20200730	14269	1556215	300	18	8908	0
20200731	14305	1563796	301	36	7581	1
20200801	14336	1571830	301	31	8034	0
20200802	14366	1576246	301	30	4416	0
20200803	14389	1579757	301	23	3511	0
20200804	14423	1589780	301	34	10023	0
20200805	14456	1598187	302	33	8407	1
20200806	14499	1606487	302	43	8300	0
20200807	14519	1613652	303	20	7165	1
20200808	14562	1620514	304	43	6862	1
20200809	14598	1624650	305	36	4136	1
20200810	14626	1628303	305	28	3653	0
20200811	14660	1637844	305	34	9541	0
20200812	14714	1646652	305	54	8808	0
20200813	14770	1654898	305	56	8246	0
20200814	14873	1665084	305	103	10186	0
20200815	15039	1675296	305	166	10212	0
20200816	15318	1681787	305	279	6491	0
20200817	15515	1688470	305	197	6683	0
20200818	15761	1697042	306	246	8572	1
20200819	16058	1715064	306	297	18022	0
20200820	16346	1734083	307	288	19019	1
20200821	16670	1754123	309	324	20040	2
20200822	17002	1775800	309	332	21677	0
20200823	17398	1791186	309	396	15386	0
20200824	17664	1804422	309	266	13236	0
20200825	17944	1825837	310	280	21415	1
20200826	18264	1849506	312	320	23669	2
20200827	18705	1869579	313	441	20073	1
20200828	19076	1887717	316	371	18138	3
20200829	19399	1909329	321	323	21612	5
20200830	19698	1924170	323	299	14841	2
20200831	19946	1937689	324	248	13519	1
20200901	20181	1959080	324	235	21391	0
