지역,구분,2017-05-22 09:00:52,2017-05-29 09:00:52,2017-06-05 09:00:52,2017-06-12 09:00:52,2017-06-19 09:00:52,2017-06-26 09:00:52,2017-07-03 09:00:52,2017-07-10 09:00:52,2017-07-17 09:00:52,2017-07-24 09:00:52,2017-07-31 09:00:52,2017-08-07 09:00:52,2017-08-14 09:00:52,2017-08-21 09:00:52,2017-08-28 09:00:52,2017-09-04 09:00:52,2017-09-11 09:00:52,2017-09-18 09:00:52,2017-09-25 09:00:52,2017-10-09 09:00:52,2017-10-16 09:00:52,2017-10-23 09:00:52,2017-10-30 09:00:52,2017-11-06 09:00:52,2017-11-13 09:00:52,2017-11-20 09:00:52,2017-11-27 09:00:52,2017-12-04 09:00:52,2017-12-11 09:00:52,2017-12-18 09:00:52,2017-12-25 09:00:52,2018-01-01 09:00:52,2018-01-08 09:00:52,2018-01-15 09:00:52,2018-01-22 09:00:52,2018-01-29 09:00:52,2018-02-05 09:00:52,2018-02-19 09:00:52,2018-02-26 09:00:52,2018-03-05 09:00:52,2018-03-12 09:00:52,2018-03-19 09:00:52,2018-03-26 09:00:52,2018-04-02 09:00:52,2018-04-09 09:00:52,2018-04-16 09:00:52,2018-04-23 09:00:52,2018-04-30 09:00:52,2018-05-07 09:00:52,2018-05-14 09:00:52,2018-05-21 09:00:52,2018-05-28 09:00:52,2018-06-04 09:00:52,2018-06-11 09:00:52,2018-06-18 09:00:52,2018-06-25 09:00:52,2018-07-02 09:00:52,2018-07-09 09:00:52,2018-07-16 09:00:52,2018-07-23 09:00:52,2018-07-30 09:00:52,2018-08-06 09:00:52,2018-08-13 09:00:52,2018-08-20 09:00:52,2018-08-27 09:00:52,2018-09-03 09:00:52,2018-09-10 09:00:52,2018-09-17 09:00:52,2018-10-01 09:00:52,2018-10-08 09:00:52,2018-10-15 09:00:52,2018-10-22 09:00:52,2018-10-29 09:00:52,2018-11-05 09:00:52,2018-11-12 09:00:52,2018-11-19 09:00:52,2018-11-26 09:00:52,2018-12-03 09:00:52,2018-12-10 09:00:52,2018-12-17 09:00:52,2018-12-24 09:00:52,2018-12-31 09:00:52,2019-01-07 09:00:52,2019-01-14 09:00:52,2019-01-21 09:00:52,2019-01-28 09:00:52,2019-02-11 09:00:52,2019-02-18 09:00:52,2019-02-25 09:00:52,2019-03-04 09:00:52,2019-03-11 09:00:52,2019-03-18 09:00:52,2019-03-25 09:00:52,2019-04-01 09:00:52,2019-04-08 09:00:52,2019-04-15 09:00:52,2019-04-22 09:00:52,2019-04-29 09:00:52,2019-05-06 09:00:52,2019-05-13 09:00:52,2019-05-20 09:00:52,2019-05-27 09:00:52,2019-06-03 09:00:52,2019-06-10 09:00:52,2019-06-17 09:00:52,2019-06-24 09:00:52,2019-07-01 09:00:52,2019-07-08 09:00:52,2019-07-15 09:00:52,2019-07-22 09:00:52,2019-07-29 09:00:52,2019-08-05 09:00:52,2019-08-12 09:00:52,2019-08-19 09:00:52,2019-08-26 09:00:52,2019-09-02 09:00:52,2019-09-16 09:00:52,2019-09-23 09:00:52,2019-09-30 09:00:52,2019-10-07 09:00:52,2019-10-14 09:00:52,2019-10-21 09:00:52,2019-10-28 09:00:52,2019-11-04 09:00:52,2019-11-11 09:00:52,2019-11-18 09:00:52,2019-11-25 09:00:52,2019-12-02 09:00:52,2019-12-09 09:00:52,2019-12-16 09:00:52,2019-12-23 09:00:52,2019-12-30 09:00:52,2020-01-06 09:00:52,2020-01-13 09:00:52,2020-01-20 09:00:52,2020-02-03 09:00:52,2020-02-10 09:00:52,2020-02-17 09:00:52,2020-02-24 09:00:52,2020-03-02 09:00:52,2020-03-09 09:00:52,2020-03-16 09:00:52,2020-03-23 09:00:52,2020-03-30 09:00:52,2020-04-06 09:00:52,2020-04-13 09:00:52,2020-04-20 09:00:52,2020-05-04 09:00:52,2020-05-11 09:00:52,2020-05-18 09:00:52,2020-05-25 09:00:52,2020-06-01 09:00:52,2020-06-08 09:00:52,2020-06-15 09:00:52,2020-06-22 09:00:52,2020-06-29 09:00:52,2020-07-06 09:00:52,2020-07-13 09:00:52,2020-07-20 09:00:52,2020-07-27 09:00:52,2020-08-03 09:00:52,2020-08-10 09:00:52,2020-08-17 09:00:52,2020-08-24 09:00:52,2020-08-31 09:00:52,2020-09-07 09:00:52,2020-09-14 09:00:52,2020-09-21 09:00:52,2020-10-05 09:00:52,2020-10-12 09:00:52,2020-10-19 09:00:52,2020-10-26 09:00:52,2020-11-02 09:00:52,2020-11-09 09:00:52,2020-11-16 09:00:52,2020-11-23 09:00:52,2020-11-30 09:00:52,2020-12-07 09:00:52,2020-12-14 09:00:52,2020-12-21 09:00:52,2020-12-28 09:00:52,2021-01-04 09:00:52,2021-01-11 09:00:52,2021-01-18 09:00:52,2021-01-25 09:00:52,2021-02-01 09:00:52,2021-02-15 09:00:52,2021-02-22 09:00:52,2021-03-01 09:00:52,2021-03-08 09:00:52,2021-03-15 09:00:52,2021-03-22 09:00:52,2021-03-29 09:00:52,2021-04-05 09:00:52,2021-04-12 09:00:52,2021-04-19 09:00:52,2021-04-26 09:00:52,2021-05-03 09:00:52,2021-05-10 09:00:52,2021-05-17 09:00:52,2021-05-24 09:00:52,2021-05-31 09:00:52,2021-06-07 09:00:52,2021-06-14 09:00:52,2021-06-21 09:00:52,2021-06-28 09:00:52,2021-07-05 09:00:52,2021-07-12 09:00:52,2021-07-19 09:00:52,2021-07-26 09:00:52,2021-08-02 09:00:52,2021-08-09 09:00:52,2021-08-16 09:00:52,2021-08-23 09:00:52,2021-08-30 09:00:52,2021-09-06 09:00:52,2021-09-13 09:00:52,2021-09-27 09:00:52,2021-10-04 09:00:52,2021-10-11 09:00:52,2021-10-18 09:00:52,2021-10-25 09:00:52,2021-11-01 09:00:52,2021-11-08 09:00:52,2021-11-15 09:00:52,2021-11-22 09:00:52,2021-11-29 09:00:52,2021-12-06 09:00:52,2021-12-13 09:00:52,2021-12-20 09:00:52,2021-12-27 09:00:52,2022-01-03 09:00:52,2022-01-10 09:00:52,2022-01-17 09:00:52,2022-01-24 09:00:52,2022-02-07 09:00:52,2022-02-14 09:00:52,2022-02-21 09:00:52,2022-02-28 09:00:52,2022-03-07 09:00:52,2022-03-14 09:00:52,2022-03-21 09:00:52,2022-03-28 09:00:52,2022-04-04 09:00:52,2022-04-11 09:00:52,2022-04-18 09:00:52,2022-04-25 09:00:52,2022-05-02 09:00:52,2022-05-09 09:00:52,2022-05-16 09:00:52,Unnamed: 252
전국,대형,71.144,71.167,71.207,71.243,71.284,71.327,71.344,71.369,71.418,71.473,71.532,71.543,71.553,71.572,71.589,71.619,71.615,71.622,71.641,71.662,71.678,71.712,71.729,71.756,71.8,71.835,71.877,71.913,71.954,71.986,72.041,72.093,72.194,72.274,72.378,72.428,72.543,72.668,72.718,72.792,72.859,72.93,72.997,73.047,73.061,73.113,73.162,73.18,73.197,73.228,73.243,73.262,73.322,73.352,73.39,73.428,73.441,73.473,73.518,73.553,73.617,73.67,73.772,73.998,74.231,74.495,74.8,75.033,75.159,75.336,75.411,75.474,75.499,75.517,75.531,75.549,75.561,75.586,75.591,75.59,75.595,75.589,75.588,75.584,75.605,75.6,75.601,75.585,75.558,75.566,75.567,75.533,75.497,75.493,75.482,75.45,75.426,75.405,75.412,75.412,75.402,75.397,75.388,75.375,75.394,75.402,75.44,75.458,75.472,75.473,75.496,75.519,75.535,75.568,75.585,75.63,75.668,75.74,75.782,75.824,75.872,75.911,75.958,76.039,76.095,76.196,76.284,76.393,76.527,76.59,76.668,76.744,76.806,76.904,76.994,77.134,77.242,77.369,77.484,77.542,77.683,77.765,77.801,77.815,77.837,77.842,77.877,77.891,77.934,77.956,78.015,78.099,78.168,78.25,78.501,78.729,78.949,79.127,79.3,79.454,79.667,79.829,80.022,80.221,80.379,80.489,80.656,80.885,81.173,81.3,81.583,81.812,82.195,82.492,82.825,83.122,83.537,83.945,84.297,84.581,84.911,85.167,85.581,86.019,86.33,86.734,87.279,87.539,87.856,88.134,88.416,88.775,89.147,89.517,89.786,90.047,90.288,90.492,90.745,90.988,91.308,91.648,92.036,92.42,92.636,92.928,93.165,93.548,93.87,94.149,94.388,94.653,94.906,95.321,95.774,96.166,96.488,96.862,97.168,97.461,97.818,98.043,98.3,98.525,98.781,98.999,99.27,99.529,99.701,99.81,99.902,99.943,100.0,100.06,100.082,100.122,100.144,100.173,100.203,100.239,100.283,100.283,100.283,100.451,100.501,100.568,100.652,100.746,100.826,100.863,0.036
전국,중대형,68.843,68.876,68.948,69.004,69.05,69.099,69.14,69.211,69.273,69.352,69.452,69.473,69.492,69.51,69.53,69.537,69.55,69.566,69.593,69.616,69.643,69.668,69.696,69.739,69.763,69.802,69.839,69.875,69.912,69.947,69.991,70.037,70.091,70.157,70.23,70.303,70.382,70.493,70.561,70.635,70.683,70.735,70.784,70.812,70.84,70.858,70.892,70.914,70.932,70.956,70.967,70.984,71.017,71.044,71.073,71.1,71.113,71.136,71.14,71.181,71.26,71.304,71.408,71.587,71.827,72.104,72.419,72.619,72.766,72.902,73.012,73.055,73.136,73.169,73.198,73.227,73.252,73.268,73.289,73.289,73.295,73.297,73.297,73.302,73.306,73.301,73.279,73.271,73.248,73.238,73.219,73.185,73.164,73.155,73.14,73.123,73.114,73.093,73.091,73.082,73.061,73.051,73.04,73.033,73.027,73.031,73.037,73.043,73.06,73.069,73.077,73.09,73.121,73.143,73.176,73.205,73.245,73.285,73.325,73.381,73.414,73.472,73.524,73.582,73.624,73.713,73.775,73.869,73.957,74.039,74.142,74.21,74.283,74.389,74.466,74.66,74.848,74.993,75.124,75.232,75.346,75.477,75.57,75.635,75.681,75.702,75.737,75.767,75.811,75.887,75.945,76.036,76.137,76.298,76.563,76.794,77.057,77.304,77.516,77.741,77.938,78.15,78.342,78.565,78.793,78.979,79.192,79.385,79.547,79.753,80.01,80.329,80.646,81.002,81.418,81.821,82.211,82.604,83.031,83.347,83.756,84.084,84.506,84.867,85.311,85.775,86.247,86.751,87.201,87.556,87.919,88.329,88.708,88.984,89.251,89.504,89.783,90.005,90.273,90.527,90.889,91.25,91.692,92.093,92.45,92.827,93.126,93.468,93.872,94.163,94.434,94.792,95.126,95.585,95.978,96.359,96.764,97.174,97.49,97.805,98.156,98.488,98.737,98.994,99.144,99.338,99.489,99.637,99.735,99.855,99.931,99.969,100.0,100.039,100.055,100.106,100.129,100.159,100.171,100.193,100.245,100.245,100.245,100.347,100.394,100.435,100.463,100.51,100.541,100.561,0.02
전국,중형,70.976,71.013,71.109,71.186,71.212,71.298,71.357,71.399,71.46,71.553,71.701,71.744,71.755,71.755,71.783,71.803,71.828,71.852,71.875,71.888,71.937,71.969,71.983,72.0,72.047,72.121,72.14,72.168,72.204,72.244,72.278,72.34,72.408,72.453,72.527,72.583,72.656,72.767,72.841,72.897,72.93,72.97,73.008,73.044,73.044,73.072,73.088,73.099,73.106,73.124,73.139,73.152,73.175,73.207,73.212,73.221,73.24,73.257,73.284,73.332,73.413,73.575,73.631,73.897,74.13,74.37,74.654,74.872,75.03,75.199,75.312,75.38,75.486,75.503,75.565,75.571,75.544,75.544,75.56,75.569,75.603,75.602,75.618,75.62,75.603,75.572,75.58,75.542,75.512,75.482,75.412,75.344,75.253,75.207,75.203,75.204,75.173,75.14,75.103,75.067,75.049,75.02,75.008,74.991,74.98,74.981,74.981,74.941,74.943,74.94,74.908,74.896,74.937,74.926,74.907,74.922,74.939,74.948,74.971,75.009,75.07,75.1,75.127,75.182,75.247,75.306,75.365,75.435,75.497,75.557,75.668,75.78,75.848,75.986,76.067,76.158,76.339,76.516,76.723,76.908,77.09,77.223,77.283,77.328,77.371,77.401,77.441,77.452,77.536,77.615,77.668,77.738,77.835,77.934,78.137,78.382,78.599,78.865,79.049,79.282,79.47,79.727,79.939,80.165,80.379,80.545,80.669,80.76,80.901,81.066,81.211,81.519,81.867,82.133,82.315,82.838,83.241,83.667,84.06,84.569,84.859,85.08,85.519,85.908,86.188,86.533,86.914,87.256,87.715,88.125,88.381,88.696,89.095,89.486,89.781,90.119,90.372,90.619,90.841,91.132,91.486,91.688,92.108,92.509,92.84,93.143,93.334,93.589,93.915,94.114,94.39,94.698,95.11,95.62,95.983,96.4,96.717,97.202,97.595,98.088,98.371,98.588,98.781,98.882,99.082,99.269,99.433,99.553,99.751,99.88,99.902,99.943,100.0,100.058,100.098,100.113,100.142,100.106,100.141,100.154,100.044,100.044,100.044,100.162,100.184,100.292,100.309,100.352,100.367,100.412,0.045
전국,중소형,73.135,73.161,73.219,73.274,73.325,73.367,73.403,73.454,73.501,73.56,73.61,73.634,73.65,73.654,73.668,73.681,73.694,73.714,73.73,73.748,73.774,73.808,73.836,73.863,73.892,73.906,73.927,73.955,73.981,74.009,74.038,74.063,74.105,74.144,74.193,74.237,74.301,74.366,74.426,74.468,74.504,74.528,74.55,74.578,74.597,74.607,74.617,74.624,74.641,74.647,74.665,74.668,74.684,74.687,74.699,74.709,74.71,74.708,74.705,74.72,74.748,74.789,74.866,75.018,75.223,75.416,75.681,75.852,75.991,76.115,76.175,76.211,76.229,76.257,76.256,76.271,76.278,76.274,76.26,76.247,76.236,76.223,76.208,76.188,76.159,76.126,76.088,76.054,76.018,75.995,75.947,75.886,75.837,75.803,75.78,75.762,75.74,75.703,75.682,75.66,75.628,75.571,75.534,75.508,75.492,75.485,75.471,75.448,75.426,75.405,75.389,75.384,75.393,75.389,75.392,75.39,75.39,75.395,75.407,75.431,75.448,75.478,75.494,75.517,75.553,75.597,75.648,75.709,75.783,75.857,75.935,75.992,76.053,76.121,76.203,76.326,76.447,76.565,76.688,76.78,76.906,77.005,77.085,77.145,77.19,77.218,77.249,77.28,77.305,77.359,77.415,77.476,77.574,77.703,77.955,78.15,78.339,78.55,78.742,78.923,79.067,79.253,79.418,79.594,79.753,79.901,80.056,80.211,80.376,80.531,80.72,80.946,81.163,81.409,81.696,82.058,82.363,82.688,83.092,83.379,83.737,84.03,84.356,84.665,84.979,85.357,85.782,86.196,86.616,86.956,87.29,87.64,87.971,88.283,88.531,88.833,89.138,89.388,89.675,89.922,90.268,90.609,90.973,91.332,91.657,92.016,92.344,92.695,93.06,93.431,93.736,94.144,94.507,94.966,95.403,95.837,96.279,96.806,97.209,97.549,97.952,98.322,98.59,98.824,99.041,99.249,99.413,99.555,99.668,99.781,99.872,99.937,100.0,100.05,100.099,100.136,100.164,100.191,100.21,100.233,100.265,100.265,100.265,100.407,100.448,100.501,100.558,100.611,100.647,100.674,0.027
전국,소형,75.257,75.287,75.349,75.424,75.479,75.536,75.578,75.634,75.691,75.755,75.811,75.825,75.829,75.838,75.849,75.853,75.853,75.856,75.874,75.887,75.909,75.918,75.932,75.961,75.966,75.978,75.984,75.999,76.015,76.019,76.037,76.056,76.077,76.095,76.128,76.166,76.194,76.249,76.289,76.315,76.347,76.381,76.395,76.396,76.385,76.394,76.401,76.403,76.398,76.398,76.407,76.399,76.401,76.398,76.367,76.353,76.348,76.352,76.342,76.354,76.371,76.403,76.465,76.567,76.755,76.931,77.165,77.309,77.448,77.516,77.508,77.52,77.506,77.517,77.509,77.485,77.474,77.466,77.444,77.416,77.395,77.38,77.361,77.313,77.262,77.232,77.16,77.115,77.064,77.007,76.899,76.817,76.742,76.686,76.664,76.638,76.607,76.567,76.528,76.482,76.445,76.329,76.285,76.241,76.193,76.19,76.18,76.142,76.132,76.125,76.085,76.083,76.091,76.097,76.088,76.091,76.078,76.082,76.091,76.1,76.11,76.103,76.104,76.108,76.13,76.165,76.209,76.263,76.326,76.375,76.43,76.484,76.528,76.582,76.665,76.746,76.834,76.931,77.02,77.095,77.205,77.292,77.35,77.387,77.424,77.442,77.47,77.505,77.509,77.542,77.59,77.652,77.735,77.837,78.084,78.279,78.468,78.665,78.836,78.992,79.12,79.301,79.45,79.599,79.698,79.816,79.946,80.07,80.195,80.312,80.429,80.558,80.727,80.876,81.079,81.35,81.593,81.832,82.123,82.364,82.584,82.782,83.039,83.281,83.508,83.799,84.16,84.518,84.888,85.158,85.467,85.769,86.071,86.406,86.652,86.977,87.26,87.539,87.869,88.11,88.512,88.872,89.249,89.601,89.944,90.392,90.793,91.194,91.598,92.014,92.381,92.89,93.364,93.966,94.625,95.192,95.76,96.357,96.782,97.14,97.649,98.026,98.437,98.755,99.001,99.195,99.327,99.489,99.641,99.79,99.884,99.937,100.0,100.065,100.125,100.186,100.247,100.279,100.323,100.368,100.428,100.428,100.428,100.644,100.711,100.814,100.901,100.97,101.073,101.14,0.066
서울특별시,대형,68.48,68.557,68.673,68.754,68.848,68.926,69.002,69.083,69.223,69.302,69.48,69.5,69.52,69.546,69.566,69.599,69.602,69.608,69.657,69.699,69.764,69.833,69.861,69.95,70.036,70.122,70.236,70.326,70.451,70.56,70.647,70.814,71.03,71.246,71.539,71.699,71.959,72.355,72.457,72.641,72.86,73.029,73.161,73.195,73.227,73.358,73.42,73.451,73.475,73.554,73.585,73.609,73.648,73.668,73.681,73.708,73.754,73.853,73.899,73.989,74.142,74.27,74.553,75.077,75.576,76.288,76.807,77.129,77.333,77.681,77.734,77.79,77.819,77.847,77.875,77.893,77.902,77.909,77.919,77.915,77.914,77.914,77.911,77.916,77.926,77.912,77.858,77.84,77.773,77.77,77.754,77.726,77.679,77.698,77.68,77.622,77.558,77.54,77.534,77.536,77.519,77.519,77.511,77.508,77.539,77.55,77.651,77.755,77.82,77.871,77.949,78.016,78.07,78.119,78.174,78.322,78.398,78.575,78.635,78.714,78.821,78.937,79.06,79.21,79.296,79.526,79.684,79.925,80.156,80.263,80.423,80.549,80.583,80.675,80.736,80.834,80.856,80.909,80.917,80.942,80.999,81.019,81.026,80.997,80.966,80.962,80.948,80.923,80.935,80.915,80.941,80.986,81.034,81.09,81.248,81.493,81.828,82.15,82.384,82.647,82.979,83.098,83.294,83.512,83.73,83.884,84.166,84.349,84.498,84.626,84.811,84.936,85.081,85.248,85.449,85.563,85.74,86.087,86.288,86.606,86.799,87.058,87.224,87.506,87.617,87.957,88.207,88.449,88.664,88.847,89.055,89.313,89.561,89.761,89.913,90.116,90.377,90.568,90.885,91.01,91.347,91.766,92.202,92.406,92.579,92.93,93.154,93.486,93.781,94.159,94.484,94.703,94.919,95.281,95.598,96.019,96.345,96.664,96.99,97.19,97.547,97.81,98.049,98.275,98.513,98.742,99.129,99.417,99.576,99.717,99.833,99.92,100.0,100.071,100.121,100.182,100.248,100.262,100.301,100.35,100.403,100.403,100.403,100.622,100.693,100.834,100.988,101.135,101.312,101.408,0.094
서울특별시,중대형,63.064,63.15,63.321,63.496,63.628,63.717,63.788,63.901,64.042,64.224,64.521,64.557,64.576,64.607,64.631,64.65,64.673,64.704,64.783,64.853,64.941,65.023,65.084,65.165,65.273,65.406,65.522,65.634,65.752,65.852,65.987,66.127,66.306,66.521,66.803,67.014,67.253,67.567,67.764,68.027,68.176,68.294,68.445,68.528,68.596,68.648,68.711,68.797,68.846,68.879,68.922,68.988,69.069,69.115,69.179,69.259,69.308,69.394,69.45,69.562,69.795,69.97,70.278,70.767,71.384,72.105,72.873,73.378,73.678,73.919,74.128,74.192,74.272,74.304,74.353,74.403,74.44,74.456,74.465,74.487,74.517,74.519,74.522,74.522,74.503,74.48,74.444,74.416,74.387,74.371,74.349,74.321,74.297,74.3,74.263,74.231,74.212,74.214,74.208,74.191,74.187,74.168,74.152,74.146,74.133,74.186,74.263,74.35,74.441,74.53,74.63,74.725,74.803,74.891,75.0,75.111,75.197,75.321,75.465,75.57,75.685,75.806,75.939,76.061,76.149,76.317,76.468,76.697,76.882,77.067,77.182,77.296,77.412,77.523,77.617,77.81,77.918,78.018,78.132,78.239,78.333,78.382,78.413,78.424,78.434,78.443,78.422,78.421,78.426,78.452,78.462,78.489,78.626,78.785,79.034,79.348,79.821,80.259,80.636,80.966,81.23,81.498,81.785,82.107,82.36,82.574,82.834,83.027,83.191,83.402,83.658,83.923,84.216,84.552,84.764,85.024,85.203,85.601,85.936,86.229,86.655,87.016,87.317,87.679,88.063,88.483,88.862,89.208,89.557,89.788,90.021,90.239,90.387,90.58,90.711,90.953,91.19,91.443,91.693,91.921,92.178,92.469,92.817,93.201,93.537,93.885,94.178,94.444,94.769,94.966,95.174,95.452,95.697,96.076,96.308,96.574,96.95,97.395,97.668,97.978,98.273,98.647,98.88,99.048,99.21,99.34,99.516,99.629,99.711,99.847,99.899,99.967,100.0,100.048,100.089,100.129,100.127,100.147,100.16,100.179,100.2,100.2,100.2,100.344,100.397,100.438,100.476,100.538,100.596,100.651,0.054
서울특별시,중형,63.842,63.967,64.305,64.591,64.694,65.008,65.108,65.156,65.279,65.571,66.191,66.246,66.287,66.282,66.326,66.357,66.43,66.442,66.454,66.5,66.551,66.605,66.733,66.864,67.009,67.259,67.374,67.504,67.695,67.761,67.833,68.07,68.373,68.594,68.826,69.049,69.228,69.597,69.821,69.99,70.123,70.227,70.355,70.489,70.502,70.592,70.594,70.673,70.702,70.748,70.811,70.871,70.928,70.948,70.959,71.004,71.07,71.163,71.354,71.512,71.659,71.959,72.011,72.787,73.564,74.19,74.82,75.075,75.354,75.474,75.629,75.73,75.806,75.746,75.801,75.815,75.841,75.814,75.826,75.851,75.865,75.854,75.833,75.799,75.803,75.761,75.714,75.634,75.588,75.569,75.524,75.511,75.373,75.272,75.267,75.274,75.263,75.218,75.204,75.203,75.201,75.188,75.17,75.181,75.227,75.267,75.355,75.406,75.46,75.548,75.638,75.766,75.862,75.892,75.964,76.053,76.176,76.262,76.372,76.462,76.606,76.746,76.8,76.901,76.987,77.066,77.202,77.318,77.413,77.51,77.722,77.934,78.084,78.199,78.239,78.321,78.445,78.653,78.712,78.833,78.956,79.06,79.114,79.138,79.186,79.2,79.244,79.224,79.21,79.178,79.181,79.202,79.404,79.501,79.668,80.107,80.606,81.252,81.515,81.754,82.018,82.433,82.687,83.06,83.276,83.495,83.72,83.882,84.179,84.282,84.534,84.69,84.903,85.007,85.149,85.444,85.822,86.175,86.372,86.91,87.074,87.567,87.944,88.478,89.041,89.313,89.579,89.847,90.257,90.836,91.089,91.333,91.403,91.739,91.988,92.019,92.22,92.463,92.559,92.639,92.946,93.116,93.572,94.168,94.453,94.887,94.986,95.091,95.584,95.682,95.757,96.034,96.438,97.054,97.242,97.542,97.904,98.338,98.541,98.771,98.89,98.946,99.092,99.287,99.563,99.674,99.737,99.792,99.837,99.875,99.88,99.969,100.0,100.044,100.088,100.102,100.105,100.106,100.131,100.135,100.155,100.155,100.155,100.16,100.163,100.184,100.243,100.374,100.419,100.447,0.028
서울특별시,중소형,61.054,61.142,61.309,61.498,61.641,61.783,61.893,62.054,62.211,62.402,62.606,62.666,62.706,62.729,62.764,62.784,62.822,62.887,62.956,63.033,63.137,63.253,63.381,63.494,63.604,63.69,63.793,63.925,64.045,64.176,64.312,64.413,64.593,64.792,65.03,65.223,65.475,65.739,65.982,66.179,66.343,66.483,66.61,66.736,66.843,66.92,67.003,67.081,67.153,67.212,67.275,67.37,67.452,67.501,67.559,67.616,67.688,67.761,67.856,68.003,68.161,68.339,68.65,69.14,69.805,70.478,71.343,71.818,72.187,72.469,72.678,72.77,72.854,72.942,72.993,73.041,73.059,73.087,73.093,73.091,73.069,73.078,73.07,73.065,73.057,73.037,73.013,72.982,72.938,72.909,72.89,72.877,72.858,72.842,72.826,72.827,72.81,72.802,72.798,72.789,72.767,72.752,72.753,72.73,72.74,72.781,72.825,72.907,72.989,73.049,73.115,73.191,73.268,73.348,73.42,73.506,73.57,73.662,73.764,73.857,73.96,74.075,74.172,74.258,74.362,74.491,74.611,74.766,74.96,75.119,75.29,75.426,75.535,75.66,75.769,75.942,76.034,76.15,76.282,76.4,76.512,76.639,76.686,76.729,76.764,76.788,76.796,76.8,76.802,76.833,76.874,76.96,77.071,77.252,77.689,78.124,78.54,79.051,79.545,80.035,80.372,80.843,81.272,81.648,82.01,82.342,82.656,82.919,83.139,83.372,83.567,83.909,84.176,84.423,84.689,84.98,85.216,85.521,85.843,86.138,86.589,87.01,87.373,87.712,88.057,88.411,88.862,89.199,89.503,89.8,90.054,90.265,90.422,90.675,90.898,91.135,91.421,91.624,91.849,92.111,92.383,92.713,93.037,93.382,93.69,94.028,94.242,94.498,94.815,95.038,95.262,95.634,95.967,96.4,96.788,97.202,97.496,97.896,98.183,98.491,98.704,98.917,99.088,99.279,99.434,99.568,99.705,99.766,99.805,99.866,99.93,99.97,100.0,100.014,100.027,100.045,100.056,100.074,100.079,100.094,100.098,100.098,100.098,100.133,100.167,100.211,100.244,100.292,100.317,100.361,0.043
서울특별시,소형,59.815,59.889,60.117,60.361,60.528,60.693,60.799,60.968,61.157,61.348,61.576,61.62,61.639,61.672,61.668,61.677,61.696,61.751,61.834,61.894,61.988,62.07,62.139,62.247,62.335,62.427,62.521,62.616,62.694,62.787,62.886,63.0,63.181,63.355,63.569,63.744,63.903,64.176,64.33,64.492,64.62,64.805,64.93,65.036,65.088,65.185,65.269,65.329,65.392,65.468,65.539,65.608,65.663,65.735,65.796,65.842,65.921,66.029,66.119,66.263,66.409,66.619,66.947,67.433,68.045,68.663,69.589,70.17,70.583,70.861,71.053,71.174,71.24,71.311,71.366,71.388,71.405,71.41,71.405,71.404,71.386,71.382,71.363,71.318,71.272,71.238,71.19,71.158,71.121,71.101,71.024,71.006,70.967,70.905,70.882,70.884,70.873,70.864,70.863,70.849,70.803,70.783,70.775,70.767,70.767,70.822,70.885,70.958,71.025,71.123,71.201,71.262,71.298,71.37,71.466,71.551,71.615,71.727,71.809,71.883,71.965,72.02,72.133,72.216,72.327,72.492,72.64,72.852,73.002,73.124,73.237,73.338,73.441,73.547,73.683,73.84,73.961,74.107,74.246,74.336,74.428,74.504,74.524,74.563,74.595,74.604,74.599,74.58,74.564,74.579,74.624,74.719,74.839,75.002,75.463,75.872,76.386,77.024,77.574,78.043,78.379,78.96,79.372,79.784,80.134,80.512,80.877,81.12,81.403,81.736,81.956,82.214,82.509,82.717,82.927,83.234,83.522,83.765,84.059,84.459,84.743,85.02,85.378,85.663,85.973,86.278,86.672,87.057,87.311,87.695,87.957,88.141,88.36,88.708,88.949,89.149,89.435,89.615,89.946,90.139,90.571,90.945,91.313,91.534,91.9,92.4,92.706,93.005,93.425,93.79,93.951,94.473,94.944,95.489,96.076,96.707,97.225,97.628,97.901,98.224,98.444,98.644,98.985,99.2,99.34,99.497,99.561,99.633,99.714,99.781,99.912,99.98,100.0,100.037,100.065,100.061,100.072,100.091,100.117,100.138,100.168,100.168,100.168,100.232,100.248,100.249,100.252,100.261,100.253,100.248,-0.005
