지역명,2017-05-01 09:00:52,2017-06-01 09:00:52,2017-07-01 09:00:52,2017-08-01 09:00:52,2017-09-01 09:00:52,2017-10-01 09:00:52,2017-11-01 09:00:52,2017-12-01 09:00:52,2018-01-01 09:00:52,2018-02-01 09:00:52,2018-03-01 09:00:52,2018-04-01 09:00:52,2018-05-01 09:00:52,2018-06-01 09:00:52,2018-07-01 09:00:52,2018-08-01 09:00:52,2018-09-01 09:00:52,2018-10-01 09:00:52,2018-11-01 09:00:52,2018-12-01 09:00:52,2019-01-01 09:00:52,2019-02-01 09:00:52,2019-03-01 09:00:52,2019-04-01 09:00:52,2019-05-01 09:00:52,2019-06-01 09:00:52,2019-07-01 09:00:52,2019-08-01 09:00:52,2019-09-01 09:00:52,2019-10-01 09:00:52,2019-11-01 09:00:52,2019-12-01 09:00:52,2020-01-01 09:00:52,2020-02-01 09:00:52,2020-03-01 09:00:52,2020-04-01 09:00:52,2020-05-01 09:00:52,2020-06-01 09:00:52,2020-07-01 09:00:52,2020-08-01 09:00:52,2020-09-01 09:00:52,2020-10-01 09:00:52,2020-11-01 09:00:52,2020-12-01 09:00:52,2021-01-01 09:00:52,2021-02-01 09:00:52,2021-03-01 09:00:52,2021-04-01 09:00:52,2021-05-01 09:00:52,2021-06-01 09:00:52,2021-07-01 09:00:52,2021-08-01 09:00:52,2021-09-01 09:00:52,2021-10-01 09:00:52,2021-11-01 09:00:52,2021-12-01 09:00:52,2022-01-01 09:00:52,2022-02-01 09:00:52,2022-03-01 09:00:52,2022-04-01 09:00:52
전국,380.3,383.19,385.55,388.9,390.06,391.62,393.48,395.77,399.53,402.82,407.85,410.89,412.18,413.36,414.77,417.65,427.94,433.67,436.01,436.71,429.44,429.15,428.37,427.57,427.16,426.81,428.45,430.12,432.07,434.63,437.09,443.43,448.07,453.26,461.08,463.48,464.69,470.38,480.67,489.66,499.29,504.73,515.89,526.9,537.71,550.99,562.88,571.66,579.47,591.24,600.92,614.16,627.41,638.07,651.02,661.55,669.84,678.29,681.71,684.43
서울,703.58,716.25,725.3,738.66,742.38,749.08,756.99,767.8,784.7,799.8,823.35,838.05,843.72,849.37,857.1,870.73,914.18,937.5,948.41,951.38,939.2,938.45,936.42,935.42,935.56,937.25,949.06,958.97,969.01,982.19,993.01,1015.66,1029.99,1043.16,1060.54,1064.2,1065.13,1077.6,1109.18,1138.62,1168.76,1182.08,1203.85,1222.09,1243.68,1268.73,1290.64,1304.18,1318.35,1340.85,1358.27,1381.98,1407.35,1435.82,1469,1495.24,1515.95,1537.23,1546.16,1553.76
종로구,671.02,676.72,678.68,683.06,686.44,691.16,692.94,698.42,703.93,705.35,720.35,724.52,730,737.6,740.49,745.28,763.14,777.26,788.66,792.88,782.57,782.68,787.08,800.24,806.15,806.76,810.97,812.36,826.23,830.7,840.14,845.25,849.78,857.61,865,867.59,873.65,881.25,888.45,907.6,938.61,945.45,956.19,970.63,981.88,999,1008.61,1031.48,1038.22,1044.58,1054.6,1063.2,1080.27,1090.22,1104.79,1113.33,1113.72,1113.72,1116.21,1119.54
중구,725.68,735.68,739.47,747.29,751.59,760.94,764.64,772.08,775.47,788.74,803.76,816.24,832.96,846.9,856.71,876.08,906.26,932.33,936.98,940.95,962.85,961.52,962.04,960.8,962.16,962.58,964.52,969.03,971.89,977.87,990.5,1003.02,1018.45,1025.45,1033.69,1036.68,1045.11,1060.89,1081.38,1116.65,1147.6,1160.65,1188.52,1209.09,1229.54,1262.35,1269.63,1281.99,1298.89,1310.38,1321.08,1326.68,1347.1,1355.72,1372.09,1378.09,1379.63,1379.63,1379.63,1381.12
용산구,907.54,925.23,939,962.47,969.38,976.76,983.48,992.63,1015.62,1035.38,1072.23,1100.64,1116.75,1130.59,1146.02,1170.96,1231.98,1245.98,1259.12,1261.07,1261.06,1262.21,1264.03,1267.19,1268.69,1270.72,1277.19,1283.73,1288.65,1300.83,1311.85,1338.78,1355.07,1369.8,1379.75,1382.3,1383.44,1387.11,1406.29,1430.82,1454.32,1466.36,1486.11,1493.91,1511.93,1531.37,1555.52,1570.64,1582.97,1604.92,1622.28,1659.84,1694.86,1712.34,1746.04,1764.24,1772.45,1779.33,1788.51,1793.36
성동구,697.52,714.91,725.84,739.2,746.14,759.08,770.71,783.81,814.52,838.68,874.44,894.48,898.94,905.27,909.42,921.42,971.06,986.74,992.3,1003.59,1009.76,1010.64,1014.02,1013.55,1014.62,1014.31,1027,1034.33,1048.11,1069.57,1081.92,1110.07,1132.39,1152.71,1179.16,1185.9,1186.49,1198.95,1229.92,1263.63,1304.11,1324.64,1347.72,1359.2,1398.2,1421.6,1436.55,1466.59,1476.78,1497.39,1506.5,1523.34,1567.03,1589.34,1600.37,1601.81,1610.25,1618.21,1621.25,1621.66
광진구,714.7,728.58,733.89,751.76,758.97,771.89,793.18,805.65,825.37,838.58,870.35,881.98,885.82,893.8,902.91,913.46,945.04,965.08,972.72,976.23,975.92,977.82,977.4,977.07,980.08,980.57,993.58,1009,1026.18,1047.06,1079.51,1113.79,1121.9,1134.58,1160.34,1167.43,1168.88,1183.01,1217.55,1253.21,1291.22,1300.05,1316.2,1342.64,1355.21,1369.57,1384.59,1391.56,1399.4,1413.06,1438.98,1463.62,1490,1493.69,1515.9,1521.43,1524.58,1530.5,1531.83,1538.96
동대문구,532.16,534.83,538.85,549.78,552.14,555.35,559.07,560.97,569.74,584.74,600.18,614.35,620.92,631.66,645.33,650.76,690.06,710.75,722.29,728.2,727.86,731.9,733.54,733.67,733.54,732.02,735.49,741.42,749.95,752.98,757.27,767.19,782.34,813.43,838.23,842.47,845.45,862.72,884.7,904.79,936.47,952.03,975.22,983.43,1005.56,1028.23,1044.7,1052.78,1061.38,1079.22,1092.04,1113.98,1144.2,1155.43,1165.42,1166.57,1172.35,1170.62,1169.89,1173.3
중랑구,462.65,465.83,468.66,473.86,475.66,478.31,480.51,482.32,485.26,488.6,495.8,501.4,504.97,509.07,514.96,517.66,535.38,549.27,561.76,568.35,564.92,570.48,571,575.6,578.63,579.77,584.1,588.94,596.82,600.85,608.98,618.67,623.39,628.46,641.91,646.89,650.26,663.08,681.05,707.93,734.13,745.33,763.79,776.71,782.36,796.92,813.44,823.36,833.29,851.06,870.96,900.66,918.29,936.04,946.06,953.9,954.62,955.37,955.37,955.73
성북구,536.53,538.15,541.59,546.51,549.3,552.55,555.78,558.39,563.42,566.45,575.59,591.36,598.76,604.27,618.87,628.47,661.94,687.52,700.71,704.24,704.39,703.84,702.07,701.04,698.7,698.27,701.56,704.86,707.23,712.66,720.64,735.92,756.54,774.39,801.92,808.64,810.58,829.54,868.05,899.23,925.7,939.41,956.67,975.4,994.07,1009.58,1031.12,1040.5,1041.95,1055.21,1067.92,1084.93,1105.77,1116.57,1123.21,1124.19,1127.82,1126.85,1125.09,1126.22
