"행정구역","2020년07월_계_총인구수","2020년07월_계_연령구간인구수","2020년07월_계_0~9세","2020년07월_계_10~19세","2020년07월_계_20~29세","2020년07월_계_30~39세","2020년07월_계_40~49세","2020년07월_계_50~59세","2020년07월_계_60~69세","2020년07월_계_70~79세","2020년07월_계_80~89세","2020년07월_계_90~99세","2020년07월_계_100세 이상","2020년07월_남_총인구수","2020년07월_남_연령구간인구수","2020년07월_남_0~9세","2020년07월_남_10~19세","2020년07월_남_20~29세","2020년07월_남_30~39세","2020년07월_남_40~49세","2020년07월_남_50~59세","2020년07월_남_60~69세","2020년07월_남_70~79세","2020년07월_남_80~89세","2020년07월_남_90~99세","2020년07월_남_100세 이상","2020년07월_여_총인구수","2020년07월_여_연령구간인구수","2020년07월_여_0~9세","2020년07월_여_10~19세","2020년07월_여_20~29세","2020년07월_여_30~39세","2020년07월_여_40~49세","2020년07월_여_50~59세","2020년07월_여_60~69세","2020년07월_여_70~79세","2020년07월_여_80~89세","2020년07월_여_90~99세","2020년07월_여_100세 이상"
"충청남도 논산시 (4423000000)","117,520","117,520","7,430","9,974","11,550","11,043","15,692","19,978","19,591","12,978","8,035","1,162","87","58,763","58,763","3,808","5,162","6,485","5,825","8,354","10,462","9,846","5,724","2,771","305","21","58,757","58,757","3,622","4,812","5,065","5,218","7,338","9,516","9,745","7,254","5,264","857","66"
"충청남도 논산시 강경읍(4423025000)","8,492","8,492","366","698","739","586","1,012","1,525","1,643","1,157","638","112","16","4,123","4,123","184","359","418","303","534","766","797","492","234","29","7","4,369","4,369","182","339","321","283","478","759","846","665","404","83","9"
"충청남도 논산시 연무읍(4423025300)","13,846","13,846","923","1,114","1,334","1,329","1,714","2,250","2,353","1,609","1,054","157","9","6,909","6,909","463","571","768","726","963","1,173","1,173","696","337","38","1","6,937","6,937","460","543","566","603","751","1,077","1,180","913","717","119","8"
"충청남도 논산시 성동면(4423031000)","4,177","4,177","111","184","299","244","375","701","938","730","535","59","1","2,103","2,103","58","96","172","156","238","375","480","299","209","20","0","2,074","2,074","53","88","127","88","137","326","458","431","326","39","1"
"충청남도 논산시 광석면(4423032000)","4,327","4,327","119","246","301","262","426","799","949","700","480","43","2","2,206","2,206","58","125","171","163","259","442","499","319","158","11","1","2,121","2,121","61","121","130","99","167","357","450","381","322","32","1"
"충청남도 논산시 노성면(4423033000)","3,057","3,057","124","151","207","235","311","484","641","502","350","48","4","1,549","1,549","67","78","116","139","176","281","326","238","113","14","1","1,508","1,508","57","73","91","96","135","203","315","264","237","34","3"
"충청남도 논산시 상월면(4423034000)","3,644","3,644","78","177","229","222","407","712","818","561","384","51","5","1,820","1,820","43","94","119","117","222","398","428","255","127","17","0","1,824","1,824","35","83","110","105","185","314","390","306","257","34","5"
"충청남도 논산시 부적면(4423035000)","3,630","3,630","91","167","278","217","371","710","808","564","366","54","4","1,860","1,860","47","79","162","133","231","398","420","259","122","9","0","1,770","1,770","44","88","116","84","140","312","388","305","244","45","4"
"충청남도 논산시 연산면(4423036000)","6,149","6,149","194","330","391","350","588","1,228","1,435","944","592","90","7","3,206","3,206","109","182","238","195","340","676","768","453","222","22","1","2,943","2,943","85","148","153","155","248","552","667","491","370","68","6"
"충청남도 논산시 벌곡면(4423038000)","2,485","2,485","61","108","115","122","248","449","610","440","275","51","6","1,261","1,261","27","59","65","77","154","247","317","210","88","16","1","1,224","1,224","34","49","50","45","94","202","293","230","187","35","5"
"충청남도 논산시 양촌면(4423039000)","6,393","6,393","413","416","461","558","677","1,092","1,150","906","625","90","5","3,256","3,256","226","239","266","291","378","576","603","411","239","26","1","3,137","3,137","187","177","195","267","299","516","547","495","386","64","4"
"충청남도 논산시 가야곡면(4423040000)","3,498","3,498","62","136","243","171","323","594","875","618","407","65","4","1,776","1,776","38","73","145","100","186","319","466","287","139","22","1","1,722","1,722","24","63","98","71","137","275","409","331","268","43","3"
"충청남도 논산시 은진면(4423041000)","4,001","4,001","107","216","435","254","448","757","799","532","384","64","5","2,113","2,113","50","105","266","162","290","437","414","242","134","12","1","1,888","1,888","57","111","169","92","158","320","385","290","250","52","4"
"충청남도 논산시 채운면(4423042000)","2,291","2,291","56","147","141","136","222","381","525","381","252","47","3","1,099","1,099","27","67","82","75","122","206","272","151","81","16","0","1,192","1,192","29","80","59","61","100","175","253","230","171","31","3"
"충청남도 논산시 취암동(4423051000)","34,905","34,905","3,394","3,954","4,525","4,675","5,877","5,404","3,862","2,040","1,017","145","12","17,401","17,401","1,730","2,053","2,458","2,375","2,929","2,713","1,870","889","340","40","4","17,504","17,504","1,664","1,901","2,067","2,300","2,948","2,691","1,992","1,151","677","105","8"
"충청남도 논산시 부창동(4423052000)","16,625","16,625","1,331","1,930","1,852","1,682","2,693","2,892","2,185","1,294","676","86","4","8,081","8,081","681","982","1,039","813","1,332","1,455","1,013","523","228","13","2","8,544","8,544","650","948","813","869","1,361","1,437","1,172","771","448","73","2"
