"행정구역","2021년06월_계_총인구수","2021년06월_계_연령구간인구수","2021년06월_계_0~9세","2021년06월_계_10~19세","2021년06월_계_20~29세","2021년06월_계_30~39세","2021년06월_계_40~49세","2021년06월_계_50~59세","2021년06월_계_60~69세","2021년06월_계_70~79세","2021년06월_계_80~89세","2021년06월_계_90~99세","2021년06월_계_100세 이상","2021년06월_남_총인구수","2021년06월_남_연령구간인구수","2021년06월_남_0~9세","2021년06월_남_10~19세","2021년06월_남_20~29세","2021년06월_남_30~39세","2021년06월_남_40~49세","2021년06월_남_50~59세","2021년06월_남_60~69세","2021년06월_남_70~79세","2021년06월_남_80~89세","2021년06월_남_90~99세","2021년06월_남_100세 이상","2021년06월_여_총인구수","2021년06월_여_연령구간인구수","2021년06월_여_0~9세","2021년06월_여_10~19세","2021년06월_여_20~29세","2021년06월_여_30~39세","2021년06월_여_40~49세","2021년06월_여_50~59세","2021년06월_여_60~69세","2021년06월_여_70~79세","2021년06월_여_80~89세","2021년06월_여_90~99세","2021년06월_여_100세 이상"
"부산광역시 사상구 (2653000000)","210,333","210,333","11,777","14,739","28,461","24,629","28,909","39,753","37,873","17,355","6,138","654","45","106,185","106,185","6,011","7,671","15,195","13,281","15,239","19,799","18,765","8,046","2,064","110","4","104,148","104,148","5,766","7,068","13,266","11,348","13,670","19,954","19,108","9,309","4,074","544","41"
"부산광역시 사상구 삼락동(2653058000)","5,823","5,823","228","285","623","566","684","1,246","1,261","664","241","21","4","3,118","3,118","127","151","364","309","397","711","670","302","84","3","0","2,705","2,705","101","134","259","257","287","535","591","362","157","18","4"
"부산광역시 사상구 모라제1동(2653059100)","28,296","28,296","1,532","1,988","3,627","3,301","3,746","5,397","5,392","2,386","819","91","17","14,153","14,153","763","1,035","1,954","1,789","1,932","2,624","2,608","1,138","291","19","0","14,143","14,143","769","953","1,673","1,512","1,814","2,773","2,784","1,248","528","72","17"
"부산광역시 사상구 모라제3동(2653059300)","10,724","10,724","257","431","823","742","1,251","2,099","2,570","1,703","770","74","4","5,123","5,123","131","224","487","403","759","1,100","1,183","624","200","12","0","5,601","5,601","126","207","336","339","492","999","1,387","1,079","570","62","4"
"부산광역시 사상구 덕포제1동(2653060000)","8,771","8,771","488","632","1,036","968","1,200","1,747","1,572","819","283","26","0","4,490","4,490","254","331","606","531","628","917","761","361","97","4","0","4,281","4,281","234","301","430","437","572","830","811","458","186","22","0"
"부산광역시 사상구 덕포제2동(2653061000)","12,977","12,977","684","918","1,670","1,464","1,688","2,558","2,528","1,087","334","44","2","6,563","6,563","346","482","893","770","908","1,226","1,269","544","118","6","1","6,414","6,414","338","436","777","694","780","1,332","1,259","543","216","38","1"
"부산광역시 사상구 괘법동(2653062000)","22,311","22,311","1,042","1,034","4,283","3,265","2,696","4,139","3,779","1,565","456","47","5","11,582","11,582","538","555","2,073","1,810","1,499","2,183","1,973","768","178","4","1","10,729","10,729","504","479","2,210","1,455","1,197","1,956","1,806","797","278","43","4"
"부산광역시 사상구 감전동(2653064500)","13,543","13,543","502","667","1,627","1,581","1,732","2,755","2,799","1,381","440","56","3","7,178","7,178","258","358","878","924","1,012","1,484","1,436","648","172","7","1","6,365","6,365","244","309","749","657","720","1,271","1,363","733","268","49","2"
"부산광역시 사상구 주례제1동(2653065000)","15,341","15,341","944","1,089","2,082","1,752","1,991","3,040","2,840","1,159","396","48","0","7,852","7,852","493","569","1,136","948","1,019","1,484","1,462","586","150","5","0","7,489","7,489","451","520","946","804","972","1,556","1,378","573","246","43","0"
"부산광역시 사상구 주례제2동(2653066000)","23,250","23,250","1,397","1,847","4,009","3,010","3,419","3,795","3,426","1,656","618","68","5","11,626","11,626","689","944","2,054","1,621","1,786","1,814","1,702","788","215","12","1","11,624","11,624","708","903","1,955","1,389","1,633","1,981","1,724","868","403","56","4"
"부산광역시 사상구 주례제3동(2653066100)","13,196","13,196","705","1,067","1,761","1,463","1,783","2,399","2,410","1,099","466","43","0","6,452","6,452","362","545","920","796","909","1,091","1,153","503","164","9","0","6,744","6,744","343","522","841","667","874","1,308","1,257","596","302","34","0"
"부산광역시 사상구 학장동(2653067000)","28,598","28,598","1,817","2,208","3,363","3,296","4,310","5,270","5,237","2,240","781","73","3","14,305","14,305","935","1,169","1,870","1,738","2,221","2,554","2,548","1,010","239","21","0","14,293","14,293","882","1,039","1,493","1,558","2,089","2,716","2,689","1,230","542","52","3"
"부산광역시 사상구 엄궁동(2653068000)","27,503","27,503","2,181","2,573","3,557","3,221","4,409","5,308","4,059","1,596","534","63","2","13,743","13,743","1,115","1,308","1,960","1,642","2,169","2,611","2,000","774","156","8","0","13,760","13,760","1,066","1,265","1,597","1,579","2,240","2,697","2,059","822","378","55","2"
