"행정구역","2021년11월_계_총인구수","2021년11월_계_연령구간인구수","2021년11월_계_0~9세","2021년11월_계_10~19세","2021년11월_계_20~29세","2021년11월_계_30~39세","2021년11월_계_40~49세","2021년11월_계_50~59세","2021년11월_계_60~69세","2021년11월_계_70~79세","2021년11월_계_80~89세","2021년11월_계_90~99세","2021년11월_계_100세 이상","2021년11월_남_총인구수","2021년11월_남_연령구간인구수","2021년11월_남_0~9세","2021년11월_남_10~19세","2021년11월_남_20~29세","2021년11월_남_30~39세","2021년11월_남_40~49세","2021년11월_남_50~59세","2021년11월_남_60~69세","2021년11월_남_70~79세","2021년11월_남_80~89세","2021년11월_남_90~99세","2021년11월_남_100세 이상","2021년11월_여_총인구수","2021년11월_여_연령구간인구수","2021년11월_여_0~9세","2021년11월_여_10~19세","2021년11월_여_20~29세","2021년11월_여_30~39세","2021년11월_여_40~49세","2021년11월_여_50~59세","2021년11월_여_60~69세","2021년11월_여_70~79세","2021년11월_여_80~89세","2021년11월_여_90~99세","2021년11월_여_100세 이상"
"전국  (0000000000)","51,652,704","51,652,704","3,775,503","4,716,775","6,674,970","6,731,509","8,165,990","8,631,102","7,147,578","3,712,470","1,825,295","262,341","9,171","25,754,446","25,754,446","1,935,496","2,435,359","3,502,253","3,475,467","4,150,170","4,364,359","3,500,609","1,681,112","649,711","58,142","1,768","25,898,258","25,898,258","1,840,007","2,281,416","3,172,717","3,256,042","4,015,820","4,266,743","3,646,969","2,031,358","1,175,584","204,199","7,403"
"서울특별시  (1100000000)","9,520,880","9,520,880","586,559","758,445","1,426,394","1,440,774","1,483,164","1,507,704","1,285,127","695,892","293,290","41,521","2,010","4,624,290","4,624,290","301,243","388,791","686,810","719,415","734,754","742,848","607,002","316,719","115,686","10,523","499","4,896,590","4,896,590","285,316","369,654","739,584","721,359","748,410","764,856","678,125","379,173","177,604","30,998","1,511"
"부산광역시  (2600000000)","3,353,627","3,353,627","220,636","266,474","417,317","406,584","502,425","555,462","548,572","297,407","122,945","15,294","511","1,640,867","1,640,867","113,243","137,268","216,458","208,566","253,458","270,587","258,855","134,376","44,710","3,255","91","1,712,760","1,712,760","107,393","129,206","200,859","198,018","248,967","284,875","289,717","163,031","78,235","12,039","420"
"대구광역시  (2700000000)","2,388,230","2,388,230","168,602","218,976","310,800","285,532","372,803","419,916","341,719","177,394","82,243","9,968","277","1,177,136","1,177,136","86,359","114,148","165,492","149,695","184,070","205,615","162,609","77,848","29,102","2,154","44","1,211,094","1,211,094","82,243","104,828","145,308","135,837","188,733","214,301","179,110","99,546","53,141","7,814","233"
"인천광역시  (2800000000)","2,946,319","2,946,319","218,194","271,348","391,498","401,742","480,658","510,589","397,525","179,068","82,331","12,928","438","1,475,245","1,475,245","111,933","139,487","204,050","208,043","246,215","255,055","196,854","82,068","28,725","2,718","97","1,471,074","1,471,074","106,261","131,861","187,448","193,699","234,443","255,534","200,671","97,000","53,606","10,210","341"
"광주광역시  (2900000000)","1,442,138","1,442,138","114,343","152,805","207,080","181,567","236,306","235,316","171,663","94,422","42,416","6,012","208","713,292","713,292","58,648","79,085","108,068","92,992","117,398","116,779","81,849","41,904","15,232","1,307","30","728,846","728,846","55,695","73,720","99,012","88,575","118,908","118,537","89,814","52,518","27,184","4,705","178"
"대전광역시  (3000000000)","1,453,675","1,453,675","107,912","142,601","210,148","189,983","231,153","240,267","190,076","92,291","42,957","6,098","189","725,406","725,406","55,492","73,738","110,127","99,530","115,145","120,042","92,225","42,054","15,636","1,384","33","728,269","728,269","52,420","68,863","100,021","90,453","116,008","120,225","97,851","50,237","27,321","4,714","156"
"울산광역시  (3100000000)","1,122,495","1,122,495","92,477","110,182","138,053","145,385","183,960","207,162","155,227","62,736","23,987","3,241","85","576,636","576,636","47,508","57,850","77,901","77,336","94,098","105,198","78,076","29,956","8,152","553","8","545,859","545,859","44,969","52,332","60,152","68,049","89,862","101,964","77,151","32,780","15,835","2,688","77"
"세종특별자치시  (3600000000)","369,465","369,465","46,913","45,439","38,251","61,298","72,186","48,474","33,344","14,704","7,533","1,285","38","184,441","184,441","23,896","22,924","19,613","29,878","36,531","25,363","16,533","6,852","2,581","262","8","185,024","185,024","23,017","22,515","18,638","31,420","35,655","23,111","16,811","7,852","4,952","1,023","30"
"경기도  (4100000000)","13,557,973","13,557,973","1,103,092","1,322,710","1,802,051","1,899,719","2,293,799","2,270,910","1,663,383","772,918","372,378","54,952","2,061","6,823,931","6,823,931","564,452","679,038","950,070","982,766","1,167,100","1,150,601","827,378","352,335","136,768","12,965","458","6,734,042","6,734,042","538,640","643,672","851,981","916,953","1,126,699","1,120,309","836,005","420,583","235,610","41,987","1,603"
