,강원도,강원도 춘천시,강원도 원주시,강원도 강릉시,강원도 동해시,강원도 태백시,강원도 속초시,강원도 삼척시,강원도 홍천군,강원도 횡성군,강원도 영월군,강원도 평창군,강원도 정선군,강원도 철원군,강원도 화천군,강원도 양구군,강원도 인제군,강원도 고성군,강원도 양양군
2020년06월_계_총인구수,"1,539,282","281,400","352,201","212,863","90,454","43,203","82,059","65,753","68,998","46,442","38,840","41,739","37,046","44,987","24,717","22,332","31,554","26,886","27,808"
2020년06월_계_연령구간인구수,"1,539,282","281,400","352,201","212,863","90,454","43,203","82,059","65,753","68,998","46,442","38,840","41,739","37,046","44,987","24,717","22,332","31,554","26,886","27,808"
2020년06월_계_0~9세,"107,641","21,923","28,703","13,790","6,782","2,728","5,910","3,988","3,882","2,238","1,720","1,950","1,798","3,371","1,856","1,787","2,548","1,290","1,377"
2020년06월_계_10~19세,"139,764","27,298","36,252","19,472","8,871","3,912","7,554","5,186","5,293","3,645","3,008","2,988","2,610","3,889","1,818","2,111","2,293","1,663","1,901"
2020년06월_계_20~29세,"179,041","36,944","45,222","25,047","9,323","3,690","8,924","7,402","6,759","3,887","3,290","3,396","2,868","5,937","3,828","3,064","4,108","2,966","2,386"
2020년06월_계_30~39세,"168,403","34,462","45,415","21,964","9,451","3,986","9,288","6,019","6,226","3,525","2,867","3,243","3,242","4,774","2,847","2,608","3,876","2,231","2,379"
2020년06월_계_40~49세,"225,843","42,559","57,451","32,497","14,747","6,542","12,524","9,075","8,365","5,159","4,745","5,409","4,988","5,795","2,773","2,576","3,993","3,105","3,540"
2020년06월_계_50~59세,"268,566","47,007","60,360","36,634","15,627","7,506","15,133","11,480","12,918","8,870","7,451","8,151","7,140","7,348","3,979","3,604","5,333","4,932","5,093"
2020년06월_계_60~69세,"232,937","36,880","43,651","32,700","13,406","7,585","12,229","10,842","13,314","9,820","7,866","8,588","7,324","6,497","3,633","3,254","4,955","5,031","5,362"
2020년06월_계_70~79세,"135,719","21,050","21,586","19,449","8,051","4,881","6,750","7,238","7,324","5,625","4,896","5,040","4,539","4,819","2,461","2,062","2,744","3,537","3,667"
