카테고리,강원도,강원도 춘천시,강원도 원주시,강원도 강릉시,강원도 동해시,강원도 태백시,강원도 속초시,강원도 삼척시,강원도 홍천군,강원도 횡성군,강원도 영월군,강원도 평창군,강원도 정선군,강원도 철원군,강원도 화천군,강원도 양구군,강원도 인제군,강원도 고성군,강원도 양양군
2020년11월_계_총인구수,"1,542,374","282,544","353,928","213,189","90,560","42,800","82,636","65,409","69,192","46,533","38,710","41,665","36,937","44,706","24,868","22,350","31,623","26,798","27,926"
2020년11월_계_연령구간인구수,"1,542,374","282,544","353,928","213,189","90,560","42,800","82,636","65,409","69,192","46,533","38,710","41,665","36,937","44,706","24,868","22,350","31,623","26,798","27,926"
2020년11월_계_0~9세,"105,908","21,700","28,339","13,527","6,693","2,595","5,900","3,865","3,792","2,158","1,686","1,885","1,746","3,346","1,804","1,719","2,512","1,290","1,351"
2020년11월_계_10~19세,"138,054","26,998","35,970","19,076","8,789","3,856","7,487","5,193","5,212","3,590","2,908","2,927","2,559","3,818","1,805","2,078","2,315","1,628","1,845"
2020년11월_계_20~29세,"179,792","37,269","45,391","25,151","9,379","3,686","9,026","7,344","6,900","3,858","3,322","3,405","2,837","5,847","3,916","3,167","4,016","2,868","2,410"
2020년11월_계_30~39세,"166,313","34,239","45,234","21,665","9,259","3,796","9,208","5,801","6,118","3,454","2,781","3,103","3,104","4,671","2,855","2,566","3,890","2,228","2,341"
2020년11월_계_40~49세,"224,703","42,500","57,317","32,354","14,610","6,460","12,485","8,950","8,299","5,121","4,635","5,361","4,982","5,708","2,744","2,570","4,001","3,067","3,539"
2020년11월_계_50~59세,"268,344","47,171","60,775","36,703","15,648","7,402","15,197","11,365","12,815","8,763","7,397","8,080","7,028","7,246","3,955","3,557","5,287","4,844","5,111"
2020년11월_계_60~69세,"240,048","37,925","45,320","33,547","13,831","7,674","12,707","11,109","13,705","10,212","8,039","8,821","7,526","6,694","3,770","3,357","5,146","5,166","5,499"
2020년11월_계_70~79세,"135,592","21,018","21,669","19,585","8,066","4,907","6,794","7,205","7,300","5,601","4,854","5,001","4,536","4,738","2,423","2,033","2,690","3,509","3,663"
2020년11월_계_80~89세,"71,520","11,691","11,993","9,835","3,722","2,080","3,187","3,946","4,370","3,220","2,685","2,677","2,218","2,231","1,354","1,138","1,499","1,843","1,831"
2020년11월_계_90~99세,"11,248","1,918","1,808","1,637",533,280,613,581,637,524,351,364,351,364,227,151,252,338,319
2020년11월_계_100세 이상,852,115,112,109,30,64,32,50,44,32,52,41,50,43,15,14,15,17,17
