,강원도 강릉시,강원도 강릉시 주문진읍,강원도 강릉시 성산면,강원도 강릉시 왕산면,강원도 강릉시 구정면,강원도 강릉시 강동면,강원도 강릉시 옥계면,강원도 강릉시 사천면,강원도 강릉시 연곡면,강원도 강릉시 홍제동,강원도 강릉시 중앙동,강원도 강릉시 옥천동,강원도 강릉시 교1동,강원도 강릉시 교2동,강원도 강릉시 포남1동,강원도 강릉시 포남2동,강원도 강릉시 초당동,강원도 강릉시 송정동,강원도 강릉시 내곡동,강원도 강릉시 강남동,강원도 강릉시 성덕동,강원도 강릉시 경포동
2021년01월_계_총인구수,"213,412","16,335","3,439","1,595","4,116","4,300","3,552","4,590","6,559","15,398","5,018","3,387","26,231","7,908","10,543","13,058","4,848","10,113","16,662","18,120","28,743","8,897"
2021년01월_계_연령구간인구수,"213,412","16,335","3,439","1,595","4,116","4,300","3,552","4,590","6,559","15,398","5,018","3,387","26,231","7,908","10,543","13,058","4,848","10,113","16,662","18,120","28,743","8,897"
2021년01월_계_0~9세,"13,428",622,129,27,197,105,116,200,383,"1,351",164,97,"1,834",371,434,597,289,904,"1,448",936,"2,488",736
2021년01월_계_10~19세,"18,925",961,200,37,257,184,166,220,466,"1,572",283,162,"3,027",636,767,"1,174",406,"1,059","1,548","1,561","3,494",745
2021년01월_계_20~29세,"25,113","1,441",297,95,348,415,262,432,505,"1,731",601,321,"3,611",941,"1,287","1,677",574,"1,145","2,500","1,987","3,495","1,448"
2021년01월_계_30~39세,"21,660","1,170",203,81,336,297,216,404,573,"2,019",440,286,"2,619",766,915,"1,263",542,"1,320","2,177","1,646","3,327","1,060"
2021년01월_계_40~49세,"32,330","2,011",377,108,483,444,323,577,947,"2,668",639,409,"4,582","1,045","1,461","1,878",727,"1,668","2,719","2,585","5,198","1,481"
2021년01월_계_50~59세,"36,624","2,949",693,319,707,758,683,846,"1,159","2,443",793,588,"4,499","1,452","2,004","2,490",941,"1,653","2,516","3,163","4,594","1,374"
2021년01월_계_60~69세,"33,929","3,476",732,477,914,957,856,995,"1,309","1,939","1,008",686,"3,208","1,430","1,967","2,264",751,"1,412","2,127","2,960","3,361","1,100"
2021년01월_계_70~79세,"19,649","2,301",440,277,495,670,566,542,758,"1,071",677,567,"1,802",810,"1,153","1,125",371,584,"1,031","2,087","1,713",609
2021년01월_계_80~89세,"9,982","1,177",312,151,302,394,316,319,395,503,323,243,913,386,484,494,213,309,515,"1,029",922,282
2021년01월_계_90~99세,"1,662",205,51,23,71,69,45,53,59,95,84,28,128,63,66,95,34,56,79,152,144,62
2021년01월_계_100세 이상,110,22,5,0,6,7,3,2,5,6,6,0,8,8,5,1,0,3,2,14,7,0
2021년01월_남_총인구수,"105,799","7,992","1,747",852,"2,102","2,269","1,822","2,384","3,267","7,505","2,385","1,743","12,839","3,926","5,190","6,436","2,369","4,889","8,267","9,062","14,194","4,559"
2021년01월_남_연령구간인구수,"105,799","7,992","1,747",852,"2,102","2,269","1,822","2,384","3,267","7,505","2,385","1,743","12,839","3,926","5,190","6,436","2,369","4,889","8,267","9,062","14,194","4,559"
2021년01월_남_0~9세,"6,929",326,72,21,111,62,61,108,186,691,78,51,945,190,233,303,124,438,730,461,"1,343",395
2021년01월_남_10~19세,"9,926",521,106,16,138,96,99,126,245,797,138,98,"1,566",332,398,632,210,556,787,846,"1,838",381
2021년01월_남_20~29세,"13,736",828,179,52,209,271,162,260,276,894,314,186,"1,943",496,667,883,338,607,"1,349","1,137","1,880",805
2021년01월_남_30~39세,"11,384",647,118,59,167,187,130,220,304,"1,019",250,165,"1,326",434,511,706,295,649,"1,082",884,"1,668",563
2021년01월_남_40~49세,"16,472","1,088",220,70,274,292,184,326,500,"1,287",339,238,"2,133",523,782,953,341,804,"1,418","1,390","2,556",754
2021년01월_남_50~59세,"18,395","1,513",350,174,379,427,388,442,575,"1,211",414,319,"2,273",729,984,"1,216",452,763,"1,209","1,618","2,252",707
2021년01월_남_60~69세,"16,219","1,628",378,251,471,487,449,508,643,923,435,312,"1,496",682,882,"1,041",364,688,"1,028","1,394","1,630",529
2021년01월_남_70~79세,"8,761",976,221,143,231,289,251,261,373,481,285,257,769,375,517,516,162,255,467,909,706,317
2021년01월_남_80~89세,"3,612",412,91,61,106,134,89,125,147,182,110,114,367,152,199,174,74,116,183,387,291,98
2021년01월_남_90~99세,335,49,11,5,13,19,9,7,15,19,21,3,21,11,16,11,9,13,14,32,27,10
2021년01월_남_100세 이상,30,4,1,0,3,5,0,1,3,1,1,0,0,2,1,1,0,0,0,4,3,0
2021년01월_여_총인구수,"107,613","8,343","1,692",743,"2,014","2,031","1,730","2,206","3,292","7,893","2,633","1,644","13,392","3,982","5,353","6,622","2,479","5,224","8,395","9,058","14,549","4,338"
2021년01월_여_연령구간인구수,"107,613","8,343","1,692",743,"2,014","2,031","1,730","2,206","3,292","7,893","2,633","1,644","13,392","3,982","5,353","6,622","2,479","5,224","8,395","9,058","14,549","4,338"
2021년01월_여_0~9세,"6,499",296,57,6,86,43,55,92,197,660,86,46,889,181,201,294,165,466,718,475,"1,145",341
