카테고리,강원도 고성군,강원도 고성군 간성읍,강원도 고성군 거진읍,강원도 고성군 현내면,강원도 고성군 죽왕면,강원도 고성군 토성면,강원도 고성군 수동면
2020년05월_계_총인구수,"26,921","7,102","6,396","2,427","3,806","7,190",0
2020년05월_계_연령구간인구수,"26,921","7,102","6,396","2,427","3,806","7,190",0
2020년05월_계_0~9세,"1,291",574,229,58,159,271,0
2020년05월_계_10~19세,"1,689",601,373,109,191,415,0
2020년05월_계_20~29세,"2,990",915,550,182,431,912,0
2020년05월_계_30~39세,"2,222",807,373,152,314,576,0
2020년05월_계_40~49세,"3,109",934,660,212,401,902,0
2020년05월_계_50~59세,"4,943","1,166","1,186",470,727,"1,394",0
2020년05월_계_60~69세,"5,015","1,009","1,352",565,727,"1,362",0
2020년05월_계_70~79세,"3,541",668,"1,034",429,529,881,0
2020년05월_계_80~89세,"1,772",349,523,216,283,401,0
2020년05월_계_90~99세,333,74,112,34,41,72,0
2020년05월_계_100세 이상,16,5,4,0,3,4,0
2020년05월_남_총인구수,"13,910","3,715","3,184","1,196","1,980","3,835",0
2020년05월_남_연령구간인구수,"13,910","3,715","3,184","1,196","1,980","3,835",0
2020년05월_남_0~9세,666,301,114,26,79,146,0
2020년05월_남_10~19세,905,334,195,63,92,221,0
2020년05월_남_20~29세,"1,897",567,355,104,269,602,0
2020년05월_남_30~39세,"1,266",428,210,91,195,342,0
2020년05월_남_40~49세,"1,749",510,362,132,239,506,0
2020년05월_남_50~59세,"2,655",616,646,247,383,763,0
2020년05월_남_60~69세,"2,571",513,672,288,382,716,0
2020년05월_남_70~79세,"1,535",320,434,175,232,374,0
2020년05월_남_80~89세,586,106,170,63,98,149,0
2020년05월_남_90~99세,77,19,26,7,11,14,0
2020년05월_남_100세 이상,3,1,0,0,0,2,0
2020년05월_여_총인구수,"13,011","3,387","3,212","1,231","1,826","3,355",0
2020년05월_여_연령구간인구수,"13,011","3,387","3,212","1,231","1,826","3,355",0
2020년05월_여_0~9세,625,273,115,32,80,125,0
2020년05월_여_10~19세,784,267,178,46,99,194,0
2020년05월_여_20~29세,"1,093",348,195,78,162,310,0
2020년05월_여_30~39세,956,379,163,61,119,234,0
2020년05월_여_40~49세,"1,360",424,298,80,162,396,0
2020년05월_여_50~59세,"2,288",550,540,223,344,631,0
2020년05월_여_60~69세,"2,444",496,680,277,345,646,0
2020년05월_여_70~79세,"2,006",348,600,254,297,507,0
2020년05월_여_80~89세,"1,186",243,353,153,185,252,0
2020년05월_여_90~99세,256,55,86,27,30,58,0
2020년05월_여_100세 이상,13,4,4,0,3,2,0
