카테고리,강원도 동해시,강원도 동해시 천곡동,강원도 동해시 송정동,강원도 동해시 북삼동,강원도 동해시 부곡동,강원도 동해시 동호동,강원도 동해시 발한동,강원도 동해시 묵호동,강원도 동해시 북평동,강원도 동해시 망상동,강원도 동해시 삼화동
2021년10월_계_총인구수,"90,115","30,474","3,763","20,022","4,991","5,167","3,367","3,116","12,879","3,510","2,826"
2021년10월_계_연령구간인구수,"90,115","30,474","3,763","20,022","4,991","5,167","3,367","3,116","12,879","3,510","2,826"
2021년10월_계_0~9세,"6,336","2,600",126,"1,515",173,296,89,96,"1,215",153,73
2021년10월_계_10~19세,"8,560","3,188",207,"2,533",333,438,156,161,"1,189",186,169
2021년10월_계_20~29세,"9,312","3,428",507,"2,351",435,467,242,181,"1,240",249,212
2021년10월_계_30~39세,"8,754","3,467",268,"1,967",334,420,188,166,"1,521",248,175
2021년10월_계_40~49세,"14,288","5,066",477,"3,757",651,730,407,388,"2,077",426,309
2021년10월_계_50~59세,"15,682","5,110",643,"3,659",890,934,560,507,"2,203",611,565
2021년10월_계_60~69세,"14,652","4,683",751,"2,417","1,115",945,795,704,"1,872",749,621
2021년10월_계_70~79세,"7,966","1,940",448,"1,190",713,636,588,567,944,523,417
2021년10월_계_80~89세,"3,986",854,288,562,305,279,296,323,526,313,240
2021년10월_계_90~99세,565,138,46,71,41,20,44,21,90,51,43
2021년10월_계_100세 이상,14,0,2,0,1,2,2,2,2,1,2
2021년10월_남_총인구수,"45,756","15,185","2,047","10,364","2,424","2,613","1,710","1,551","6,613","1,766","1,483"
2021년10월_남_연령구간인구수,"45,756","15,185","2,047","10,364","2,424","2,613","1,710","1,551","6,613","1,766","1,483"
2021년10월_남_0~9세,"3,252","1,346",59,780,93,150,44,54,614,75,37
2021년10월_남_10~19세,"4,457","1,602",118,"1,360",180,230,74,87,617,98,91
2021년10월_남_20~29세,"5,457","1,953",344,"1,402",238,261,151,104,718,151,135
2021년10월_남_30~39세,"4,709","1,857",159,"1,039",167,221,125,90,798,140,113
2021년10월_남_40~49세,"7,465","2,521",286,"1,874",361,420,246,235,"1,084",251,187
2021년10월_남_50~59세,"8,144","2,431",363,"1,945",446,495,311,296,"1,192",324,341
2021년10월_남_60~69세,"7,095","2,229",381,"1,185",517,442,378,323,942,379,319
2021년10월_남_70~79세,"3,592",917,212,539,307,279,268,226,442,230,172
2021년10월_남_80~89세,"1,468",297,112,226,110,109,101,129,195,111,78
2021년10월_남_90~99세,115,32,13,14,5,5,12,7,11,7,9
2021년10월_남_100세 이상,2,0,0,0,0,1,0,0,0,0,1
2021년10월_여_총인구수,"44,359","15,289","1,716","9,658","2,567","2,554","1,657","1,565","6,266","1,744","1,343"
2021년10월_여_연령구간인구수,"44,359","15,289","1,716","9,658","2,567","2,554","1,657","1,565","6,266","1,744","1,343"
2021년10월_여_0~9세,"3,084","1,254",67,735,80,146,45,42,601,78,36
2021년10월_여_10~19세,"4,103","1,586",89,"1,173",153,208,82,74,572,88,78
2021년10월_여_20~29세,"3,855","1,475",163,949,197,206,91,77,522,98,77
2021년10월_여_30~39세,"4,045","1,610",109,928,167,199,63,76,723,108,62
2021년10월_여_40~49세,"6,823","2,545",191,"1,883",290,310,161,153,993,175,122
2021년10월_여_50~59세,"7,538","2,679",280,"1,714",444,439,249,211,"1,011",287,224
2021년10월_여_60~69세,"7,557","2,454",370,"1,232",598,503,417,381,930,370,302
2021년10월_여_70~79세,"4,374","1,023",236,651,406,357,320,341,502,293,245
2021년10월_여_80~89세,"2,518",557,176,336,195,170,195,194,331,202,162
2021년10월_여_90~99세,450,106,33,57,36,15,32,14,79,44,34
2021년10월_여_100세 이상,12,0,2,0,1,1,2,2,2,1,1
