,강원도 속초시,강원도 속초시 영랑동,강원도 속초시 동명동,강원도 속초시 금호동,강원도 속초시 교동,강원도 속초시 노학동,강원도 속초시 조양동,강원도 속초시 청호동,강원도 속초시 대포동
2021년09월_계_총인구수,"82,476","4,418","3,646","5,894","9,548","21,767","29,204","4,886","3,113"
2021년09월_계_연령구간인구수,"82,476","4,418","3,646","5,894","9,548","21,767","29,204","4,886","3,113"
2021년09월_계_0~9세,"5,688",163,233,211,496,"1,373","2,834",296,82
2021년09월_계_10~19세,"7,212",229,263,413,794,"2,183","2,951",264,115
2021년09월_계_20~29세,"8,906",402,302,558,"1,116","2,433","3,405",438,252
2021년09월_계_30~39세,"9,062",388,336,446,970,"2,223","3,940",549,210
2021년09월_계_40~49세,"12,204",480,495,695,"1,314","3,371","4,922",612,315
2021년09월_계_50~59세,"14,995",876,685,"1,151","1,717","4,095","4,937",906,628
2021년09월_계_60~69세,"13,670","1,052",694,"1,263","1,790","3,488","3,633",966,784
2021년09월_계_70~79세,"6,788",534,418,700,852,"1,621","1,699",497,467
2021년09월_계_80~89세,"3,333",255,188,377,425,825,755,292,216
2021년09월_계_90~99세,598,36,32,79,71,153,123,62,42
2021년09월_계_100세 이상,20,3,0,1,3,2,5,4,2
2021년09월_남_총인구수,"40,901","2,291","1,834","2,883","4,683","10,868","14,264","2,471","1,607"
2021년09월_남_연령구간인구수,"40,901","2,291","1,834","2,883","4,683","10,868","14,264","2,471","1,607"
2021년09월_남_0~9세,"2,884",83,125,106,251,696,"1,421",163,39
2021년09월_남_10~19세,"3,747",133,137,213,420,"1,109","1,528",129,78
2021년09월_남_20~29세,"5,018",244,170,331,627,"1,379","1,873",251,143
2021년09월_남_30~39세,"4,890",221,181,258,539,"1,203","2,043",308,137
2021년09월_남_40~49세,"6,117",277,263,367,660,"1,654","2,382",331,183
2021년09월_남_50~59세,"7,425",466,348,560,829,"2,048","2,355",489,330
2021년09월_남_60~69세,"6,599",519,344,593,848,"1,755","1,663",489,388
2021년09월_남_70~79세,"2,938",249,196,305,348,728,710,195,207
2021년09월_남_80~89세,"1,168",93,63,138,149,272,260,100,93
2021년09월_남_90~99세,108,5,7,11,12,24,27,14,8
2021년09월_남_100세 이상,7,1,0,1,0,0,2,2,1
2021년09월_여_총인구수,"41,575","2,127","1,812","3,011","4,865","10,899","14,940","2,415","1,506"
2021년09월_여_연령구간인구수,"41,575","2,127","1,812","3,011","4,865","10,899","14,940","2,415","1,506"
2021년09월_여_0~9세,"2,804",80,108,105,245,677,"1,413",133,43
2021년09월_여_10~19세,"3,465",96,126,200,374,"1,074","1,423",135,37
2021년09월_여_20~29세,"3,888",158,132,227,489,"1,054","1,532",187,109
2021년09월_여_30~39세,"4,172",167,155,188,431,"1,020","1,897",241,73
2021년09월_여_40~49세,"6,087",203,232,328,654,"1,717","2,540",281,132
2021년09월_여_50~59세,"7,570",410,337,591,888,"2,047","2,582",417,298
2021년09월_여_60~69세,"7,071",533,350,670,942,"1,733","1,970",477,396
2021년09월_여_70~79세,"3,850",285,222,395,504,893,989,302,260
2021년09월_여_80~89세,"2,165",162,125,239,276,553,495,192,123
2021년09월_여_90~99세,490,31,25,68,59,129,96,48,34
2021년09월_여_100세 이상,13,2,0,0,3,2,3,2,1
