,강원도 양구군,강원도 양구군 양구읍,강원도 양구군 남면,강원도 양구군 동면,강원도 양구군 방산면,강원도 양구군 해안면
2020년09월_계_총인구수,"22,315","14,236","3,373","2,035","1,347","1,324"
2020년09월_계_연령구간인구수,"22,315","14,236","3,373","2,035","1,347","1,324"
2020년09월_계_0~9세,"1,767","1,482",122,74,49,40
2020년09월_계_10~19세,"2,083","1,655",184,94,65,85
2020년09월_계_20~29세,"3,111","1,834",428,442,289,118
2020년09월_계_30~39세,"2,588","2,005",245,137,108,93
2020년09월_계_40~49세,"2,556","1,864",309,157,85,141
2020년09월_계_50~59세,"3,568","2,048",664,354,214,288
2020년09월_계_60~69세,"3,322","1,773",677,346,262,264
2020년09월_계_70~79세,"2,037",954,461,272,163,187
2020년09월_계_80~89세,"1,122",547,245,135,101,94
2020년09월_계_90~99세,147,63,35,24,11,14
2020년09월_계_100세 이상,14,11,3,0,0,0
2020년09월_남_총인구수,"11,814","7,309","1,833","1,163",798,711
2020년09월_남_연령구간인구수,"11,814","7,309","1,833","1,163",798,711
2020년09월_남_0~9세,901,748,64,37,26,26
2020년09월_남_10~19세,"1,057",825,100,45,39,48
2020년09월_남_20~29세,"2,067","1,096",317,340,242,72
2020년09월_남_30~39세,"1,436","1,077",146,93,69,51
2020년09월_남_40~49세,"1,392",989,183,87,49,84
2020년09월_남_50~59세,"1,890","1,050",369,188,124,159
2020년09월_남_60~69세,"1,766",921,363,194,143,145
2020년09월_남_70~79세,881,399,201,122,69,90
2020년09월_남_80~89세,380,181,80,50,35,34
2020년09월_남_90~99세,38,18,9,7,2,2
2020년09월_남_100세 이상,6,5,1,0,0,0
2020년09월_여_총인구수,"10,501","6,927","1,540",872,549,613
2020년09월_여_연령구간인구수,"10,501","6,927","1,540",872,549,613
2020년09월_여_0~9세,866,734,58,37,23,14
2020년09월_여_10~19세,"1,026",830,84,49,26,37
2020년09월_여_20~29세,"1,044",738,111,102,47,46
2020년09월_여_30~39세,"1,152",928,99,44,39,42
2020년09월_여_40~49세,"1,164",875,126,70,36,57
2020년09월_여_50~59세,"1,678",998,295,166,90,129
2020년09월_여_60~69세,"1,556",852,314,152,119,119
2020년09월_여_70~79세,"1,156",555,260,150,94,97
2020년09월_여_80~89세,742,366,165,85,66,60
2020년09월_여_90~99세,109,45,26,17,9,12
2020년09월_여_100세 이상,8,6,2,0,0,0
