카테고리,강원도 양양군,강원도 양양군 양양읍,강원도 양양군 서면,강원도 양양군 손양면,강원도 양양군 현북면,강원도 양양군 현남면,강원도 양양군 강현면
2021년08월_계_총인구수,"28,086","12,746","2,825","2,307","2,603","3,009","4,596"
2021년08월_계_연령구간인구수,"28,086","12,746","2,825","2,307","2,603","3,009","4,596"
2021년08월_계_0~9세,"1,301",839,54,59,76,94,179
2021년08월_계_10~19세,"1,812","1,127",157,91,92,116,229
2021년08월_계_20~29세,"2,381","1,242",217,196,157,152,417
2021년08월_계_30~39세,"2,272","1,255",152,147,195,206,317
2021년08월_계_40~49세,"3,486","1,940",287,221,242,320,476
2021년08월_계_50~59세,"4,991","2,180",526,434,449,498,904
2021년08월_계_60~69세,"5,884","2,161",669,518,695,743,"1,098"
2021년08월_계_70~79세,"3,648","1,240",473,370,423,509,633
2021년08월_계_80~89세,"1,962",641,251,236,234,313,287
2021년08월_계_90~99세,336,116,39,33,38,55,55
2021년08월_계_100세 이상,13,5,0,2,2,3,1
2021년08월_남_총인구수,"14,340","6,491","1,462","1,162","1,343","1,550","2,332"
2021년08월_남_연령구간인구수,"14,340","6,491","1,462","1,162","1,343","1,550","2,332"
2021년08월_남_0~9세,670,428,32,28,40,46,96
2021년08월_남_10~19세,960,608,90,37,51,60,114
2021년08월_남_20~29세,"1,416",750,129,111,97,96,233
2021년08월_남_30~39세,"1,247",652,93,82,118,115,187
2021년08월_남_40~49세,"1,904",986,162,137,146,203,270
2021년08월_남_50~59세,"2,681","1,152",303,241,219,283,483
2021년08월_남_60~69세,"2,966","1,069",330,263,371,389,544
2021년08월_남_70~79세,"1,699",584,210,166,198,245,296
2021년08월_남_80~89세,726,234,108,89,94,108,93
2021년08월_남_90~99세,69,26,5,8,9,5,16
2021년08월_남_100세 이상,2,2,0,0,0,0,0
2021년08월_여_총인구수,"13,746","6,255","1,363","1,145","1,260","1,459","2,264"
2021년08월_여_연령구간인구수,"13,746","6,255","1,363","1,145","1,260","1,459","2,264"
2021년08월_여_0~9세,631,411,22,31,36,48,83
2021년08월_여_10~19세,852,519,67,54,41,56,115
2021년08월_여_20~29세,965,492,88,85,60,56,184
2021년08월_여_30~39세,"1,025",603,59,65,77,91,130
2021년08월_여_40~49세,"1,582",954,125,84,96,117,206
2021년08월_여_50~59세,"2,310","1,028",223,193,230,215,421
2021년08월_여_60~69세,"2,918","1,092",339,255,324,354,554
2021년08월_여_70~79세,"1,949",656,263,204,225,264,337
2021년08월_여_80~89세,"1,236",407,143,147,140,205,194
2021년08월_여_90~99세,267,90,34,25,29,50,39
2021년08월_여_100세 이상,11,3,0,2,2,3,1
