카테고리,강원도 영월군,강원도 영월군 영월읍,강원도 영월군 상동읍,강원도 영월군 중동면,강원도 영월군 김삿갓면,강원도 영월군 북면,강원도 영월군 남면,강원도 영월군 한반도면,강원도 영월군 한반도면쌍용출장소,강원도 영월군 주천면,강원도 영월군 무릉도원면
2021년06월_계_총인구수,"38,057","20,857","1,055","1,441","1,704","2,111","2,245","1,222","1,676","3,727","2,019"
2021년06월_계_연령구간인구수,"38,057","20,857","1,055","1,441","1,704","2,111","2,245","1,222","1,676","3,727","2,019"
2021년06월_계_0~9세,"1,609","1,246",19,31,28,33,39,42,44,85,42
2021년06월_계_10~19세,"2,881","2,150",32,52,78,90,104,38,60,201,76
2021년06월_계_20~29세,"3,131","2,215",46,69,80,125,112,99,95,207,83
2021년06월_계_30~39세,"2,698","1,855",48,54,53,103,119,74,118,181,93
2021년06월_계_40~49세,"4,389","2,886",101,108,147,186,212,117,157,305,170
2021년06월_계_50~59세,"7,134","3,732",192,320,376,420,420,259,292,731,392
2021년06월_계_60~69세,"8,287","3,451",275,394,504,570,649,321,437,"1,048",638
2021년06월_계_70~79세,"4,761","2,065",190,245,260,341,347,162,273,530,348
2021년06월_계_80~89세,"2,796","1,115",140,152,155,209,208,102,172,388,155
2021년06월_계_90~99세,350,138,12,16,23,27,30,8,27,47,22
2021년06월_계_100세 이상,21,4,0,0,0,7,5,0,1,4,0
2021년06월_남_총인구수,"19,711","10,675",550,752,888,"1,102","1,191",688,911,"1,913","1,041"
2021년06월_남_연령구간인구수,"19,711","10,675",550,752,888,"1,102","1,191",688,911,"1,913","1,041"
2021년06월_남_0~9세,844,659,12,12,14,17,19,21,27,42,21
2021년06월_남_10~19세,"1,562","1,180",17,24,40,38,56,24,24,118,41
2021년06월_남_20~29세,"1,822","1,261",30,44,51,79,71,64,58,117,47
2021년06월_남_30~39세,"1,468",969,24,36,31,59,78,40,83,103,45
2021년06월_남_40~49세,"2,381","1,457",67,69,81,119,130,68,110,175,105
2021년06월_남_50~59세,"3,975","2,052",114,177,204,240,250,166,175,394,203
2021년06월_남_60~69세,"4,371","1,755",150,231,272,313,345,176,239,558,332
2021년06월_남_70~79세,"2,175",906,87,99,133,151,169,86,119,251,174
2021년06월_남_80~89세,"1,008",398,48,54,57,76,64,41,64,140,66
2021년06월_남_90~99세,97,37,1,6,5,7,7,2,11,14,7
2021년06월_남_100세 이상,8,1,0,0,0,3,2,0,1,1,0
2021년06월_여_총인구수,"18,346","10,182",505,689,816,"1,009","1,054",534,765,"1,814",978
2021년06월_여_연령구간인구수,"18,346","10,182",505,689,816,"1,009","1,054",534,765,"1,814",978
2021년06월_여_0~9세,765,587,7,19,14,16,20,21,17,43,21
2021년06월_여_10~19세,"1,319",970,15,28,38,52,48,14,36,83,35
2021년06월_여_20~29세,"1,309",954,16,25,29,46,41,35,37,90,36
2021년06월_여_30~39세,"1,230",886,24,18,22,44,41,34,35,78,48
2021년06월_여_40~49세,"2,008","1,429",34,39,66,67,82,49,47,130,65
2021년06월_여_50~59세,"3,159","1,680",78,143,172,180,170,93,117,337,189
2021년06월_여_60~69세,"3,916","1,696",125,163,232,257,304,145,198,490,306
2021년06월_여_70~79세,"2,586","1,159",103,146,127,190,178,76,154,279,174
2021년06월_여_80~89세,"1,788",717,92,98,98,133,144,61,108,248,89
2021년06월_여_90~99세,253,101,11,10,18,20,23,6,16,33,15
2021년06월_여_100세 이상,13,3,0,0,0,4,3,0,0,3,0
