,강원도 원주시,강원도 원주시 문막읍,강원도 원주시 소초면,강원도 원주시 호저면,강원도 원주시 지정면,강원도 원주시 부론면,강원도 원주시 귀래면,강원도 원주시 흥업면,강원도 원주시 판부면,강원도 원주시 신림면,강원도 원주시 중앙동,강원도 원주시 원인동,강원도 원주시 개운동,강원도 원주시 명륜1동,강원도 원주시 명륜2동,강원도 원주시 단구동,강원도 원주시 일산동,강원도 원주시 학성동,강원도 원주시 단계동,강원도 원주시 우산동,강원도 원주시 태장1동,강원도 원주시 태장2동,강원도 원주시 봉산동,강원도 원주시 행구동,강원도 원주시 무실동,강원도 원주시 반곡관설동
2020년09월_계_총인구수,"353,189","17,833","8,680","3,777","27,192","2,260","2,172","8,731","7,217","3,636","2,780","5,201","12,876","8,736","15,725","43,583","8,677","4,919","27,794","13,702","10,165","25,113","8,299","7,564","32,850","43,707"
2020년09월_계_연령구간인구수,"353,189","17,833","8,680","3,777","27,192","2,260","2,172","8,731","7,217","3,636","2,780","5,201","12,876","8,736","15,725","43,583","8,677","4,919","27,794","13,702","10,165","25,113","8,299","7,564","32,850","43,707"
2020년09월_계_0~9세,"28,485","1,200",375,110,"4,516",44,48,442,400,60,54,227,702,401,776,"3,423",405,173,"2,005","1,070",823,"1,817",281,486,"3,335","5,312"
2020년09월_계_10~19세,"36,082","1,659",546,157,"2,275",91,70,662,674,125,102,356,"1,332",785,"1,728","5,328",632,303,"2,415","1,233","1,169","2,730",711,860,"4,347","5,792"
2020년09월_계_20~29세,"45,245","2,081",990,329,"2,873",134,139,"1,421",955,216,193,753,"1,663","1,206","2,144","6,366","1,643",584,"4,326","1,999","1,061","3,043",962,936,"4,069","5,159"
2020년09월_계_30~39세,"45,317","1,882",707,247,"6,744",88,120,835,828,180,207,526,"1,240",798,"1,403","5,430",924,435,"3,902","1,651","1,138","2,851",654,676,"4,471","7,380"
2020년09월_계_40~49세,"57,364","2,929","1,013",343,"4,552",177,166,"1,184","1,157",296,295,649,"1,759","1,172","2,411","7,977","1,036",619,"4,048","2,142","1,762","4,251","1,083","1,197","6,353","8,793"
2020년09월_계_50~59세,"60,614","3,298","1,751",758,"2,989",400,464,"1,542","1,428",777,589,"1,003","2,450","1,770","3,142","7,544","1,454",963,"5,250","2,337","1,699","4,605","1,632","1,476","5,128","6,165"
2020년09월_계_60~69세,"44,621","2,462","1,791",894,"2,025",619,573,"1,472",999,"1,007",640,881,"1,943","1,391","2,291","4,289","1,331",943,"3,643","1,839","1,367","3,268","1,520","1,068","3,240","3,125"
2020년09월_계_70~79세,"21,658","1,430",883,491,727,400,344,687,471,574,376,481,"1,097",758,"1,082","2,064",761,538,"1,365",910,731,"1,582",870,508,"1,254","1,274"
2020년09월_계_80~89세,"11,899",772,530,403,415,265,207,434,263,349,264,289,593,393,653,"1,019",412,308,712,448,374,854,500,290,545,607
2020년09월_계_90~99세,"1,797",114,90,45,71,40,38,50,41,52,55,32,92,58,92,135,72,50,121,69,36,109,77,61,103,94
2020년09월_계_100세 이상,107,6,4,0,5,2,3,2,1,0,5,4,5,4,3,8,7,3,7,4,5,3,9,6,5,6
2020년09월_남_총인구수,"175,217","9,089","4,543","1,990","13,403","1,151","1,104","4,614","3,784","1,865","1,485","2,503","6,181","4,219","7,622","21,414","4,265","2,463","13,496","7,187","5,112","12,505","4,102","3,731","16,132","21,257"
2020년09월_남_연령구간인구수,"175,217","9,089","4,543","1,990","13,403","1,151","1,104","4,614","3,784","1,865","1,485","2,503","6,181","4,219","7,622","21,414","4,265","2,463","13,496","7,187","5,112","12,505","4,102","3,731","16,132","21,257"
2020년09월_남_0~9세,"14,519",604,197,66,"2,243",18,26,227,199,30,31,112,347,194,365,"1,766",214,96,"1,066",556,434,949,139,252,"1,711","2,677"
2020년09월_남_10~19세,"18,722",848,278,92,"1,141",41,30,350,362,72,56,193,734,384,875,"2,777",359,174,"1,244",681,615,"1,412",390,436,"2,321","2,857"
2020년09월_남_20~29세,"24,005","1,175",604,195,"1,380",76,74,803,526,121,109,389,862,673,"1,142","3,425",796,325,"2,232","1,124",565,"1,626",522,511,"2,187","2,563"
2020년09월_남_30~39세,"23,039","1,010",401,137,"3,410",51,86,469,477,113,110,263,623,411,716,"2,750",515,236,"2,035",876,569,"1,485",399,344,"2,121","3,432"
2020년09월_남_40~49세,"28,242","1,519",546,208,"2,354",116,89,663,596,177,185,335,829,544,"1,157","3,743",525,343,"1,866","1,132",900,"2,137",552,552,"2,988","4,186"
2020년09월_남_50~59세,"30,491","1,750",931,419,"1,395",222,255,819,778,403,363,489,"1,183",856,"1,569","3,717",702,497,"2,410","1,248",895,"2,328",820,735,"2,488","3,219"
2020년09월_남_60~69세,"22,061","1,253",955,484,"1,008",326,304,792,527,527,361,408,893,667,"1,109","2,035",621,443,"1,759",968,680,"1,584",733,542,"1,552","1,530"
2020년09월_남_70~79세,"9,573",634,418,239,329,199,148,324,231,268,163,199,484,330,470,833,344,220,609,409,307,674,362,239,572,568
2020년09월_남_80~89세,"4,131",264,191,142,127,91,85,154,83,136,90,101,205,145,201,330,166,119,248,176,138,286,166,106,178,203
2020년09월_남_90~99세,408,31,20,8,16,11,6,12,5,18,17,12,21,13,16,35,21,10,26,16,8,23,16,13,13,21
2020년09월_남_100세 이상,26,1,2,0,0,0,1,1,0,0,0,2,0,2,2,3,2,0,1,1,1,1,3,1,1,1
2020년09월_여_총인구수,"177,972","8,744","4,137","1,787","13,789","1,109","1,068","4,117","3,433","1,771","1,295","2,698","6,695","4,517","8,103","22,169","4,412","2,456","14,298","6,515","5,053","12,608","4,197","3,833","16,718","22,450"
