카테고리,강원도 원주시,강원도 원주시 문막읍,강원도 원주시 소초면,강원도 원주시 호저면,강원도 원주시 지정면,강원도 원주시 부론면,강원도 원주시 귀래면,강원도 원주시 흥업면,강원도 원주시 판부면,강원도 원주시 신림면,강원도 원주시 중앙동,강원도 원주시 원인동,강원도 원주시 개운동,강원도 원주시 명륜1동,강원도 원주시 명륜2동,강원도 원주시 단구동,강원도 원주시 일산동,강원도 원주시 학성동,강원도 원주시 단계동,강원도 원주시 우산동,강원도 원주시 태장1동,강원도 원주시 태장2동,강원도 원주시 봉산동,강원도 원주시 행구동,강원도 원주시 무실동,강원도 원주시 반곡관설동
2021년08월_계_총인구수,"355,767","17,710","8,500","3,671","28,688","2,262","2,177","8,653","7,328","3,585","2,611","4,989","12,773","8,510","15,460","44,720","8,554","4,696","28,955","13,608","10,085","24,680","8,022","7,804","32,984","44,742"
2021년08월_계_연령구간인구수,"355,767","17,710","8,500","3,671","28,688","2,262","2,177","8,653","7,328","3,585","2,611","4,989","12,773","8,510","15,460","44,720","8,554","4,696","28,955","13,608","10,085","24,680","8,022","7,804","32,984","44,742"
2021년08월_계_0~9세,"27,701","1,092",335,115,"4,759",41,42,416,397,60,48,200,627,396,703,"3,363",383,160,"2,084","1,006",739,"1,683",256,492,"3,062","5,242"
2021년08월_계_10~19세,"35,364","1,572",506,129,"2,554",93,73,607,633,109,99,331,"1,296",748,"1,617","5,226",606,270,"2,385","1,186","1,111","2,559",642,871,"4,371","5,770"
2021년08월_계_20~29세,"45,064","2,024",936,303,"2,738",131,144,"1,350","1,009",190,178,708,"1,584","1,101","2,116","6,605","1,638",530,"4,379","1,977","1,057","2,944",874,933,"4,200","5,415"
2021년08월_계_30~39세,"45,060","1,767",685,230,"6,875",86,112,797,857,183,185,506,"1,189",768,"1,360","5,551",911,391,"4,268","1,591","1,038","2,704",637,748,"4,282","7,339"
2021년08월_계_40~49세,"56,708","2,857",912,331,"5,016",163,156,"1,138","1,103",271,253,586,"1,705","1,117","2,261","7,954","1,002",589,"4,024","2,148","1,722","4,018",987,"1,192","6,307","8,896"
2021년08월_계_50~59세,"60,866","3,328","1,650",690,"3,167",344,427,"1,548","1,448",734,524,930,"2,450","1,669","3,097","7,845","1,375",908,"5,336","2,288","1,754","4,557","1,537","1,481","5,232","6,547"
2021년08월_계_60~69세,"48,867","2,727","1,945",960,"2,298",687,615,"1,605","1,084","1,052",659,935,"2,061","1,501","2,470","4,819","1,379",969,"4,176","1,987","1,474","3,621","1,609","1,222","3,512","3,500"
2021년08월_계_70~79세,"21,435","1,395",863,462,757,397,358,656,449,562,346,452,"1,104",743,"1,080","2,069",752,506,"1,412",904,745,"1,549",841,488,"1,291","1,254"
2021년08월_계_80~89세,"12,736",823,568,401,442,273,209,484,295,371,268,299,665,410,663,"1,137",438,317,769,450,401,928,543,317,613,652
2021년08월_계_90~99세,"1,903",120,99,49,78,45,41,50,51,50,50,40,89,56,92,147,68,54,119,70,41,115,92,55,111,121
2021년08월_계_100세 이상,63,5,1,1,4,2,0,2,2,3,1,2,3,1,1,4,2,2,3,1,3,2,4,5,3,6
2021년08월_남_총인구수,"176,452","9,066","4,474","1,927","14,094","1,152","1,112","4,559","3,866","1,836","1,397","2,398","6,145","4,101","7,478","21,946","4,117","2,346","14,104","7,205","5,058","12,308","3,981","3,868","16,142","21,772"
2021년08월_남_연령구간인구수,"176,452","9,066","4,474","1,927","14,094","1,152","1,112","4,559","3,866","1,836","1,397","2,398","6,145","4,101","7,478","21,946","4,117","2,346","14,104","7,205","5,058","12,308","3,981","3,868","16,142","21,772"
2021년08월_남_0~9세,"14,132",553,181,66,"2,353",18,23,206,203,30,26,103,306,190,333,"1,741",185,88,"1,110",540,382,875,134,263,"1,557","2,666"
2021년08월_남_10~19세,"18,237",785,246,68,"1,271",40,32,315,336,63,52,173,703,363,822,"2,694",344,158,"1,232",658,584,"1,332",363,442,"2,320","2,841"
2021년08월_남_20~29세,"24,015","1,134",597,188,"1,343",75,80,781,571,101,96,367,844,608,"1,103","3,579",779,291,"2,269","1,139",561,"1,589",478,518,"2,244","2,680"
2021년08월_남_30~39세,"22,865",975,392,125,"3,422",45,75,438,490,115,104,249,604,394,694,"2,835",492,207,"2,242",850,533,"1,392",380,361,"2,078","3,373"
2021년08월_남_40~49세,"27,920","1,482",500,204,"2,569",111,82,618,570,162,165,320,792,523,"1,074","3,741",507,326,"1,902","1,142",864,"2,042",489,559,"2,905","4,271"
2021년08월_남_50~59세,"30,582","1,776",864,395,"1,484",200,239,848,799,381,321,449,"1,176",799,"1,546","3,802",661,471,"2,422","1,226",940,"2,297",806,747,"2,545","3,388"
2021년08월_남_60~69세,"24,256","1,410","1,047",507,"1,148",361,336,856,571,555,368,441,978,732,"1,204","2,314",617,462,"2,005","1,042",718,"1,782",780,617,"1,673","1,732"
2021년08월_남_70~79세,"9,533",631,418,232,348,197,156,314,213,273,156,188,476,325,470,826,337,216,628,417,318,659,351,232,583,569
2021년08월_남_80~89세,"4,472",284,203,134,139,94,83,171,105,141,97,94,247,155,211,381,173,115,271,173,150,313,180,117,216,225
2021년08월_남_90~99세,430,33,26,8,17,11,6,11,8,15,12,14,19,12,20,32,21,12,23,18,8,27,19,12,20,26
2021년08월_남_100세 이상,10,3,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1
2021년08월_여_총인구수,"179,315","8,644","4,026","1,744","14,594","1,110","1,065","4,094","3,462","1,749","1,214","2,591","6,628","4,409","7,982","22,774","4,437","2,350","14,851","6,403","5,027","12,372","4,041","3,936","16,842","22,970"
2021년08월_여_연령구간인구수,"179,315","8,644","4,026","1,744","14,594","1,110","1,065","4,094","3,462","1,749","1,214","2,591","6,628","4,409","7,982","22,774","4,437","2,350","14,851","6,403","5,027","12,372","4,041","3,936","16,842","22,970"
2021년08월_여_0~9세,"13,569",539,154,49,"2,406",23,19,210,194,30,22,97,321,206,370,"1,622",198,72,974,466,357,808,122,229,"1,505","2,576"
2021년08월_여_10~19세,"17,127",787,260,61,"1,283",53,41,292,297,46,47,158,593,385,795,"2,532",262,112,"1,153",528,527,"1,227",279,429,"2,051","2,929"
2021년08월_여_20~29세,"21,049",890,339,115,"1,395",56,64,569,438,89,82,341,740,493,"1,013","3,026",859,239,"2,110",838,496,"1,355",396,415,"1,956","2,735"
2021년08월_여_30~39세,"22,195",792,293,105,"3,453",41,37,359,367,68,81,257,585,374,666,"2,716",419,184,"2,026",741,505,"1,312",257,387,"2,204","3,966"
2021년08월_여_40~49세,"28,788","1,375",412,127,"2,447",52,74,520,533,109,88,266,913,594,"1,187","4,213",495,263,"2,122","1,006",858,"1,976",498,633,"3,402","4,625"
2021년08월_여_50~59세,"30,284","1,552",786,295,"1,683",144,188,700,649,353,203,481,"1,274",870,"1,551","4,043",714,437,"2,914","1,062",814,"2,260",731,734,"2,687","3,159"
2021년08월_여_60~69세,"24,611","1,317",898,453,"1,150",326,279,749,513,497,291,494,"1,083",769,"1,266","2,505",762,507,"2,171",945,756,"1,839",829,605,"1,839","1,768"
2021년08월_여_70~79세,"11,902",764,445,230,409,200,202,342,236,289,190,264,628,418,610,"1,243",415,290,784,487,427,890,490,256,708,685
2021년08월_여_80~89세,"8,264",539,365,267,303,179,126,313,190,230,171,205,418,255,452,756,265,202,498,277,251,615,363,200,397,427
2021년08월_여_90~99세,"1,473",87,73,41,61,34,35,39,43,35,38,26,70,44,72,115,47,42,96,52,33,88,73,43,91,95
2021년08월_여_100세 이상,53,2,1,1,4,2,0,1,2,3,1,2,3,1,0,3,1,2,3,1,3,2,3,5,2,5
