,강원도 인제군,강원도 인제군 인제읍,강원도 인제군 인제읍귀둔출장소,강원도 인제군 남면,강원도 인제군 북면,강원도 인제군 기린면,강원도 인제군 서화면,강원도 인제군 상남면
2021년02월_계_총인구수,"31,665","9,920",516,"3,921","8,165","5,023","2,588","1,532"
2021년02월_계_연령구간인구수,"31,665","9,920",516,"3,921","8,165","5,023","2,588","1,532"
2021년02월_계_0~9세,"2,471",932,16,318,597,381,183,44
2021년02월_계_10~19세,"2,292",847,33,259,616,318,136,83
2021년02월_계_20~29세,"4,079","1,248",30,510,"1,012",584,564,131
2021년02월_계_30~39세,"3,843","1,331",30,531,871,633,369,78
2021년02월_계_40~49세,"3,991","1,443",59,397,"1,059",628,243,162
2021년02월_계_50~59세,"5,200","1,523",120,600,"1,454",855,333,315
2021년02월_계_60~69세,"5,308","1,412",115,719,"1,395",892,390,385
2021년02월_계_70~79세,"2,684",726,77,329,687,425,231,209
2021년02월_계_80~89세,"1,522",383,32,217,407,256,123,104
2021년02월_계_90~99세,260,68,4,40,63,49,16,20
2021년02월_계_100세 이상,15,7,0,1,4,2,0,1
2021년02월_남_총인구수,"17,076","5,204",272,"2,109","4,358","2,741","1,556",836
2021년02월_남_연령구간인구수,"17,076","5,204",272,"2,109","4,358","2,741","1,556",836
2021년02월_남_0~9세,"1,256",470,9,154,300,201,99,23
2021년02월_남_10~19세,"1,197",453,16,131,320,160,71,46
2021년02월_남_20~29세,"2,717",767,17,347,649,394,452,91
2021년02월_남_30~39세,"2,200",714,20,314,477,381,243,51
2021년02월_남_40~49세,"2,218",783,35,221,591,350,146,92
2021년02월_남_50~59세,"2,757",788,64,318,781,440,194,172
2021년02월_남_60~69세,"2,840",726,58,383,764,504,194,211
2021년02월_남_70~79세,"1,285",350,41,158,313,205,111,107
2021년02월_남_80~89세,533,135,10,72,146,94,41,35
2021년02월_남_90~99세,67,15,2,11,15,11,5,8
2021년02월_남_100세 이상,6,3,0,0,2,1,0,0
2021년02월_여_총인구수,"14,589","4,716",244,"1,812","3,807","2,282","1,032",696
2021년02월_여_연령구간인구수,"14,589","4,716",244,"1,812","3,807","2,282","1,032",696
2021년02월_여_0~9세,"1,215",462,7,164,297,180,84,21
2021년02월_여_10~19세,"1,095",394,17,128,296,158,65,37
2021년02월_여_20~29세,"1,362",481,13,163,363,190,112,40
2021년02월_여_30~39세,"1,643",617,10,217,394,252,126,27
2021년02월_여_40~49세,"1,773",660,24,176,468,278,97,70
2021년02월_여_50~59세,"2,443",735,56,282,673,415,139,143
2021년02월_여_60~69세,"2,468",686,57,336,631,388,196,174
2021년02월_여_70~79세,"1,399",376,36,171,374,220,120,102
2021년02월_여_80~89세,989,248,22,145,261,162,82,69
2021년02월_여_90~99세,193,53,2,29,48,38,11,12
2021년02월_여_100세 이상,9,4,0,1,2,1,0,1
