,강원도 철원군,강원도 철원군 철원읍,강원도 철원군 김화읍,강원도 철원군 갈말읍,강원도 철원군 동송읍,강원도 철원군 서면,강원도 철원군 서면와수출장소,강원도 철원군 근남면,강원도 철원군 근북면,강원도 철원군 근동면,강원도 철원군 원동면,강원도 철원군 원남면,강원도 철원군 임남면
2021년12월_계_총인구수,"43,340","5,262","3,476","11,855","14,941","1,841","3,671","2,190",104,0,0,0,0
2021년12월_계_연령구간인구수,"43,340","5,262","3,476","11,855","14,941","1,841","3,671","2,190",104,0,0,0,0
2021년12월_계_0~9세,"3,155",405,340,774,"1,090",153,221,172,0,0,0,0,0
2021년12월_계_10~19세,"3,629",461,260,955,"1,411",84,322,133,3,0,0,0,0
2021년12월_계_20~29세,"5,242",594,474,"1,509","1,630",352,419,263,1,0,0,0,0
2021년12월_계_30~39세,"4,496",586,453,"1,213","1,454",232,307,249,2,0,0,0,0
2021년12월_계_40~49세,"5,483",634,392,"1,566","1,992",176,522,192,9,0,0,0,0
2021년12월_계_50~59세,"6,929",858,441,"1,984","2,463",218,618,330,17,0,0,0,0
2021년12월_계_60~69세,"7,159",816,524,"1,999","2,469",284,635,412,20,0,0,0,0
2021년12월_계_70~79세,"4,468",572,340,"1,180","1,499",205,368,274,30,0,0,0,0
2021년12월_계_80~89세,"2,401",297,220,577,806,118,217,145,21,0,0,0,0
2021년12월_계_90~99세,365,39,32,93,124,19,40,17,1,0,0,0,0
2021년12월_계_100세 이상,13,0,0,5,3,0,2,3,0,0,0,0,0
2021년12월_남_총인구수,"22,453","2,666","1,858","6,326","7,523","1,019","1,858","1,155",48,0,0,0,0
2021년12월_남_연령구간인구수,"22,453","2,666","1,858","6,326","7,523","1,019","1,858","1,155",48,0,0,0,0
2021년12월_남_0~9세,"1,546",188,180,378,513,75,120,92,0,0,0,0,0
2021년12월_남_10~19세,"1,896",255,137,521,704,53,158,66,2,0,0,0,0
2021년12월_남_20~29세,"3,389",346,316,"1,032",983,258,269,184,1,0,0,0,0
2021년12월_남_30~39세,"2,496",318,256,691,790,142,157,141,1,0,0,0,0
2021년12월_남_40~49세,"2,905",335,223,818,"1,021",102,288,112,6,0,0,0,0
2021년12월_남_50~59세,"3,695",462,238,"1,053","1,317",119,331,164,11,0,0,0,0
2021년12월_남_60~69세,"3,563",405,275,"1,034","1,193",138,298,214,6,0,0,0,0
2021년12월_남_70~79세,"1,999",246,139,538,692,90,156,127,11,0,0,0,0
2021년12월_남_80~89세,871,100,87,238,275,37,73,51,10,0,0,0,0
2021년12월_남_90~99세,91,11,7,21,35,5,8,4,0,0,0,0,0
2021년12월_남_100세 이상,2,0,0,2,0,0,0,0,0,0,0,0,0
2021년12월_여_총인구수,"20,887","2,596","1,618","5,529","7,418",822,"1,813","1,035",56,0,0,0,0
2021년12월_여_연령구간인구수,"20,887","2,596","1,618","5,529","7,418",822,"1,813","1,035",56,0,0,0,0
2021년12월_여_0~9세,"1,609",217,160,396,577,78,101,80,0,0,0,0,0
2021년12월_여_10~19세,"1,733",206,123,434,707,31,164,67,1,0,0,0,0
2021년12월_여_20~29세,"1,853",248,158,477,647,94,150,79,0,0,0,0,0
2021년12월_여_30~39세,"2,000",268,197,522,664,90,150,108,1,0,0,0,0
2021년12월_여_40~49세,"2,578",299,169,748,971,74,234,80,3,0,0,0,0
2021년12월_여_50~59세,"3,234",396,203,931,"1,146",99,287,166,6,0,0,0,0
2021년12월_여_60~69세,"3,596",411,249,965,"1,276",146,337,198,14,0,0,0,0
2021년12월_여_70~79세,"2,469",326,201,642,807,115,212,147,19,0,0,0,0
2021년12월_여_80~89세,"1,530",197,133,339,531,81,144,94,11,0,0,0,0
2021년12월_여_90~99세,274,28,25,72,89,14,32,13,1,0,0,0,0
2021년12월_여_100세 이상,11,0,0,3,3,0,2,3,0,0,0,0,0
