카테고리,강원도 춘천시,강원도 춘천시 신북읍,강원도 춘천시 동면,강원도 춘천시 동산면,강원도 춘천시 신동면,강원도 춘천시 남면,강원도 춘천시 서면,강원도 춘천시 사북면,강원도 춘천시 북산면,강원도 춘천시 동내면,강원도 춘천시 남산면,강원도 춘천시 교동,강원도 춘천시 조운동,강원도 춘천시 약사명동,강원도 춘천시 근화동,강원도 춘천시 소양동,강원도 춘천시 후평1동,강원도 춘천시 후평2동,강원도 춘천시 후평3동,강원도 춘천시 효자1동,강원도 춘천시 효자2동,강원도 춘천시 효자3동,강원도 춘천시 석사동,강원도 춘천시 퇴계동,강원도 춘천시 강남동,강원도 춘천시 신사우동
2020년01월_계_총인구수,"281,468","7,893","19,684","1,501","2,585","1,098","3,926","2,588",965,"17,448","3,577","3,632","2,980","2,420","8,986","10,162","12,027","15,320","21,421","4,712","11,979","4,691","36,147","48,198","17,043","20,485"
2020년01월_계_연령구간인구수,"281,468","7,893","19,684","1,501","2,585","1,098","3,926","2,588",965,"17,448","3,577","3,632","2,980","2,420","8,986","10,162","12,027","15,320","21,421","4,712","11,979","4,691","36,147","48,198","17,043","20,485"
2020년01월_계_0~9세,"22,246",388,"2,355",30,107,20,123,81,20,"1,617",98,108,91,102,977,842,576,"1,367","1,793",356,450,170,"2,805","4,382","1,305","2,083"
2020년01월_계_10~19세,"27,920",506,"2,403",65,145,37,200,157,22,"1,749",176,202,151,137,707,813,910,"1,561","2,109",427,729,273,"4,635","6,080","1,491","2,235"
2020년01월_계_20~29세,"36,921",868,"1,909",130,270,45,278,177,42,"2,206",271,846,422,278,"1,065","1,275","1,884","2,187","2,716",553,"2,629","1,052","5,121","6,059","2,230","2,408"
2020년01월_계_30~39세,"34,799",706,"2,605",107,213,71,240,115,37,"2,511",281,437,318,244,"1,472","1,354","1,397","2,232","2,940",540,"1,304",622,"4,013","6,125","2,237","2,678"
2020년01월_계_40~49세,"42,909",945,"3,595",121,270,92,352,235,70,"2,889",375,393,377,289,"1,194","1,434","1,603","2,271","3,175",726,"1,470",537,"6,292","8,403","2,474","3,327"
2020년01월_계_50~59세,"47,032","1,474","3,034",281,517,226,768,526,202,"2,794",720,537,526,445,"1,331","1,784","2,116","2,492","3,525",807,"1,851",729,"6,194","8,027","3,011","3,115"
2020년01월_계_60~69세,"35,515","1,360","2,183",372,542,258,906,612,279,"2,010",843,514,502,401,"1,040","1,302","1,790","1,596","2,737",612,"1,660",627,"3,714","4,994","2,361","2,300"
2020년01월_계_70~79세,"21,220",970,"1,015",227,285,195,583,423,193,"1,042",522,375,355,308,766,848,"1,135",993,"1,518",449,"1,183",423,"2,110","2,575","1,257","1,470"
2020년01월_계_80~89세,"11,012",590,481,153,211,130,387,220,87,541,246,194,196,171,367,430,524,521,788,206,619,228,"1,089","1,335",571,727
2020년01월_계_90~99세,"1,782",82,102,14,24,23,82,42,13,85,42,24,39,42,63,70,87,94,118,36,76,28,168,207,100,121
2020년01월_계_100세 이상,112,4,2,1,1,1,7,0,0,4,3,2,3,3,4,10,5,6,2,0,8,2,6,11,6,21
2020년01월_남_총인구수,"138,806","3,960","9,785",818,"1,330",591,"2,012","1,274",536,"8,712","1,895","1,851","1,437","1,173","4,528","4,916","5,912","7,346","10,159","2,372","6,283","2,358","17,683","23,245","8,375","10,255"
2020년01월_남_연령구간인구수,"138,806","3,960","9,785",818,"1,330",591,"2,012","1,274",536,"8,712","1,895","1,851","1,437","1,173","4,528","4,916","5,912","7,346","10,159","2,372","6,283","2,358","17,683","23,245","8,375","10,255"
2020년01월_남_0~9세,"11,414",192,"1,236",13,58,15,64,42,11,858,61,67,45,45,509,413,305,700,892,181,229,92,"1,385","2,249",679,"1,073"
2020년01월_남_10~19세,"14,529",267,"1,240",42,67,19,110,90,8,885,95,108,77,78,397,432,463,824,"1,045",238,373,132,"2,380","3,183",772,"1,204"
2020년01월_남_20~29세,"19,582",477,"1,045",72,168,33,146,105,23,"1,123",146,458,214,157,561,668,970,"1,143","1,366",313,"1,534",516,"2,665","3,162","1,180","1,337"
2020년01월_남_30~39세,"17,597",389,"1,223",64,113,41,133,65,26,"1,287",163,244,165,133,753,668,762,"1,093","1,500",280,765,355,"2,023","2,914","1,136","1,302"
2020년01월_남_40~49세,"21,304",502,"1,794",76,155,56,205,116,41,"1,510",220,215,208,145,621,730,832,"1,063","1,509",379,808,305,"2,998","3,916","1,209","1,691"
2020년01월_남_50~59세,"23,484",768,"1,522",162,285,138,420,251,114,"1,412",403,282,269,224,736,880,"1,038","1,167","1,667",395,"1,029",365,"3,094","3,831","1,437","1,595"
2020년01월_남_60~69세,"17,223",704,"1,073",217,267,132,499,321,174,983,433,228,234,199,498,600,835,748,"1,273",296,797,300,"1,824","2,389","1,109","1,090"
2020년01월_남_70~79세,"9,259",438,461,108,139,94,287,190,97,454,277,173,157,127,300,350,498,410,627,189,495,186,871,"1,063",612,656
2020년01월_남_80~89세,"3,944",200,172,62,73,54,124,85,38,179,85,69,58,58,131,154,190,170,248,89,236,97,407,486,216,263
2020년01월_남_90~99세,422,21,19,2,4,9,20,9,4,20,10,5,9,5,21,17,18,27,31,12,11,9,34,50,24,31
2020년01월_남_100세 이상,48,2,0,0,1,0,4,0,0,1,2,2,1,2,1,4,1,1,1,0,6,1,2,2,1,13
2020년01월_여_총인구수,"142,662","3,933","9,899",683,"1,255",507,"1,914","1,314",429,"8,736","1,682","1,781","1,543","1,247","4,458","5,246","6,115","7,974","11,262","2,340","5,696","2,333","18,464","24,953","8,668","10,230"
2020년01월_여_연령구간인구수,"142,662","3,933","9,899",683,"1,255",507,"1,914","1,314",429,"8,736","1,682","1,781","1,543","1,247","4,458","5,246","6,115","7,974","11,262","2,340","5,696","2,333","18,464","24,953","8,668","10,230"
2020년01월_여_0~9세,"10,832",196,"1,119",17,49,5,59,39,9,759,37,41,46,57,468,429,271,667,901,175,221,78,"1,420","2,133",626,"1,010"
2020년01월_여_10~19세,"13,391",239,"1,163",23,78,18,90,67,14,864,81,94,74,59,310,381,447,737,"1,064",189,356,141,"2,255","2,897",719,"1,031"
2020년01월_여_20~29세,"17,339",391,864,58,102,12,132,72,19,"1,083",125,388,208,121,504,607,914,"1,044","1,350",240,"1,095",536,"2,456","2,897","1,050","1,071"
