카테고리,강원도 태백시,강원도 태백시 황지동,강원도 태백시 황연동,강원도 태백시 삼수동,강원도 태백시 상장동,강원도 태백시 문곡소도동,강원도 태백시 장성동,강원도 태백시 구문소동,강원도 태백시 철암동
2021년09월_계_총인구수,"41,145","6,164","4,298","5,770","13,182","3,820","3,394","2,523","1,994"
2021년09월_계_연령구간인구수,"41,145","6,164","4,298","5,770","13,182","3,820","3,394","2,523","1,994"
2021년09월_계_0~9세,"2,369",437,165,355,"1,046",142,124,61,39
2021년09월_계_10~19세,"3,677",552,304,497,"1,543",267,228,205,81
2021년09월_계_20~29세,"3,478",587,334,387,"1,354",265,289,135,127
2021년09월_계_30~39세,"3,415",573,262,474,"1,357",270,230,132,117
2021년09월_계_40~49세,"6,120",884,584,871,"2,508",473,355,259,186
2021년09월_계_50~59세,"7,059","1,068",754,911,"2,187",707,695,393,344
2021년09월_계_60~69세,"7,758","1,137","1,027","1,062","1,788",918,719,624,483
2021년09월_계_70~79세,"4,813",631,601,792,956,526,464,464,379
2021년09월_계_80~89세,"2,180",263,235,368,391,217,257,231,218
2021년09월_계_90~99세,252,30,32,45,49,30,27,19,20
2021년09월_계_100세 이상,24,2,0,8,3,5,6,0,0
2021년09월_남_총인구수,"20,831","3,074","2,178","2,955","6,662","1,920","1,680","1,325","1,037"
2021년09월_남_연령구간인구수,"20,831","3,074","2,178","2,955","6,662","1,920","1,680","1,325","1,037"
2021년09월_남_0~9세,"1,248",231,79,197,548,74,61,38,20
2021년09월_남_10~19세,"1,908",287,162,257,792,119,107,142,42
2021년09월_남_20~29세,"2,009",354,200,236,769,141,157,77,75
2021년09월_남_30~39세,"1,820",303,147,248,690,143,139,73,77
2021년09월_남_40~49세,"3,259",465,326,494,"1,256",264,196,152,106
2021년09월_남_50~59세,"3,807",531,413,527,"1,166",373,360,237,200
2021년09월_남_60~69세,"3,814",531,518,493,868,467,371,318,248
2021년09월_남_70~79세,"2,120",275,241,350,434,235,204,204,177
2021년09월_남_80~89세,787,90,88,136,131,95,81,80,86
2021년09월_남_90~99세,50,6,4,14,7,7,2,4,6
2021년09월_남_100세 이상,9,1,0,3,1,2,2,0,0
2021년09월_여_총인구수,"20,314","3,090","2,120","2,815","6,520","1,900","1,714","1,198",957
2021년09월_여_연령구간인구수,"20,314","3,090","2,120","2,815","6,520","1,900","1,714","1,198",957
2021년09월_여_0~9세,"1,121",206,86,158,498,68,63,23,19
2021년09월_여_10~19세,"1,769",265,142,240,751,148,121,63,39
2021년09월_여_20~29세,"1,469",233,134,151,585,124,132,58,52
2021년09월_여_30~39세,"1,595",270,115,226,667,127,91,59,40
2021년09월_여_40~49세,"2,861",419,258,377,"1,252",209,159,107,80
2021년09월_여_50~59세,"3,252",537,341,384,"1,021",334,335,156,144
2021년09월_여_60~69세,"3,944",606,509,569,920,451,348,306,235
2021년09월_여_70~79세,"2,693",356,360,442,522,291,260,260,202
2021년09월_여_80~89세,"1,393",173,147,232,260,122,176,151,132
2021년09월_여_90~99세,202,24,28,31,42,23,25,15,14
2021년09월_여_100세 이상,15,1,0,5,2,3,4,0,0
