,강원도 홍천군,강원도 홍천군 홍천읍,강원도 홍천군 화촌면,강원도 홍천군 두촌면,강원도 홍천군 내촌면,강원도 홍천군 서석면,강원도 홍천군 동면,강원도 홍천군 남면,강원도 홍천군 서면,강원도 홍천군 북방면,강원도 홍천군 내면
2020년11월_계_총인구수,"69,192","34,892","4,669","2,426","2,388","3,740","3,962","6,205","3,797","3,887","3,226"
2020년11월_계_연령구간인구수,"69,192","34,892","4,669","2,426","2,388","3,740","3,962","6,205","3,797","3,887","3,226"
2020년11월_계_0~9세,"3,792","2,638",122,44,50,128,105,373,98,118,116
2020년11월_계_10~19세,"5,212","3,603",164,124,98,199,157,400,131,188,148
2020년11월_계_20~29세,"6,900","4,194",393,144,123,272,247,821,237,274,195
2020년11월_계_30~39세,"6,118","3,912",311,104,93,200,209,600,252,247,190
2020년11월_계_40~49세,"8,299","5,335",384,151,198,316,342,559,367,356,291
2020년11월_계_50~59세,"12,815","6,068",827,462,490,805,768,"1,026",753,836,780
2020년11월_계_60~69세,"13,705","4,987","1,238",678,695,967,"1,102","1,202","1,045",963,828
2020년11월_계_70~79세,"7,300","2,541",707,413,373,484,610,692,545,512,423
2020년11월_계_80~89세,"4,370","1,392",431,254,243,327,371,469,308,351,224
2020년11월_계_90~99세,637,203,88,50,25,38,45,62,58,38,30
2020년11월_계_100세 이상,44,19,4,2,0,4,6,1,3,4,1
2020년11월_남_총인구수,"35,637","17,639","2,466","1,215","1,251","1,897","2,043","3,376","1,995","2,039","1,716"
2020년11월_남_연령구간인구수,"35,637","17,639","2,466","1,215","1,251","1,897","2,043","3,376","1,995","2,039","1,716"
2020년11월_남_0~9세,"1,909","1,316",60,27,32,67,48,190,50,57,62
2020년11월_남_10~19세,"2,695","1,861",92,73,55,101,90,176,67,103,77
2020년11월_남_20~29세,"4,186","2,420",260,86,69,168,147,619,135,164,118
2020년11월_남_30~39세,"3,356","2,070",191,53,61,98,122,355,167,136,103
2020년11월_남_40~49세,"4,445","2,688",242,85,130,175,204,324,220,214,163
2020년11월_남_50~59세,"6,760","3,157",450,245,252,416,411,550,385,454,440
2020년11월_남_60~69세,"7,121","2,501",648,352,363,506,569,652,568,526,436
2020년11월_남_70~79세,"3,431","1,084",358,186,197,242,305,331,262,245,221
2020년11월_남_80~89세,"1,551",485,140,94,83,113,135,164,120,130,87
2020년11월_남_90~99세,175,56,24,13,9,10,11,15,21,8,8
2020년11월_남_100세 이상,8,1,1,1,0,1,1,0,0,2,1
2020년11월_여_총인구수,"33,555","17,253","2,203","1,211","1,137","1,843","1,919","2,829","1,802","1,848","1,510"
2020년11월_여_연령구간인구수,"33,555","17,253","2,203","1,211","1,137","1,843","1,919","2,829","1,802","1,848","1,510"
2020년11월_여_0~9세,"1,883","1,322",62,17,18,61,57,183,48,61,54
2020년11월_여_10~19세,"2,517","1,742",72,51,43,98,67,224,64,85,71
2020년11월_여_20~29세,"2,714","1,774",133,58,54,104,100,202,102,110,77
2020년11월_여_30~39세,"2,762","1,842",120,51,32,102,87,245,85,111,87
2020년11월_여_40~49세,"3,854","2,647",142,66,68,141,138,235,147,142,128
2020년11월_여_50~59세,"6,055","2,911",377,217,238,389,357,476,368,382,340
2020년11월_여_60~69세,"6,584","2,486",590,326,332,461,533,550,477,437,392
2020년11월_여_70~79세,"3,869","1,457",349,227,176,242,305,361,283,267,202
2020년11월_여_80~89세,"2,819",907,291,160,160,214,236,305,188,221,137
2020년11월_여_90~99세,462,147,64,37,16,28,34,47,37,30,22
2020년11월_여_100세 이상,36,18,3,1,0,3,5,1,3,2,0
