카테고리,강원도 홍천군,강원도 홍천군 홍천읍,강원도 홍천군 화촌면,강원도 홍천군 두촌면,강원도 홍천군 내촌면,강원도 홍천군 서석면,강원도 홍천군 영귀미면,강원도 홍천군 남면,강원도 홍천군 서면,강원도 홍천군 북방면,강원도 홍천군 내면
2021년08월_계_총인구수,"68,489","34,286","4,592","2,448","2,364","3,711","4,032","6,207","3,802","3,886","3,161"
2021년08월_계_연령구간인구수,"68,489","34,286","4,592","2,448","2,364","3,711","4,032","6,207","3,802","3,886","3,161"
2021년08월_계_0~9세,"3,650","2,495",114,48,43,126,107,383,99,115,120
2021년08월_계_10~19세,"4,998","3,420",162,108,72,179,183,421,125,190,138
2021년08월_계_20~29세,"6,516","3,980",350,142,110,275,222,772,224,255,186
2021년08월_계_30~39세,"5,860","3,741",289,102,90,197,221,594,226,227,173
2021년08월_계_40~49세,"8,046","5,209",375,161,172,296,338,531,342,358,264
2021년08월_계_50~59세,"12,200","5,877",753,424,465,748,751,958,733,779,712
2021년08월_계_60~69세,"14,806","5,360","1,329",755,752,"1,039","1,163","1,335","1,122","1,050",901
2021년08월_계_70~79세,"7,193","2,509",693,392,369,477,627,664,552,513,397
2021년08월_계_80~89세,"4,545","1,471",448,264,260,330,374,479,319,361,239
2021년08월_계_90~99세,643,208,77,51,29,40,43,70,58,37,30
2021년08월_계_100세 이상,32,16,2,1,2,4,3,0,2,1,1
2021년08월_남_총인구수,"35,273","17,348","2,431","1,223","1,230","1,902","2,100","3,311","2,003","2,040","1,685"
2021년08월_남_연령구간인구수,"35,273","17,348","2,431","1,223","1,230","1,902","2,100","3,311","2,003","2,040","1,685"
2021년08월_남_0~9세,"1,853","1,263",59,29,28,67,50,188,49,52,68
2021년08월_남_10~19세,"2,542","1,760",88,55,36,94,114,162,64,100,69
2021년08월_남_20~29세,"3,941","2,280",237,85,68,171,133,570,136,146,115
2021년08월_남_30~39세,"3,205","1,992",165,53,50,101,131,339,152,130,92
2021년08월_남_40~49세,"4,315","2,630",245,96,116,160,201,303,202,215,147
2021년08월_남_50~59세,"6,456","3,059",422,223,240,395,399,517,376,430,395
2021년08월_남_60~69세,"7,737","2,700",688,395,398,548,608,720,615,573,492
2021년08월_남_70~79세,"3,423","1,086",359,179,189,241,316,320,269,258,206
2021년08월_남_80~89세,"1,643",527,148,98,95,115,136,177,123,131,93
2021년08월_남_90~99세,154,50,20,10,10,9,11,15,17,5,7
2021년08월_남_100세 이상,4,1,0,0,0,1,1,0,0,0,1
2021년08월_여_총인구수,"33,216","16,938","2,161","1,225","1,134","1,809","1,932","2,896","1,799","1,846","1,476"
2021년08월_여_연령구간인구수,"33,216","16,938","2,161","1,225","1,134","1,809","1,932","2,896","1,799","1,846","1,476"
2021년08월_여_0~9세,"1,797","1,232",55,19,15,59,57,195,50,63,52
2021년08월_여_10~19세,"2,456","1,660",74,53,36,85,69,259,61,90,69
2021년08월_여_20~29세,"2,575","1,700",113,57,42,104,89,202,88,109,71
2021년08월_여_30~39세,"2,655","1,749",124,49,40,96,90,255,74,97,81
2021년08월_여_40~49세,"3,731","2,579",130,65,56,136,137,228,140,143,117
2021년08월_여_50~59세,"5,744","2,818",331,201,225,353,352,441,357,349,317
2021년08월_여_60~69세,"7,069","2,660",641,360,354,491,555,615,507,477,409
2021년08월_여_70~79세,"3,770","1,423",334,213,180,236,311,344,283,255,191
2021년08월_여_80~89세,"2,902",944,300,166,165,215,238,302,196,230,146
2021년08월_여_90~99세,489,158,57,41,19,31,32,55,41,32,23
2021년08월_여_100세 이상,28,15,2,1,2,3,2,0,2,1,0
