,강원도 홍천군,강원도 홍천군 홍천읍,강원도 홍천군 화촌면,강원도 홍천군 두촌면,강원도 홍천군 내촌면,강원도 홍천군 서석면,강원도 홍천군 영귀미면,강원도 홍천군 남면,강원도 홍천군 서면,강원도 홍천군 북방면,강원도 홍천군 내면
2021년09월_계_총인구수,"68,452","34,240","4,567","2,438","2,384","3,715","4,053","6,189","3,795","3,906","3,165"
2021년09월_계_연령구간인구수,"68,452","34,240","4,567","2,438","2,384","3,715","4,053","6,189","3,795","3,906","3,165"
2021년09월_계_0~9세,"3,625","2,485",112,46,43,125,108,374,99,116,117
2021년09월_계_10~19세,"4,980","3,400",160,110,84,177,183,416,122,188,140
2021년09월_계_20~29세,"6,489","3,963",347,139,112,271,219,770,219,264,185
2021년09월_계_30~39세,"5,819","3,728",282,99,91,192,219,583,220,230,175
2021년09월_계_40~49세,"8,013","5,186",365,162,169,295,338,535,343,355,265
2021년09월_계_50~59세,"12,193","5,883",744,421,465,754,760,949,727,782,708
2021년09월_계_60~69세,"14,893","5,383","1,338",755,758,"1,043","1,175","1,347","1,131","1,055",908
2021년09월_계_70~79세,"7,188","2,511",692,389,367,480,626,667,545,513,398
2021년09월_계_80~89세,"4,571","1,475",447,264,266,334,378,476,328,365,238
2021년09월_계_90~99세,650,210,78,52,27,41,44,72,59,37,30
2021년09월_계_100세 이상,31,16,2,1,2,3,3,0,2,1,1
2021년09월_남_총인구수,"35,256","17,314","2,422","1,216","1,242","1,905","2,107","3,311","2,002","2,053","1,684"
2021년09월_남_연령구간인구수,"35,256","17,314","2,422","1,216","1,242","1,905","2,107","3,311","2,002","2,053","1,684"
2021년09월_남_0~9세,"1,846","1,255",60,28,28,67,50,186,50,54,68
2021년09월_남_10~19세,"2,527","1,749",89,56,43,93,111,163,61,95,67
2021년09월_남_20~29세,"3,934","2,279",235,83,69,166,131,565,136,156,114
2021년09월_남_30~39세,"3,179","1,981",160,52,51,99,129,336,147,130,94
2021년09월_남_40~49세,"4,295","2,623",240,95,114,160,198,306,200,213,146
2021년09월_남_50~59세,"6,459","3,053",417,221,242,400,410,513,375,434,394
2021년09월_남_60~69세,"7,781","2,710",694,396,400,550,613,728,623,574,493
2021년09월_남_70~79세,"3,418","1,085",361,176,187,243,314,322,263,260,207
2021년09월_남_80~89세,"1,656",527,145,98,98,117,138,178,130,132,93
2021년09월_남_90~99세,158,51,21,11,10,10,12,14,17,5,7
2021년09월_남_100세 이상,3,1,0,0,0,0,1,0,0,0,1
2021년09월_여_총인구수,"33,196","16,926","2,145","1,222","1,142","1,810","1,946","2,878","1,793","1,853","1,481"
2021년09월_여_연령구간인구수,"33,196","16,926","2,145","1,222","1,142","1,810","1,946","2,878","1,793","1,853","1,481"
2021년09월_여_0~9세,"1,779","1,230",52,18,15,58,58,188,49,62,49
2021년09월_여_10~19세,"2,453","1,651",71,54,41,84,72,253,61,93,73
2021년09월_여_20~29세,"2,555","1,684",112,56,43,105,88,205,83,108,71
2021년09월_여_30~39세,"2,640","1,747",122,47,40,93,90,247,73,100,81
2021년09월_여_40~49세,"3,718","2,563",125,67,55,135,140,229,143,142,119
2021년09월_여_50~59세,"5,734","2,830",327,200,223,354,350,436,352,348,314
2021년09월_여_60~69세,"7,112","2,673",644,359,358,493,562,619,508,481,415
2021년09월_여_70~79세,"3,770","1,426",331,213,180,237,312,345,282,253,191
2021년09월_여_80~89세,"2,915",948,302,166,168,217,240,298,198,233,145
2021년09월_여_90~99세,492,159,57,41,17,31,32,58,42,32,23
2021년09월_여_100세 이상,28,15,2,1,2,3,2,0,2,1,0
