카테고리,강원도 화천군,강원도 화천군 화천읍,강원도 화천군 간동면,강원도 화천군 하남면,강원도 화천군 상서면,강원도 화천군 사내면
2020년12월_계_총인구수,"24,857","8,427","2,712","2,901","4,314","6,503"
2020년12월_계_연령구간인구수,"24,857","8,427","2,712","2,901","4,314","6,503"
2020년12월_계_0~9세,"1,791",715,55,128,302,591
2020년12월_계_10~19세,"1,797",768,145,273,152,459
2020년12월_계_20~29세,"3,906","1,193",269,276,"1,156","1,012"
2020년12월_계_30~39세,"2,846","1,017",136,248,535,910
2020년12월_계_40~49세,"2,745","1,161",219,371,333,661
2020년12월_계_50~59세,"3,914","1,319",585,526,522,962
2020년12월_계_60~69세,"3,837","1,073",623,518,625,998
2020년12월_계_70~79세,"2,415",734,406,324,392,559
2020년12월_계_80~89세,"1,366",393,225,204,250,294
2020년12월_계_90~99세,225,51,48,28,45,53
2020년12월_계_100세 이상,15,3,1,5,2,4
2020년12월_남_총인구수,"13,472","4,397","1,442","1,514","2,620","3,499"
2020년12월_남_연령구간인구수,"13,472","4,397","1,442","1,514","2,620","3,499"
2020년12월_남_0~9세,899,363,29,68,139,300
2020년12월_남_10~19세,905,402,67,137,83,216
2020년12월_남_20~29세,"2,734",733,203,152,939,707
2020년12월_남_30~39세,"1,667",566,82,128,360,531
2020년12월_남_40~49세,"1,488",604,107,213,201,363
2020년12월_남_50~59세,"2,126",719,330,301,284,492
2020년12월_남_60~69세,"2,039",559,342,282,342,514
2020년12월_남_70~79세,"1,074",302,190,154,175,253
2020년12월_남_80~89세,474,134,78,70,87,105
2020년12월_남_90~99세,59,14,13,7,9,16
2020년12월_남_100세 이상,7,1,1,2,1,2
2020년12월_여_총인구수,"11,385","4,030","1,270","1,387","1,694","3,004"
2020년12월_여_연령구간인구수,"11,385","4,030","1,270","1,387","1,694","3,004"
2020년12월_여_0~9세,892,352,26,60,163,291
2020년12월_여_10~19세,892,366,78,136,69,243
2020년12월_여_20~29세,"1,172",460,66,124,217,305
2020년12월_여_30~39세,"1,179",451,54,120,175,379
2020년12월_여_40~49세,"1,257",557,112,158,132,298
2020년12월_여_50~59세,"1,788",600,255,225,238,470
2020년12월_여_60~69세,"1,798",514,281,236,283,484
2020년12월_여_70~79세,"1,341",432,216,170,217,306
2020년12월_여_80~89세,892,259,147,134,163,189
2020년12월_여_90~99세,166,37,35,21,36,37
2020년12월_여_100세 이상,8,2,0,3,1,2
