,강원도 화천군,강원도 화천군 화천읍,강원도 화천군 간동면,강원도 화천군 하남면,강원도 화천군 상서면,강원도 화천군 사내면
2021년12월_계_총인구수,"24,195","8,335","2,688","2,803","4,077","6,292"
2021년12월_계_연령구간인구수,"24,195","8,335","2,688","2,803","4,077","6,292"
2021년12월_계_0~9세,"1,709",677,53,119,262,598
2021년12월_계_10~19세,"1,721",769,134,235,154,429
2021년12월_계_20~29세,"3,567","1,124",248,253,"1,035",907
2021년12월_계_30~39세,"2,763",975,129,219,523,917
2021년12월_계_40~49세,"2,608","1,106",211,349,303,639
2021년12월_계_50~59세,"3,758","1,276",582,512,483,905
2021년12월_계_60~69세,"4,133","1,193",666,578,666,"1,030"
2021년12월_계_70~79세,"2,207",702,372,284,348,501
2021년12월_계_80~89세,"1,491",454,240,220,262,315
2021년12월_계_90~99세,228,56,51,32,40,49
2021년12월_계_100세 이상,10,3,2,2,1,2
2021년12월_남_총인구수,"13,138","4,354","1,440","1,467","2,473","3,404"
2021년12월_남_연령구간인구수,"13,138","4,354","1,440","1,467","2,473","3,404"
2021년12월_남_0~9세,886,364,27,61,121,313
2021년12월_남_10~19세,863,396,65,118,69,215
2021년12월_남_20~29세,"2,469",691,178,139,849,612
2021년12월_남_30~39세,"1,643",542,78,115,360,548
2021년12월_남_40~49세,"1,410",570,111,190,184,355
2021년12월_남_50~59세,"2,049",687,331,293,275,463
2021년12월_남_60~69세,"2,239",634,382,320,367,536
2021년12월_남_70~79세,996,303,167,142,151,233
2021년12월_남_80~89세,523,152,86,82,89,114
2021년12월_남_90~99세,56,14,14,6,8,14
2021년12월_남_100세 이상,4,1,1,1,0,1
2021년12월_여_총인구수,"11,057","3,981","1,248","1,336","1,604","2,888"
2021년12월_여_연령구간인구수,"11,057","3,981","1,248","1,336","1,604","2,888"
2021년12월_여_0~9세,823,313,26,58,141,285
2021년12월_여_10~19세,858,373,69,117,85,214
2021년12월_여_20~29세,"1,098",433,70,114,186,295
2021년12월_여_30~39세,"1,120",433,51,104,163,369
2021년12월_여_40~49세,"1,198",536,100,159,119,284
2021년12월_여_50~59세,"1,709",589,251,219,208,442
2021년12월_여_60~69세,"1,894",559,284,258,299,494
2021년12월_여_70~79세,"1,211",399,205,142,197,268
2021년12월_여_80~89세,968,302,154,138,173,201
2021년12월_여_90~99세,172,42,37,26,32,35
2021년12월_여_100세 이상,6,2,1,1,1,1
