카테고리,강원도 횡성군,강원도 횡성군 횡성읍,강원도 횡성군 우천면,강원도 횡성군 안흥면,강원도 횡성군 둔내면,강원도 횡성군 갑천면,강원도 횡성군 청일면,강원도 횡성군 공근면,강원도 횡성군 서원면,강원도 횡성군 강림면
2021년10월_계_총인구수,"46,586","20,966","4,457","3,167","5,858","2,435","2,384","3,470","2,099","1,750"
2021년10월_계_연령구간인구수,"46,586","20,966","4,457","3,167","5,858","2,435","2,384","3,470","2,099","1,750"
2021년10월_계_0~9세,"2,113","1,441",125,67,241,38,35,67,64,35
2021년10월_계_10~19세,"3,528","1,983",194,583,385,75,65,110,62,71
2021년10월_계_20~29세,"3,653","2,239",347,132,348,132,96,183,106,70
2021년10월_계_30~39세,"3,274","1,981",232,115,402,98,94,158,125,69
2021년10월_계_40~49세,"4,943","2,935",395,181,581,167,157,250,152,125
2021년10월_계_50~59세,"8,553","3,686",855,536,"1,169",464,471,670,363,339
2021년10월_계_60~69세,"11,046","3,578","1,219",851,"1,520",771,787,"1,076",681,563
2021년10월_계_70~79세,"5,464","1,775",636,413,699,390,399,523,305,324
2021년10월_계_80~89세,"3,440","1,128",394,246,453,260,237,366,211,145
2021년10월_계_90~99세,546,211,59,41,54,37,42,67,27,8
2021년10월_계_100세 이상,26,9,1,2,6,3,1,0,3,1
2021년10월_남_총인구수,"23,916","10,574","2,340","1,621","3,046","1,264","1,212","1,813","1,120",926
2021년10월_남_연령구간인구수,"23,916","10,574","2,340","1,621","3,046","1,264","1,212","1,813","1,120",926
2021년10월_남_0~9세,"1,116",754,65,40,127,21,14,35,39,21
2021년10월_남_10~19세,"1,847","1,017",105,309,209,36,37,55,32,47
2021년10월_남_20~29세,"2,097","1,243",228,82,200,66,60,108,64,46
2021년10월_남_30~39세,"1,723",998,125,55,230,53,54,97,73,38
2021년10월_남_40~49세,"2,746","1,577",223,96,336,96,93,158,97,70
2021년10월_남_50~59세,"4,525","1,925",464,282,619,250,244,360,195,186
2021년10월_남_60~69세,"5,779","1,814",637,448,794,415,431,577,371,292
2021년10월_남_70~79세,"2,671",780,332,205,347,209,200,271,164,163
2021년10월_남_80~89세,"1,289",416,146,97,174,111,71,138,76,60
2021년10월_남_90~99세,119,49,15,7,10,5,8,14,8,3
2021년10월_남_100세 이상,4,1,0,0,0,2,0,0,1,0
2021년10월_여_총인구수,"22,670","10,392","2,117","1,546","2,812","1,171","1,172","1,657",979,824
2021년10월_여_연령구간인구수,"22,670","10,392","2,117","1,546","2,812","1,171","1,172","1,657",979,824
2021년10월_여_0~9세,997,687,60,27,114,17,21,32,25,14
2021년10월_여_10~19세,"1,681",966,89,274,176,39,28,55,30,24
2021년10월_여_20~29세,"1,556",996,119,50,148,66,36,75,42,24
2021년10월_여_30~39세,"1,551",983,107,60,172,45,40,61,52,31
2021년10월_여_40~49세,"2,197","1,358",172,85,245,71,64,92,55,55
2021년10월_여_50~59세,"4,028","1,761",391,254,550,214,227,310,168,153
2021년10월_여_60~69세,"5,267","1,764",582,403,726,356,356,499,310,271
2021년10월_여_70~79세,"2,793",995,304,208,352,181,199,252,141,161
2021년10월_여_80~89세,"2,151",712,248,149,279,149,166,228,135,85
2021년10월_여_90~99세,427,162,44,34,44,32,34,53,19,5
2021년10월_여_100세 이상,22,8,1,2,6,1,1,0,2,1
