,경기도,경기도 수원시,경기도 수원시 장안구,경기도 수원시 권선구,경기도 수원시 팔달구,경기도 수원시 영통구,경기도 성남시,경기도 성남시 수정구,경기도 성남시 중원구,경기도 성남시 분당구,경기도 의정부시,경기도 안양시,경기도 안양시 만안구,경기도 안양시 동안구,경기도 부천시,경기도 광명시,경기도 평택시,경기도 동두천시,경기도 안산시,경기도 안산시 상록구,경기도 안산시 단원구,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 일산동구,경기도 고양시 일산서구,경기도 과천시,경기도 구리시,경기도 남양주시,경기도 오산시,경기도 시흥시,경기도 군포시,경기도 의왕시,경기도 하남시,경기도 용인시,경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구,경기도 파주시,경기도 이천시,경기도 안성시,경기도 김포시,경기도 화성시,경기도 광주시,경기도 양주시,경기도 포천시,경기도 여주시,경기도 연천군,경기도 가평군,경기도 양평군
2021년07월_계_총인구수,"13,512,867","1,183,615","270,044","365,157","183,198","365,216","931,756","236,351","214,189","481,216","462,588","548,960","238,639","310,321","810,069","295,560","551,603","93,447","654,678","352,898","301,780","1,081,045","481,053","300,232","299,760","69,509","193,954","725,031","230,657","511,747","270,293","162,925","308,390","1,079,049","261,482","440,630","376,937","473,673","221,697","189,298","484,481","872,537","385,000","235,495","147,855","112,203","42,985","62,348","120,419"
2021년07월_계_연령구간인구수,"13,512,867","1,183,615","270,044","365,157","183,198","365,216","931,756","236,351","214,189","481,216","462,588","548,960","238,639","310,321","810,069","295,560","551,603","93,447","654,678","352,898","301,780","1,081,045","481,053","300,232","299,760","69,509","193,954","725,031","230,657","511,747","270,293","162,925","308,390","1,079,049","261,482","440,630","376,937","473,673","221,697","189,298","484,481","872,537","385,000","235,495","147,855","112,203","42,985","62,348","120,419"
2021년07월_계_0~9세,"1,119,413","93,371","17,191","30,971","10,348","34,861","66,842","15,094","12,809","38,939","33,649","38,570","15,042","23,528","54,590","22,448","49,404","5,992","42,976","22,765","20,211","80,027","37,914","20,427","21,686","6,042","14,468","63,867","22,645","48,738","19,442","12,815","31,258","97,332","20,564","41,025","35,743","43,461","18,265","13,511","54,933","102,441","33,877","20,081","8,230","7,104","2,603","3,254","7,177"
2021년07월_계_10~19세,"1,326,320","116,340","27,850","32,792","14,076","41,622","85,945","17,008","16,045","52,892","41,735","51,366","18,391","32,975","68,737","29,958","53,868","8,482","62,523","33,765","28,758","103,092","41,229","28,966","32,897","6,778","17,571","78,124","24,918","50,375","25,834","14,239","27,024","122,502","26,542","50,488","45,472","49,559","23,347","18,343","49,121","98,959","34,209","24,334","11,876","9,536","3,086","4,588","9,951"
2021년07월_계_20~29세,"1,809,310","185,431","43,316","53,444","30,449","58,222","129,497","34,382","30,582","64,533","64,870","76,439","34,109","42,330","114,635","37,496","76,240","11,115","106,442","58,579","47,863","148,945","62,439","44,550","41,956","9,303","26,563","86,031","31,519","70,055","37,428","23,017","37,943","138,360","34,852","57,028","46,480","58,318","30,738","23,085","53,075","107,647","45,139","27,737","17,980","12,185","5,241","6,191","10,645"
2021년07월_계_30~39세,"1,898,501","177,104","31,954","56,806","26,822","61,522","135,384","34,969","31,123","69,292","59,955","77,094","33,020","44,074","113,318","40,535","83,366","9,977","85,231","44,160","41,071","142,891","68,588","38,396","35,907","9,786","25,347","89,451","38,080","78,529","37,413","22,698","51,491","142,310","33,706","57,766","50,838","67,284","30,508","22,880","76,224","150,628","56,184","28,417","14,594","11,272","4,158","5,596","10,796"
2021년07월_계_40~49세,"2,295,435","200,157","43,924","60,777","28,037","67,419","154,054","36,486","32,295","85,273","73,889","86,491","34,505","51,986","126,735","50,595","95,681","13,938","105,664","56,667","48,997","179,732","78,650","50,515","50,567","10,457","32,008","131,216","43,683","92,285","43,236","24,153","54,833","198,563","43,563","82,866","72,134","81,524","34,765","30,211","91,225","168,213","67,469","40,018","19,950","15,787","4,799","7,818","16,286"
2021년07월_계_50~59세,"2,249,247","196,125","48,569","61,398","31,184","54,974","154,507","40,027","37,351","77,129","80,614","96,229","42,825","53,404","145,024","49,082","88,815","16,386","127,599","69,120","58,479","195,886","83,551","56,213","56,122","12,090","35,006","119,910","33,718","89,310","47,449","29,179","44,130","168,445","43,554","68,262","56,629","74,944","35,186","31,531","68,295","118,881","64,223","38,981","29,023","20,003","6,976","11,085","20,615"
2021년07월_계_60~69세,"1,625,682","128,279","32,504","42,475","24,248","29,052","118,093","34,232","31,921","51,940","60,065","74,263","36,037","38,226","116,265","39,007","58,960","13,742","76,874","40,933","35,941","129,185","60,525","34,989","33,671","8,676","25,634","88,311","21,372","51,574","35,265","22,595","37,589","111,752","33,576","43,169","35,007","52,725","27,776","27,074","52,517","75,691","51,126","30,723","26,133","19,673","7,866","12,705","24,172"
2021년07월_계_70~79세,"769,763","56,611","15,668","17,482","12,049","11,412","57,555","16,785","15,292","25,478","31,179","31,803","16,526","15,277","47,064","17,658","28,570","8,609","30,015","16,911","13,104","61,661","30,330","15,543","15,788","3,952","11,594","45,471","9,916","19,923","15,132","9,112","16,887","65,966","16,212","26,423","23,331","28,782","13,126","13,753","26,328","32,652","22,557","16,467","12,326","10,225","4,914","6,790","13,165"
