,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 덕양구 주교동,경기도 고양시 덕양구 원신동,경기도 고양시 덕양구 흥도동,경기도 고양시 덕양구 성사1동,경기도 고양시 덕양구 성사2동,경기도 고양시 덕양구 효자동,경기도 고양시 덕양구 삼송동,경기도 고양시 덕양구 창릉동,경기도 고양시 덕양구 고양동,경기도 고양시 덕양구 관산동,경기도 고양시 덕양구 능곡동,경기도 고양시 덕양구 화정1동,경기도 고양시 덕양구 화정2동,경기도 고양시 덕양구 행주동,경기도 고양시 덕양구 행신1동,경기도 고양시 덕양구 행신2동,경기도 고양시 덕양구 행신3동,경기도 고양시 덕양구 화전동,경기도 고양시 덕양구 대덕동,경기도 고양시 일산동구,경기도 고양시 일산동구 식사동,경기도 고양시 일산동구 중산동,경기도 고양시 일산동구 정발산동,경기도 고양시 일산동구 풍산동,경기도 고양시 일산동구 백석1동,경기도 고양시 일산동구 백석2동,경기도 고양시 일산동구 마두1동,경기도 고양시 일산동구 마두2동,경기도 고양시 일산동구 장항1동,경기도 고양시 일산동구 장항2동,경기도 고양시 일산동구 고봉동,경기도 고양시 일산서구,경기도 고양시 일산서구 일산1동,경기도 고양시 일산서구 일산2동,경기도 고양시 일산서구 일산3동,경기도 고양시 일산서구 탄현동,경기도 고양시 일산서구 주엽1동,경기도 고양시 일산서구 주엽2동,경기도 고양시 일산서구 대화동,경기도 고양시 일산서구 송포동,경기도 고양시 일산서구 송산동
2020년12월_계_총인구수,"1,079,216","476,962","15,053","23,720","45,475","21,884","11,522","11,634","23,032","21,154","30,474","36,711","15,670","38,097","33,457","19,114","22,143","32,404","46,041","26,903","2,474","299,716","35,823","47,437","23,699","39,180","30,869","20,920","24,432","16,621","10,848","26,826","23,061","302,538","27,718","18,713","36,092","52,173","28,127","29,344","36,542","21,848","51,981"
2020년12월_계_연령구간인구수,"1,079,216","476,962","15,053","23,720","45,475","21,884","11,522","11,634","23,032","21,154","30,474","36,711","15,670","38,097","33,457","19,114","22,143","32,404","46,041","26,903","2,474","299,716","35,823","47,437","23,699","39,180","30,869","20,920","24,432","16,621","10,848","26,826","23,061","302,538","27,718","18,713","36,092","52,173","28,127","29,344","36,542","21,848","51,981"
2020년12월_계_0~9세,"82,122","38,582",572,"3,122","5,429","1,303",642,"1,593","2,314","2,579","2,254","2,148",905,"2,022","2,648",721,"1,402","2,268","2,763","3,817",80,"20,860","3,506","3,437","1,238","3,223","2,039",884,"1,408","1,236","1,382","1,106","1,401","22,680","2,005",928,"2,650","4,620","1,905","2,029","2,271","1,646","4,626"
2020년12월_계_10~19세,"105,008","41,513","1,207","1,968","3,957","1,861","1,073",829,"1,486","1,520","3,154","2,849","1,231","3,716","3,809","1,233","2,079","2,853","4,874","1,687",127,"29,625","4,768","4,493","2,106","4,542","2,773","1,336","3,290","2,231",947,"1,596","1,543","33,870","2,682","1,494","5,858","5,607","3,267","3,216","3,082","2,288","6,376"
2020년12월_계_20~29세,"150,925","62,879","2,121","2,269","5,112","3,005","1,472","1,500","2,738","2,381","3,615","4,354","2,125","6,242","4,642","2,856","3,120","4,990","6,973","2,974",390,"45,026","4,859","7,022","4,027","5,404","5,014","3,461","3,843","2,281","1,157","5,012","2,946","43,020","4,010","2,795","4,821","7,557","3,741","3,842","6,396","3,144","6,714"
2020년12월_계_30~39세,"142,781","67,900","1,522","4,031","7,689","2,542","1,274","2,440","4,466","4,705","3,334","4,134","1,807","4,267","4,316","2,294","2,758","4,869","5,111","6,080",261,"38,431","4,042","5,542","2,911","4,742","4,527","3,362","2,280","1,569","1,705","4,816","2,935","36,450","3,246","1,937","3,523","7,085","3,272","3,320","5,366","2,922","5,779"
2020년12월_계_40~49세,"182,400","78,754","2,168","4,290","8,444","3,495","1,763","1,932","3,766","3,658","5,320","5,760","2,270","5,923","6,258","2,762","3,556","5,017","7,495","4,583",294,"51,287","7,086","7,425","3,656","6,856","5,051","3,756","4,199","2,991","1,960","4,819","3,488","52,359","4,363","2,594","7,233","9,259","4,699","4,879","5,722","3,764","9,846"
2020년12월_계_50~59세,"194,504","82,749","3,168","3,320","6,468","4,241","2,126","1,560","3,270","2,664","5,073","6,940","3,176","7,575","5,783","4,011","4,254","6,021","9,284","3,348",467,"55,775","6,375","9,203","4,476","6,960","5,738","3,869","4,811","3,106","1,885","4,788","4,564","55,980","5,253","4,205","6,521","9,547","5,024","5,204","6,832","3,989","9,405"
2020년12월_계_60~69세,"121,324","56,886","2,353","2,777","4,701","2,938","1,613",998,"2,723","2,106","4,042","5,793","2,299","4,098","3,094","2,964","2,774","3,384","5,188","2,585",456,"32,825","3,038","5,681","2,982","4,178","3,345","2,315","2,569","1,561","1,165","2,500","3,491","31,613","3,292","2,729","3,147","4,586","3,069","3,230","3,896","2,318","5,346"
2020년12월_계_70~79세,"61,935","30,417","1,244","1,330","2,491","1,579",945,495,"1,538","1,059","2,454","3,110","1,188","2,554","1,736","1,423","1,366","1,844","2,620","1,181",260,"15,627","1,373","2,747","1,442","2,047","1,493","1,157","1,182",849,449,"1,254","1,634","15,891","1,820","1,238","1,351","2,325","1,725","1,951","1,877","1,107","2,497"
2020년12월_계_80~89세,"33,052","14,991",611,531,"1,041",802,549,224,647,399,"1,082","1,375",564,"1,504","1,035",741,738,"1,014","1,496",520,118,"8,792",659,"1,601",743,"1,062",778,677,721,683,162,827,879,"9,269",907,691,837,"1,375","1,250","1,457",954,594,"1,204"
