카테고리,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 덕양구 주교동,경기도 고양시 덕양구 원신동,경기도 고양시 덕양구 흥도동,경기도 고양시 덕양구 성사1동,경기도 고양시 덕양구 성사2동,경기도 고양시 덕양구 효자동,경기도 고양시 덕양구 삼송동,경기도 고양시 덕양구 창릉동,경기도 고양시 덕양구 고양동,경기도 고양시 덕양구 관산동,경기도 고양시 덕양구 능곡동,경기도 고양시 덕양구 화정1동,경기도 고양시 덕양구 화정2동,경기도 고양시 덕양구 행주동,경기도 고양시 덕양구 행신1동,경기도 고양시 덕양구 행신2동,경기도 고양시 덕양구 행신3동,경기도 고양시 덕양구 화전동,경기도 고양시 덕양구 대덕동,경기도 고양시 일산동구,경기도 고양시 일산동구 식사동,경기도 고양시 일산동구 중산동,경기도 고양시 일산동구 정발산동,경기도 고양시 일산동구 풍산동,경기도 고양시 일산동구 백석1동,경기도 고양시 일산동구 백석2동,경기도 고양시 일산동구 마두1동,경기도 고양시 일산동구 마두2동,경기도 고양시 일산동구 장항1동,경기도 고양시 일산동구 장항2동,경기도 고양시 일산동구 고봉동,경기도 고양시 일산서구,경기도 고양시 일산서구 일산1동,경기도 고양시 일산서구 일산2동,경기도 고양시 일산서구 일산3동,경기도 고양시 일산서구 탄현동,경기도 고양시 일산서구 주엽1동,경기도 고양시 일산서구 주엽2동,경기도 고양시 일산서구 대화동,경기도 고양시 일산서구 송포동,경기도 고양시 일산서구 송산동
2021년08월_계_총인구수,"1,080,896","481,641","14,728","23,592","48,216","21,850","11,388","13,863","24,324","22,680","29,956","36,762","15,555","37,654","32,969","18,840","21,750","31,939","45,536","27,630","2,409","299,985","37,031","46,908","23,493","38,985","30,532","20,889","24,071","16,310","11,485","27,038","23,243","299,270","27,192","18,450","35,487","51,703","27,941","28,957","36,355","21,597","51,588"
2021년08월_계_연령구간인구수,"1,080,896","481,641","14,728","23,592","48,216","21,850","11,388","13,863","24,324","22,680","29,956","36,762","15,555","37,654","32,969","18,840","21,750","31,939","45,536","27,630","2,409","299,985","37,031","46,908","23,493","38,985","30,532","20,889","24,071","16,310","11,485","27,038","23,243","299,270","27,192","18,450","35,487","51,703","27,941","28,957","36,355","21,597","51,588"
2021년08월_계_0~9세,"79,561","37,770",523,"2,925","5,347","1,260",583,"2,048","2,455","2,681","2,050","2,015",849,"1,887","2,445",700,"1,276","2,178","2,549","3,920",79,"20,294","3,590","3,278","1,232","3,066","1,955",878,"1,367","1,159","1,404","1,023","1,342","21,497","1,851",844,"2,495","4,439","1,728","1,911","2,224","1,624","4,381"
2021년08월_계_10~19세,"102,908","41,193","1,115","2,068","4,307","1,772","1,005","1,014","1,602","1,639","3,110","2,791","1,189","3,535","3,614","1,141","1,962","2,696","4,691","1,826",116,"28,861","4,838","4,310","2,066","4,376","2,645","1,258","3,209","2,176",933,"1,556","1,494","32,854","2,603","1,450","5,679","5,416","3,153","3,143","2,948","2,240","6,222"
2021년08월_계_20~29세,"148,486","62,447","2,036","2,193","5,483","2,975","1,486","1,641","2,757","2,469","3,510","4,310","2,119","6,095","4,581","2,821","3,030","4,786","6,814","2,951",390,"44,408","5,002","6,783","3,848","5,363","4,815","3,453","3,684","2,198","1,314","5,045","2,903","41,631","3,882","2,660","4,607","7,275","3,732","3,720","6,181","2,950","6,624"
2021년08월_계_30~39세,"142,774","68,603","1,545","3,819","8,150","2,546","1,266","2,970","4,627","5,121","3,099","4,006","1,803","4,319","4,217","2,271","2,675","4,880","5,095","5,931",263,"38,325","4,105","5,406","2,907","4,617","4,467","3,335","2,268","1,531","1,862","4,849","2,978","35,846","3,176","1,889","3,493","6,916","3,272","3,305","5,348","2,817","5,630"
2021년08월_계_40~49세,"179,264","78,656","2,003","4,359","9,057","3,363","1,678","2,473","4,097","4,017","5,111","5,661","2,188","5,540","5,994","2,572","3,393","4,793","7,128","4,937",292,"50,260","7,249","7,171","3,504","6,676","4,874","3,610","4,017","2,866","2,114","4,737","3,442","50,348","4,118","2,488","6,900","9,006","4,514","4,649","5,516","3,667","9,490"
2021년08월_계_50~59세,"196,136","83,628","3,157","3,292","6,820","4,260","2,084","1,692","3,502","2,859","5,181","7,010","3,127","7,507","5,860","3,925","4,230","5,921","9,297","3,463",441,"56,368","6,682","9,145","4,463","7,025","5,789","3,918","4,745","3,090","1,951","4,949","4,611","56,140","5,192","4,093","6,592","9,623","5,040","5,169","6,824","4,009","9,598"
2021년08월_계_60~69세,"130,198","61,016","2,461","2,956","5,179","3,129","1,712","1,216","2,970","2,312","4,194","6,129","2,454","4,492","3,299","3,127","2,944","3,679","5,562","2,746",455,"35,242","3,353","6,111","3,123","4,551","3,570","2,477","2,762","1,686","1,244","2,669","3,696","33,940","3,492","2,950","3,343","5,002","3,306","3,417","4,284","2,482","5,664"
2021년08월_계_70~79세,"61,620","30,316","1,181","1,355","2,619","1,572",925,519,"1,553","1,056","2,431","3,133","1,146","2,487","1,702","1,411","1,363","1,808","2,594","1,213",248,"15,515","1,373","2,723","1,460","2,022","1,488","1,147","1,156",808,442,"1,234","1,662","15,789","1,780","1,245","1,365","2,322","1,680","1,947","1,846","1,095","2,509"
