,경기도 과천시,경기도 과천시 중앙동,경기도 과천시 갈현동,경기도 과천시 별양동,경기도 과천시 부림동,경기도 과천시 과천동,경기도 과천시 문원동
2021년07월_계_총인구수,"69,509","10,960","15,553","10,934","15,165","9,304","7,593"
2021년07월_계_연령구간인구수,"69,509","10,960","15,553","10,934","15,165","9,304","7,593"
2021년07월_계_0~9세,"6,042",826,"1,804",735,"1,527",614,536
2021년07월_계_10~19세,"6,778",973,"1,871","1,123","1,404",579,828
2021년07월_계_20~29세,"9,303","1,559","1,776","1,670","2,026","1,261","1,011"
2021년07월_계_30~39세,"9,786","1,413","2,093","1,343","2,431","1,572",934
2021년07월_계_40~49세,"10,457","1,443","2,815","1,446","2,187","1,361","1,205"
2021년07월_계_50~59세,"12,090","2,056","2,496","2,092","2,624","1,512","1,310"
2021년07월_계_60~69세,"8,676","1,589","1,590","1,410","1,745","1,424",918
2021년07월_계_70~79세,"3,952",647,706,621,743,666,569
2021년07월_계_80~89세,"2,035",378,349,409,388,274,237
2021년07월_계_90~99세,379,72,53,82,88,41,43
2021년07월_계_100세 이상,11,4,0,3,2,0,2
2021년07월_남_총인구수,"34,151","5,322","7,548","5,249","7,456","4,864","3,712"
2021년07월_남_연령구간인구수,"34,151","5,322","7,548","5,249","7,456","4,864","3,712"
2021년07월_남_0~9세,"3,148",425,937,383,813,307,283
2021년07월_남_10~19세,"3,487",482,923,575,734,322,451
2021년07월_남_20~29세,"4,891",838,902,843,"1,064",705,539
2021년07월_남_30~39세,"4,868",689,942,674,"1,195",884,484
2021년07월_남_40~49세,"5,084",669,"1,373",670,"1,038",755,579
2021년07월_남_50~59세,"5,823",965,"1,240",982,"1,255",737,644
2021년07월_남_60~69세,"4,233",791,779,684,868,703,408
2021년07월_남_70~79세,"1,773",307,297,267,326,333,243
2021년07월_남_80~89세,745,141,136,144,142,106,76
2021년07월_남_90~99세,96,14,19,25,21,12,5
2021년07월_남_100세 이상,3,1,0,2,0,0,0
2021년07월_여_총인구수,"35,358","5,638","8,005","5,685","7,709","4,440","3,881"
2021년07월_여_연령구간인구수,"35,358","5,638","8,005","5,685","7,709","4,440","3,881"
2021년07월_여_0~9세,"2,894",401,867,352,714,307,253
2021년07월_여_10~19세,"3,291",491,948,548,670,257,377
2021년07월_여_20~29세,"4,412",721,874,827,962,556,472
2021년07월_여_30~39세,"4,918",724,"1,151",669,"1,236",688,450
2021년07월_여_40~49세,"5,373",774,"1,442",776,"1,149",606,626
2021년07월_여_50~59세,"6,267","1,091","1,256","1,110","1,369",775,666
2021년07월_여_60~69세,"4,443",798,811,726,877,721,510
2021년07월_여_70~79세,"2,179",340,409,354,417,333,326
2021년07월_여_80~89세,"1,290",237,213,265,246,168,161
2021년07월_여_90~99세,283,58,34,57,67,29,38
2021년07월_여_100세 이상,8,3,0,1,2,0,2
