카테고리,경기도 광명시,경기도 광명시 광명1동,경기도 광명시 광명2동,경기도 광명시 광명3동,경기도 광명시 광명4동,경기도 광명시 광명5동,경기도 광명시 광명6동,경기도 광명시 광명7동,경기도 광명시 철산1동,경기도 광명시 철산2동,경기도 광명시 철산3동,경기도 광명시 철산4동,경기도 광명시 하안1동,경기도 광명시 하안2동,경기도 광명시 하안3동,경기도 광명시 하안4동,경기도 광명시 소하1동,경기도 광명시 소하2동,경기도 광명시 학온동
2020년07월_계_총인구수,"311,119","4,722","6,583","9,800","14,238","14,724","10,938","17,037","12,695","12,804","33,070","13,648","26,658","14,329","21,009","12,892","32,403","51,301","2,268"
2020년07월_계_연령구간인구수,"311,119","4,722","6,583","9,800","14,238","14,724","10,938","17,037","12,695","12,804","33,070","13,648","26,658","14,329","21,009","12,892","32,403","51,301","2,268"
2020년07월_계_0~9세,"24,748",224,275,399,720,908,918,951,"1,091",516,"3,002","1,095","2,523","1,088","1,612","1,130","3,210","5,016",70
2020년07월_계_10~19세,"31,773",342,426,596,956,"1,326","1,146","1,600","1,560",918,"4,214","1,258","3,276","1,157","1,985","1,534","4,322","5,060",97
2020년07월_계_20~29세,"40,214",636,885,"1,339","1,898","1,872","1,305","2,427","1,671","2,030","4,236","1,719","3,271","1,726","2,521","1,673","3,736","7,050",219
2020년07월_계_30~39세,"43,707",612,738,"1,209","1,983","1,854","1,351","2,007","1,661","1,753","4,032","2,405","3,107","2,649","3,057","2,159","4,163","8,732",235
2020년07월_계_40~49세,"53,654",688,937,"1,415","2,037","2,388","1,864","2,566","2,364","1,853","6,178","2,386","5,118","2,515","3,630","2,437","6,292","8,751",235
2020년07월_계_50~59세,"51,778",925,"1,238","1,872","2,501","2,549","1,845","3,103","2,153","2,661","5,524","2,176","4,491","2,169","3,298","1,973","4,828","8,026",446
2020년07월_계_60~69세,"37,944",702,"1,145","1,629","2,366","2,152","1,450","2,580","1,308","1,899","3,608","1,549","2,953","1,591","2,517","1,167","3,571","5,245",512
2020년07월_계_70~79세,"18,351",395,645,940,"1,268","1,158",749,"1,249",605,767,"1,503",772,"1,297",843,"1,478",521,"1,532","2,370",259
2020년07월_계_80~89세,"7,696",171,259,351,432,452,267,484,235,347,668,258,524,506,787,267,619,899,170
2020년07월_계_90~99세,"1,112",24,31,45,58,59,36,62,46,53,97,28,91,69,115,30,113,137,18
2020년07월_계_100세 이상,142,3,4,5,19,6,7,8,1,7,8,2,7,16,9,1,17,15,7
