,경기도 광주시,경기도 광주시 오포읍,경기도 광주시 초월읍,경기도 광주시 곤지암읍,경기도 광주시 도척면,경기도 광주시 퇴촌면,경기도 광주시 남종면,경기도 광주시 남한산성면,경기도 광주시 경안동,경기도 광주시 송정동,경기도 광주시 쌍령동,경기도 광주시 탄벌동,경기도 광주시 광남1동,경기도 광주시 광남2동
2021년04월_계_총인구수,"383,794","112,851","46,655","23,153","9,465","15,373","1,502","2,581","24,939","22,061","18,422","39,192","33,522","34,078"
2021년04월_계_연령구간인구수,"383,794","112,851","46,655","23,153","9,465","15,373","1,502","2,581","24,939","22,061","18,422","39,192","33,522","34,078"
2021년04월_계_0~9세,"34,362","11,067","3,710","1,379",464,"1,086",35,145,"1,946","1,621","1,951","3,026","2,615","5,317"
2021년04월_계_10~19세,"34,124","8,883","5,044","1,835",642,"1,233",67,196,"2,256","2,013","1,632","3,630","2,688","4,005"
2021년04월_계_20~29세,"45,153","13,418","5,529","2,831","1,008","1,189",113,178,"3,360","2,813","2,387","5,025","4,270","3,032"
2021년04월_계_30~39세,"56,776","19,665","6,166","2,790","1,007","1,471",94,216,"3,501","2,904","2,893","5,229","4,796","6,044"
2021년04월_계_40~49세,"67,231","20,355","8,211","3,559","1,336","2,467",147,357,"4,068","3,740","3,186","6,819","5,741","7,245"
2021년04월_계_50~59세,"63,956","17,407","7,991","4,569","1,843","2,593",263,479,"4,412","3,959","3,054","7,364","5,922","4,100"
2021년04월_계_60~69세,"49,924","13,421","6,033","3,621","1,824","3,006",396,516,"3,195","3,089","2,145","5,218","4,776","2,684"
2021년04월_계_70~79세,"22,333","6,055","2,689","1,649",832,"1,601",223,300,"1,526","1,363",862,"2,061","1,970","1,202"
2021년04월_계_80~89세,"8,614","2,215","1,117",818,437,620,143,163,597,486,266,722,644,386
2021년04월_계_90~99세,"1,267",347,161,99,67,104,21,30,75,69,43,93,97,61
2021년04월_계_100세 이상,54,18,4,3,5,3,0,1,3,4,3,5,3,2
2021년04월_남_총인구수,"196,185","57,127","24,299","12,360","5,209","7,829",778,"1,367","12,863","11,106","9,194","19,924","17,230","16,899"
2021년04월_남_연령구간인구수,"196,185","57,127","24,299","12,360","5,209","7,829",778,"1,367","12,863","11,106","9,194","19,924","17,230","16,899"
2021년04월_남_0~9세,"17,654","5,747","1,941",701,239,536,20,72,"1,032",797,"1,009","1,539","1,359","2,662"
2021년04월_남_10~19세,"17,465","4,552","2,571",977,340,666,33,102,"1,161",979,791,"1,837","1,383","2,073"
2021년04월_남_20~29세,"24,011","7,040","2,967","1,582",589,666,59,91,"1,813","1,484","1,241","2,651","2,289","1,539"
2021년04월_남_30~39세,"29,526","10,209","3,245","1,549",587,759,52,113,"1,847","1,551","1,456","2,800","2,505","2,853"
2021년04월_남_40~49세,"35,506","10,831","4,363","1,930",804,"1,349",80,205,"2,134","1,940","1,622","3,499","3,082","3,667"
2021년04월_남_50~59세,"32,638","8,468","4,291","2,541","1,036","1,338",145,271,"2,350","1,978","1,475","3,667","2,989","2,089"
2021년04월_남_60~69세,"25,019","6,486","3,169","1,936","1,006","1,450",214,285,"1,609","1,547","1,067","2,609","2,387","1,254"
2021년04월_남_70~79세,"10,782","2,857","1,303",807,426,798,107,148,698,644,410,"1,014",976,594
2021년04월_남_80~89세,"3,296",850,417,311,165,238,61,74,209,169,118,284,242,158
2021년04월_남_90~99세,277,82,31,25,16,27,7,6,9,17,5,24,18,10
2021년04월_남_100세 이상,11,5,1,1,1,2,0,0,1,0,0,0,0,0
2021년04월_여_총인구수,"187,609","55,724","22,356","10,793","4,256","7,544",724,"1,214","12,076","10,955","9,228","19,268","16,292","17,179"
2021년04월_여_연령구간인구수,"187,609","55,724","22,356","10,793","4,256","7,544",724,"1,214","12,076","10,955","9,228","19,268","16,292","17,179"
2021년04월_여_0~9세,"16,708","5,320","1,769",678,225,550,15,73,914,824,942,"1,487","1,256","2,655"
2021년04월_여_10~19세,"16,659","4,331","2,473",858,302,567,34,94,"1,095","1,034",841,"1,793","1,305","1,932"
2021년04월_여_20~29세,"21,142","6,378","2,562","1,249",419,523,54,87,"1,547","1,329","1,146","2,374","1,981","1,493"
2021년04월_여_30~39세,"27,250","9,456","2,921","1,241",420,712,42,103,"1,654","1,353","1,437","2,429","2,291","3,191"
2021년04월_여_40~49세,"31,725","9,524","3,848","1,629",532,"1,118",67,152,"1,934","1,800","1,564","3,320","2,659","3,578"
2021년04월_여_50~59세,"31,318","8,939","3,700","2,028",807,"1,255",118,208,"2,062","1,981","1,579","3,697","2,933","2,011"
2021년04월_여_60~69세,"24,905","6,935","2,864","1,685",818,"1,556",182,231,"1,586","1,542","1,078","2,609","2,389","1,430"
2021년04월_여_70~79세,"11,551","3,198","1,386",842,406,803,116,152,828,719,452,"1,047",994,608
2021년04월_여_80~89세,"5,318","1,365",700,507,272,382,82,89,388,317,148,438,402,228
2021년04월_여_90~99세,990,265,130,74,51,77,14,24,66,52,38,69,79,51
2021년04월_여_100세 이상,43,13,3,2,4,1,0,1,2,4,3,5,3,2
