,경기도 구리시,경기도 구리시 갈매동,경기도 구리시 동구동,경기도 구리시 인창동,경기도 구리시 교문1동,경기도 구리시 교문2동,경기도 구리시 수택1동,경기도 구리시 수택2동,경기도 구리시 수택3동
2020년05월_계_총인구수,"198,883","31,606","38,734","23,014","16,403","22,513","18,837","25,660","22,116"
2020년05월_계_연령구간인구수,"198,883","31,606","38,734","23,014","16,403","22,513","18,837","25,660","22,116"
2020년05월_계_0~9세,"15,824","4,736","2,945","1,748",792,"1,689",822,"1,407","1,685"
2020년05월_계_10~19세,"18,658","2,221","4,203","2,346","1,133","2,841","1,404","2,164","2,346"
2020년05월_계_20~29세,"27,570","3,407","5,685","3,312","2,217","3,086","2,944","3,875","3,044"
2020년05월_계_30~39세,"27,198","6,431","4,802","2,911","2,097","2,605","2,241","3,236","2,875"
2020년05월_계_40~49세,"33,182","5,479","6,598","3,924","2,498","3,995","2,746","3,800","4,142"
2020년05월_계_50~59세,"36,004","4,266","7,336","4,229","3,283","3,950","3,929","5,065","3,946"
2020년05월_계_60~69세,"23,389","3,157","4,041","2,507","2,461","2,549","2,802","3,583","2,289"
2020년05월_계_70~79세,"11,594","1,417","2,034","1,372","1,286","1,206","1,358","1,720","1,201"
2020년05월_계_80~89세,"4,718",412,958,583,531,523,506,698,507
2020년05월_계_90~99세,669,76,126,75,80,64,76,99,73
2020년05월_계_100세 이상,77,4,6,7,25,5,9,13,8
2020년05월_남_총인구수,"98,734","15,707","19,130","11,318","8,331","10,921","9,370","12,825","11,132"
2020년05월_남_연령구간인구수,"98,734","15,707","19,130","11,318","8,331","10,921","9,370","12,825","11,132"
2020년05월_남_0~9세,"8,165","2,475","1,561",890,410,837,432,702,858
2020년05월_남_10~19세,"9,665","1,102","2,231","1,227",546,"1,446",734,"1,151","1,228"
2020년05월_남_20~29세,"14,067","1,692","2,915","1,653","1,146","1,588","1,459","2,015","1,599"
2020년05월_남_30~39세,"13,783","3,138","2,406","1,449","1,150","1,250","1,213","1,721","1,456"
2020년05월_남_40~49세,"16,505","2,896","3,125","1,916","1,343","1,854","1,374","1,962","2,035"
2020년05월_남_50~59세,"17,721","2,025","3,576","2,080","1,670","1,921","1,963","2,470","2,016"
2020년05월_남_60~69세,"11,722","1,538","2,054","1,241","1,240","1,259","1,424","1,772","1,194"
2020년05월_남_70~79세,"5,186",701,861,617,590,546,576,763,532
2020년05월_남_80~89세,"1,724",124,364,214,202,204,174,248,194
2020년05월_남_90~99세,172,15,35,28,23,16,19,17,19
2020년05월_남_100세 이상,24,1,2,3,11,0,2,4,1
2020년05월_여_총인구수,"100,149","15,899","19,604","11,696","8,072","11,592","9,467","12,835","10,984"
2020년05월_여_연령구간인구수,"100,149","15,899","19,604","11,696","8,072","11,592","9,467","12,835","10,984"
2020년05월_여_0~9세,"7,659","2,261","1,384",858,382,852,390,705,827
2020년05월_여_10~19세,"8,993","1,119","1,972","1,119",587,"1,395",670,"1,013","1,118"
2020년05월_여_20~29세,"13,503","1,715","2,770","1,659","1,071","1,498","1,485","1,860","1,445"
2020년05월_여_30~39세,"13,415","3,293","2,396","1,462",947,"1,355","1,028","1,515","1,419"
2020년05월_여_40~49세,"16,677","2,583","3,473","2,008","1,155","2,141","1,372","1,838","2,107"
2020년05월_여_50~59세,"18,283","2,241","3,760","2,149","1,613","2,029","1,966","2,595","1,930"
2020년05월_여_60~69세,"11,667","1,619","1,987","1,266","1,221","1,290","1,378","1,811","1,095"
2020년05월_여_70~79세,"6,408",716,"1,173",755,696,660,782,957,669
2020년05월_여_80~89세,"2,994",288,594,369,329,319,332,450,313
2020년05월_여_90~99세,497,61,91,47,57,48,57,82,54
2020년05월_여_100세 이상,53,3,4,4,14,5,7,9,7
