카테고리,경기도 구리시,경기도 구리시 갈매동,경기도 구리시 동구동,경기도 구리시 인창동,경기도 구리시 교문1동,경기도 구리시 교문2동,경기도 구리시 수택1동,경기도 구리시 수택2동,경기도 구리시 수택3동
2021년03월_계_총인구수,"195,804","31,223","37,930","23,303","16,362","22,115","17,505","25,639","21,727"
2021년03월_계_연령구간인구수,"195,804","31,223","37,930","23,303","16,362","22,115","17,505","25,639","21,727"
2021년03월_계_0~9세,"14,752","4,506","2,665","1,713",723,"1,549",712,"1,324","1,560"
2021년03월_계_10~19세,"17,891","2,299","3,926","2,371","1,072","2,700","1,181","2,102","2,240"
2021년03월_계_20~29세,"27,042","3,296","5,604","3,338","2,207","3,041","2,723","3,794","3,039"
2021년03월_계_30~39세,"25,820","5,853","4,562","2,976","2,023","2,473","2,059","3,195","2,679"
2021년03월_계_40~49세,"32,428","5,826","6,288","3,923","2,475","3,802","2,501","3,678","3,935"
2021년03월_계_50~59세,"35,485","4,201","7,236","4,269","3,193","3,943","3,605","5,063","3,975"
2021년03월_계_60~69세,"25,049","3,332","4,419","2,717","2,648","2,756","2,855","3,868","2,454"
2021년03월_계_70~79세,"11,667","1,428","2,095","1,342","1,322","1,230","1,278","1,742","1,230"
2021년03월_계_80~89세,"4,949",416,989,584,589,545,518,770,538
2021년03월_계_90~99세,667,66,140,68,83,71,70,97,72
2021년03월_계_100세 이상,54,0,6,2,27,5,3,6,5
2021년03월_남_총인구수,"97,184","15,487","18,736","11,386","8,359","10,731","8,737","12,770","10,978"
2021년03월_남_연령구간인구수,"97,184","15,487","18,736","11,386","8,359","10,731","8,737","12,770","10,978"
2021년03월_남_0~9세,"7,600","2,328","1,413",866,374,784,382,662,791
2021년03월_남_10~19세,"9,256","1,148","2,096","1,237",518,"1,369",615,"1,110","1,163"
2021년03월_남_20~29세,"13,902","1,635","2,890","1,677","1,156","1,572","1,350","2,000","1,622"
2021년03월_남_30~39세,"13,026","2,820","2,299","1,453","1,121","1,210","1,111","1,638","1,374"
2021년03월_남_40~49세,"16,185","3,102","3,003","1,901","1,336","1,752","1,257","1,917","1,917"
2021년03월_남_50~59세,"17,478","2,021","3,462","2,093","1,642","1,901","1,809","2,493","2,057"
2021년03월_남_60~69세,"12,478","1,586","2,252","1,322","1,345","1,342","1,460","1,901","1,270"
2021년03월_남_70~79세,"5,236",701,899,595,612,565,558,752,554
2021년03월_남_80~89세,"1,833",132,382,218,219,218,176,277,211
2021년03월_남_90~99세,171,14,38,23,25,17,18,18,18
2021년03월_남_100세 이상,19,0,2,1,11,1,1,2,1
2021년03월_여_총인구수,"98,620","15,736","19,194","11,917","8,003","11,384","8,768","12,869","10,749"
2021년03월_여_연령구간인구수,"98,620","15,736","19,194","11,917","8,003","11,384","8,768","12,869","10,749"
2021년03월_여_0~9세,"7,152","2,178","1,252",847,349,765,330,662,769
2021년03월_여_10~19세,"8,635","1,151","1,830","1,134",554,"1,331",566,992,"1,077"
2021년03월_여_20~29세,"13,140","1,661","2,714","1,661","1,051","1,469","1,373","1,794","1,417"
2021년03월_여_30~39세,"12,794","3,033","2,263","1,523",902,"1,263",948,"1,557","1,305"
2021년03월_여_40~49세,"16,243","2,724","3,285","2,022","1,139","2,050","1,244","1,761","2,018"
2021년03월_여_50~59세,"18,007","2,180","3,774","2,176","1,551","2,042","1,796","2,570","1,918"
2021년03월_여_60~69세,"12,571","1,746","2,167","1,395","1,303","1,414","1,395","1,967","1,184"
2021년03월_여_70~79세,"6,431",727,"1,196",747,710,665,720,990,676
2021년03월_여_80~89세,"3,116",284,607,366,370,327,342,493,327
2021년03월_여_90~99세,496,52,102,45,58,54,52,79,54
2021년03월_여_100세 이상,35,0,4,1,16,4,2,4,4
