카테고리,경기도 군포시,경기도 군포시 군포1동,경기도 군포시 군포2동,경기도 군포시 산본1동,경기도 군포시 산본2동,경기도 군포시 금정동,경기도 군포시 재궁동,경기도 군포시 오금동,경기도 군포시 수리동,경기도 군포시 궁내동,경기도 군포시 대야동,경기도 군포시 광정동
2020년03월_계_총인구수,"275,960","33,243","54,082","16,331","27,880","17,508","19,659","22,658","17,249","21,360","20,342","25,648"
2020년03월_계_연령구간인구수,"275,960","33,243","54,082","16,331","27,880","17,508","19,659","22,658","17,249","21,360","20,342","25,648"
2020년03월_계_0~9세,"22,036","2,100","5,034",786,"2,470",893,"1,308","2,139","1,187","1,963","2,280","1,876"
2020년03월_계_10~19세,"27,657","2,769","6,300",936,"2,888","1,254","1,581","2,301","1,714","3,273","1,765","2,876"
2020년03월_계_20~29세,"38,447","5,218","7,378","2,497","3,897","2,708","2,842","2,860","2,185","2,568","2,668","3,626"
2020년03월_계_30~39세,"39,457","4,656","7,453","2,246","3,749","2,375","3,351","3,930","2,274","2,266","3,787","3,370"
2020년03월_계_40~49세,"45,608","5,101","9,366","2,151","4,568","2,651","2,928","3,997","2,835","4,323","3,240","4,448"
2020년03월_계_50~59세,"48,418","6,470","9,457","3,199","4,887","3,546","3,248","3,416","3,022","3,557","3,250","4,366"
2020년03월_계_60~69세,"31,173","4,244","5,491","2,545","3,278","2,544","2,417","2,168","1,999","1,817","2,047","2,623"
2020년03월_계_70~79세,"14,702","1,823","2,393","1,310","1,352","1,075","1,231","1,119","1,191",928,898,"1,382"
2020년03월_계_80~89세,"7,264",732,"1,019",570,675,402,649,647,749,583,336,902
2020년03월_계_90~99세,"1,127",120,177,83,114,53,98,81,89,79,66,167
2020년03월_계_100세 이상,71,10,14,8,2,7,6,0,4,3,5,12
2020년03월_남_총인구수,"137,040","17,519","26,904","8,169","13,544","9,086","9,358","11,058","8,251","10,423","10,250","12,478"
2020년03월_남_연령구간인구수,"137,040","17,519","26,904","8,169","13,544","9,086","9,358","11,058","8,251","10,423","10,250","12,478"
2020년03월_남_0~9세,"11,296","1,094","2,600",410,"1,260",480,670,"1,069",548,"1,052","1,141",972
2020년03월_남_10~19세,"14,241","1,437","3,231",491,"1,496",659,804,"1,210",889,"1,643",903,"1,478"
2020년03월_남_20~29세,"20,121","2,913","3,806","1,337","2,036","1,428","1,427","1,492","1,122","1,365","1,360","1,835"
2020년03월_남_30~39세,"20,365","2,651","3,755","1,290","1,791","1,334","1,731","1,954","1,150","1,057","1,970","1,682"
2020년03월_남_40~49세,"22,400","2,678","4,571","1,137","2,162","1,428","1,399","1,910","1,366","1,981","1,667","2,101"
2020년03월_남_50~59세,"23,736","3,385","4,626","1,509","2,276","1,811","1,487","1,644","1,459","1,777","1,566","2,196"
2020년03월_남_60~69세,"15,450","2,187","2,779","1,214","1,652","1,283","1,116","1,025",921,919,"1,059","1,295"
2020년03월_남_70~79세,"6,544",859,"1,136",591,598,512,476,473,472,392,447,588
2020년03월_남_80~89세,"2,560",279,347,174,244,136,222,256,289,206,120,287
2020년03월_남_90~99세,304,32,48,15,29,12,24,25,33,30,15,41
2020년03월_남_100세 이상,23,4,5,1,0,3,2,0,2,1,2,3
2020년03월_여_총인구수,"138,920","15,724","27,178","8,162","14,336","8,422","10,301","11,600","8,998","10,937","10,092","13,170"
2020년03월_여_연령구간인구수,"138,920","15,724","27,178","8,162","14,336","8,422","10,301","11,600","8,998","10,937","10,092","13,170"
2020년03월_여_0~9세,"10,740","1,006","2,434",376,"1,210",413,638,"1,070",639,911,"1,139",904
2020년03월_여_10~19세,"13,416","1,332","3,069",445,"1,392",595,777,"1,091",825,"1,630",862,"1,398"
2020년03월_여_20~29세,"18,326","2,305","3,572","1,160","1,861","1,280","1,415","1,368","1,063","1,203","1,308","1,791"
2020년03월_여_30~39세,"19,092","2,005","3,698",956,"1,958","1,041","1,620","1,976","1,124","1,209","1,817","1,688"
2020년03월_여_40~49세,"23,208","2,423","4,795","1,014","2,406","1,223","1,529","2,087","1,469","2,342","1,573","2,347"
2020년03월_여_50~59세,"24,682","3,085","4,831","1,690","2,611","1,735","1,761","1,772","1,563","1,780","1,684","2,170"
2020년03월_여_60~69세,"15,723","2,057","2,712","1,331","1,626","1,261","1,301","1,143","1,078",898,988,"1,328"
2020년03월_여_70~79세,"8,158",964,"1,257",719,754,563,755,646,719,536,451,794
2020년03월_여_80~89세,"4,704",453,672,396,431,266,427,391,460,377,216,615
2020년03월_여_90~99세,823,88,129,68,85,41,74,56,56,49,51,126
2020년03월_여_100세 이상,48,6,9,7,2,4,4,0,2,2,3,9
