카테고리,경기도 김포시,경기도 김포시 통진읍,경기도 김포시 고촌읍,경기도 김포시 양촌읍,경기도 김포시 대곶면,경기도 김포시 월곶면,경기도 김포시 하성면,경기도 김포시 김포본동,경기도 김포시 장기본동,경기도 김포시 사우동,경기도 김포시 풍무동,경기도 김포시 장기동,경기도 김포시 구래동,경기도 김포시 마산동,경기도 김포시 운양동
2021년07월_계_총인구수,"484,481","28,230","47,897","29,111","9,819","5,460","8,179","61,350","38,990","22,781","62,034","41,394","44,159","35,299","49,778"
2021년07월_계_연령구간인구수,"484,481","28,230","47,897","29,111","9,819","5,460","8,179","61,350","38,990","22,781","62,034","41,394","44,159","35,299","49,778"
2021년07월_계_0~9세,"54,933","1,722","6,470","2,305",314,134,253,"5,926","4,720","1,519","6,590","5,526","6,504","5,502","7,448"
2021년07월_계_10~19세,"49,121","2,320","4,597","2,512",528,243,437,"6,331","5,571","2,072","6,987","5,114","3,929","3,117","5,363"
2021년07월_계_20~29세,"53,075","3,456","4,383","2,957",914,511,808,"7,747","3,973","3,150","7,782","4,006","5,738","3,083","4,567"
2021년07월_계_30~39세,"76,224","3,103","8,666","3,851",863,399,665,"8,216","5,422","2,821","9,058","6,547","10,098","7,681","8,834"
2021년07월_계_40~49세,"91,225","4,183","9,263","4,850","1,240",595,862,"10,684","8,351","3,749","11,631","9,185","8,607","6,965","11,060"
2021년07월_계_50~59세,"68,295","5,372","6,048","4,963","2,145","1,125","1,647","10,305","5,141","4,203","9,017","4,941","4,157","3,489","5,742"
2021년07월_계_60~69세,"52,517","4,619","5,248","4,401","2,148","1,300","1,826","6,940","3,270","2,965","6,126","3,425","3,125","3,108","4,016"
2021년07월_계_70~79세,"26,328","2,192","2,226","2,151","1,031",703,"1,038","3,401","1,773","1,520","3,301","1,863","1,452","1,718","1,959"
2021년07월_계_80~89세,"11,071","1,085",848,958,543,367,558,"1,585",675,688,"1,365",688,478,550,683
2021년07월_계_90~99세,"1,635",171,140,157,91,79,81,210,92,88,170,96,69,85,106
2021년07월_계_100세 이상,57,7,8,6,2,4,4,5,2,6,7,3,2,1,0
2021년07월_남_총인구수,"242,493","15,070","23,904","15,359","5,781","3,000","4,443","30,218","18,985","11,434","30,246","20,250","21,986","17,486","24,331"
2021년07월_남_연령구간인구수,"242,493","15,070","23,904","15,359","5,781","3,000","4,443","30,218","18,985","11,434","30,246","20,250","21,986","17,486","24,331"
2021년07월_남_0~9세,"28,010",888,"3,386","1,161",170,60,127,"2,975","2,343",815,"3,357","2,819","3,269","2,838","3,802"
2021년07월_남_10~19세,"25,049","1,249","2,388","1,301",292,116,247,"3,225","2,842","1,089","3,566","2,495","1,935","1,550","2,754"
2021년07월_남_20~29세,"27,332","2,074","2,184","1,628",574,315,493,"4,138","1,982","1,670","3,747","2,042","2,761","1,513","2,211"
2021년07월_남_30~39세,"37,384","1,744","4,133","2,135",563,236,393,"3,944","2,505","1,464","4,319","3,071","5,091","3,806","3,980"
2021년07월_남_40~49세,"47,397","2,346","4,795","2,740",794,368,526,"5,250","4,111","1,917","5,753","4,681","4,634","3,734","5,748"
2021년07월_남_50~59세,"34,882","2,908","3,016","2,723","1,378",654,950,"5,097","2,602","2,085","4,456","2,492","2,032","1,663","2,826"
2021년07월_남_60~69세,"25,537","2,428","2,514","2,271","1,249",710,985,"3,441","1,481","1,440","2,886","1,548","1,418","1,362","1,804"
2021년07월_남_70~79세,"12,286","1,004","1,126","1,011",526,385,487,"1,500",826,683,"1,563",829,654,788,904
2021년07월_남_80~89세,"4,224",382,332,358,214,140,214,591,269,254,554,257,175,207,277
2021년07월_남_90~99세,379,45,28,29,21,16,21,55,23,17,43,15,16,25,25
2021년07월_남_100세 이상,13,2,2,2,0,0,0,2,1,0,2,1,1,0,0
2021년07월_여_총인구수,"241,988","13,160","23,993","13,752","4,038","2,460","3,736","31,132","20,005","11,347","31,788","21,144","22,173","17,813","25,447"
2021년07월_여_연령구간인구수,"241,988","13,160","23,993","13,752","4,038","2,460","3,736","31,132","20,005","11,347","31,788","21,144","22,173","17,813","25,447"
2021년07월_여_0~9세,"26,923",834,"3,084","1,144",144,74,126,"2,951","2,377",704,"3,233","2,707","3,235","2,664","3,646"
2021년07월_여_10~19세,"24,072","1,071","2,209","1,211",236,127,190,"3,106","2,729",983,"3,421","2,619","1,994","1,567","2,609"
2021년07월_여_20~29세,"25,743","1,382","2,199","1,329",340,196,315,"3,609","1,991","1,480","4,035","1,964","2,977","1,570","2,356"
2021년07월_여_30~39세,"38,840","1,359","4,533","1,716",300,163,272,"4,272","2,917","1,357","4,739","3,476","5,007","3,875","4,854"
2021년07월_여_40~49세,"43,828","1,837","4,468","2,110",446,227,336,"5,434","4,240","1,832","5,878","4,504","3,973","3,231","5,312"
2021년07월_여_50~59세,"33,413","2,464","3,032","2,240",767,471,697,"5,208","2,539","2,118","4,561","2,449","2,125","1,826","2,916"
2021년07월_여_60~69세,"26,980","2,191","2,734","2,130",899,590,841,"3,499","1,789","1,525","3,240","1,877","1,707","1,746","2,212"
2021년07월_여_70~79세,"14,042","1,188","1,100","1,140",505,318,551,"1,901",947,837,"1,738","1,034",798,930,"1,055"
2021년07월_여_80~89세,"6,847",703,516,600,329,227,344,994,406,434,811,431,303,343,406
2021년07월_여_90~99세,"1,256",126,112,128,70,63,60,155,69,71,127,81,53,60,81
2021년07월_여_100세 이상,44,5,6,4,2,4,4,3,1,6,5,2,1,1,0
