카테고리,경기도 남양주시,경기도 남양주시 와부읍,경기도 남양주시 진접읍,경기도 남양주시 화도읍,경기도 남양주시 화도읍동부출장소,경기도 남양주시 진건읍,경기도 남양주시 오남읍,경기도 남양주시 퇴계원읍,경기도 남양주시 별내면,경기도 남양주시 수동면,경기도 남양주시 조안면,경기도 남양주시 호평동,경기도 남양주시 평내동,경기도 남양주시 금곡동,경기도 남양주시 양정동,경기도 남양주시 다산1동,경기도 남양주시 다산2동,경기도 남양주시 별내동
2021년02월_계_총인구수,"718,434","62,121","93,083","104,100","14,744","24,171","53,597","29,731","19,772","9,022","4,225","54,218","36,614","18,908","4,563","79,243","36,203","74,119"
2021년02월_계_연령구간인구수,"718,434","62,121","93,083","104,100","14,744","24,171","53,597","29,731","19,772","9,022","4,225","54,218","36,614","18,908","4,563","79,243","36,203","74,119"
2021년02월_계_0~9세,"64,909","4,017","8,197","8,729","1,620","1,024","3,943","1,733","1,208",345,201,"6,058","3,239",707,160,"10,495","4,766","8,467"
2021년02월_계_10~19세,"77,651","7,352","11,437","11,507","1,313","1,880","6,579","2,571","1,943",537,256,"7,033","4,956","1,189",189,"8,299","3,789","6,821"
2021년02월_계_20~29세,"85,255","7,789","10,600","12,226","1,569","3,309","6,732","4,116","2,506",806,405,"5,797","4,538","2,479",522,"9,056","3,819","8,986"
2021년02월_계_30~39세,"89,494","5,980","10,239","12,364","2,197","2,312","5,384","3,340","1,810",759,427,"6,909","4,285","2,088",492,"13,240","5,793","11,875"
2021년02월_계_40~49세,"131,180","11,015","17,425","19,752","2,526","3,306","10,200","4,268","3,266","1,045",526,"11,429","7,373","2,277",475,"15,583","7,329","13,385"
2021년02월_계_50~59세,"118,134","11,160","15,220","17,584","2,324","5,191","9,650","5,735","3,639","1,787",784,"7,864","5,884","3,883",891,"10,391","5,177","10,970"
2021년02월_계_60~69세,"84,710","7,742","11,114","12,043","1,906","4,064","5,822","4,611","2,765","1,958",879,"4,806","3,458","3,604","1,080","7,083","3,441","8,334"
2021년02월_계_70~79세,"45,143","4,768","5,962","6,814",850,"1,979","3,543","2,246","1,733","1,129",480,"2,994","1,899","1,653",497,"3,486","1,435","3,675"
2021년02월_계_80~89세,"19,011","1,970","2,563","2,674",381,953,"1,543",994,777,511,226,"1,139",864,876,226,"1,387",552,"1,375"
2021년02월_계_90~99세,"2,719",296,309,374,57,140,196,108,105,135,38,179,115,136,23,207,87,214
2021년02월_계_100세 이상,228,32,17,33,1,13,5,9,20,10,3,10,3,16,8,16,15,17
2021년02월_남_총인구수,"357,710","30,628","46,978","52,149","7,484","12,555","26,968","14,810","9,891","4,717","2,183","26,458","18,012","9,650","2,582","38,937","17,638","36,070"
2021년02월_남_연령구간인구수,"357,710","30,628","46,978","52,149","7,484","12,555","26,968","14,810","9,891","4,717","2,183","26,458","18,012","9,650","2,582","38,937","17,638","36,070"
2021년02월_남_0~9세,"33,395","2,097","4,250","4,518",828,571,"2,055",863,620,186,103,"3,139","1,628",367,80,"5,336","2,437","4,317"
2021년02월_남_10~19세,"39,894","3,756","5,929","6,001",691,955,"3,356","1,342","1,051",301,126,"3,608","2,558",630,94,"4,176","1,950","3,370"
2021년02월_남_20~29세,"44,447","4,125","5,602","6,417",826,"1,826","3,609","2,183","1,251",469,229,"3,006","2,288","1,379",311,"4,530","1,922","4,474"
2021년02월_남_30~39세,"44,136","2,952","5,100","6,181","1,106","1,264","2,732","1,764",946,412,221,"3,209","2,109","1,192",302,"6,283","2,635","5,728"
2021년02월_남_40~49세,"65,789","5,241","8,751","10,023","1,311","1,769","5,099","2,133","1,641",580,277,"5,535","3,579","1,203",308,"7,956","3,695","6,688"
2021년02월_남_50~59세,"60,325","5,647","8,088","9,097","1,202","2,750","5,104","2,761","1,889",983,424,"4,003","3,024","1,939",502,"5,132","2,534","5,246"
2021년02월_남_60~69세,"41,281","3,711","5,519","5,788",954,"2,148","2,846","2,333","1,347","1,015",458,"2,168","1,646","1,826",646,"3,303","1,588","3,985"
2021년02월_남_70~79세,"20,592","2,217","2,674","3,026",404,889,"1,537","1,037",776,550,243,"1,298",834,770,243,"1,678",657,"1,759"
2021년02월_남_80~89세,"7,168",793,979,"1,003",152,354,582,363,332,189,93,448,317,306,90,509,196,462
2021년02월_남_90~99세,621,81,81,86,9,28,46,28,33,26,6,41,29,32,6,33,19,37
2021년02월_남_100세 이상,62,8,5,9,1,1,2,3,5,6,3,3,0,6,0,1,5,4
2021년02월_여_총인구수,"360,724","31,493","46,105","51,951","7,260","11,616","26,629","14,921","9,881","4,305","2,042","27,760","18,602","9,258","1,981","40,306","18,565","38,049"
2021년02월_여_연령구간인구수,"360,724","31,493","46,105","51,951","7,260","11,616","26,629","14,921","9,881","4,305","2,042","27,760","18,602","9,258","1,981","40,306","18,565","38,049"
2021년02월_여_0~9세,"31,514","1,920","3,947","4,211",792,453,"1,888",870,588,159,98,"2,919","1,611",340,80,"5,159","2,329","4,150"
2021년02월_여_10~19세,"37,757","3,596","5,508","5,506",622,925,"3,223","1,229",892,236,130,"3,425","2,398",559,95,"4,123","1,839","3,451"
2021년02월_여_20~29세,"40,808","3,664","4,998","5,809",743,"1,483","3,123","1,933","1,255",337,176,"2,791","2,250","1,100",211,"4,526","1,897","4,512"
2021년02월_여_30~39세,"45,358","3,028","5,139","6,183","1,091","1,048","2,652","1,576",864,347,206,"3,700","2,176",896,190,"6,957","3,158","6,147"
2021년02월_여_40~49세,"65,391","5,774","8,674","9,729","1,215","1,537","5,101","2,135","1,625",465,249,"5,894","3,794","1,074",167,"7,627","3,634","6,697"
2021년02월_여_50~59세,"57,809","5,513","7,132","8,487","1,122","2,441","4,546","2,974","1,750",804,360,"3,861","2,860","1,944",389,"5,259","2,643","5,724"
2021년02월_여_60~69세,"43,429","4,031","5,595","6,255",952,"1,916","2,976","2,278","1,418",943,421,"2,638","1,812","1,778",434,"3,780","1,853","4,349"
2021년02월_여_70~79세,"24,551","2,551","3,288","3,788",446,"1,090","2,006","1,209",957,579,237,"1,696","1,065",883,254,"1,808",778,"1,916"
2021년02월_여_80~89세,"11,843","1,177","1,584","1,671",229,599,961,631,445,322,133,691,547,570,136,878,356,913
2021년02월_여_90~99세,"2,098",215,228,288,48,112,150,80,72,109,32,138,86,104,17,174,68,177
2021년02월_여_100세 이상,166,24,12,24,0,12,3,6,15,4,0,7,3,10,8,15,10,13
