카테고리,경기도 동두천시,경기도 동두천시 생연1동,경기도 동두천시 생연2동,경기도 동두천시 중앙동,경기도 동두천시 보산동,경기도 동두천시 불현동,경기도 동두천시 송내동,경기도 동두천시 소요동,경기도 동두천시 상패동
2020년02월_계_총인구수,"94,452","6,973","11,553","5,197","3,137","27,982","25,940","8,643","5,027"
2020년02월_계_연령구간인구수,"94,452","6,973","11,553","5,197","3,137","27,982","25,940","8,643","5,027"
2020년02월_계_0~9세,"6,797",486,796,165,172,"2,167","2,453",383,175
2020년02월_계_10~19세,"8,920",582,"1,228",230,192,"2,833","3,073",509,273
2020년02월_계_20~29세,"11,120",768,"1,278",504,355,"3,526","3,264",924,501
2020년02월_계_30~39세,"10,516",800,"1,151",454,302,"3,182","3,363",787,477
2020년02월_계_40~49세,"14,819","1,008","1,904",610,411,"4,379","4,726","1,129",652
2020년02월_계_50~59세,"16,355","1,260","1,947","1,102",588,"4,921","3,899","1,634","1,004"
2020년02월_계_60~69세,"12,497","1,026","1,465","1,053",518,"3,500","2,423","1,566",946
2020년02월_계_70~79세,"8,670",655,"1,158",657,400,"2,281","1,792","1,087",640
2020년02월_계_80~89세,"4,107",343,560,325,176,"1,057",819,528,299
2020년02월_계_90~99세,571,42,59,75,21,123,124,75,52
2020년02월_계_100세 이상,80,3,7,22,2,13,4,21,8
2020년02월_남_총인구수,"47,156","3,457","5,708","2,688","1,479","13,864","12,796","4,496","2,668"
2020년02월_남_연령구간인구수,"47,156","3,457","5,708","2,688","1,479","13,864","12,796","4,496","2,668"
2020년02월_남_0~9세,"3,521",259,429,98,80,"1,095","1,270",193,97
2020년02월_남_10~19세,"4,495",272,626,120,85,"1,421","1,545",280,146
2020년02월_남_20~29세,"6,062",419,714,270,212,"1,921","1,703",530,293
2020년02월_남_30~39세,"5,410",411,578,267,147,"1,603","1,706",421,277
2020년02월_남_40~49세,"7,620",520,982,357,214,"2,171","2,342",654,380
2020년02월_남_50~59세,"8,652",656,"1,009",626,294,"2,560","2,046",890,571
2020년02월_남_60~69세,"6,094",506,675,544,253,"1,723","1,109",790,494
2020년02월_남_70~79세,"3,605",270,450,273,141,945,727,508,291
2020년02월_남_80~89세,"1,518",130,230,99,48,391,315,203,102
2020년02월_남_90~99세,161,14,13,29,5,31,32,23,14
2020년02월_남_100세 이상,18,0,2,5,0,3,1,4,3
2020년02월_여_총인구수,"47,296","3,516","5,845","2,509","1,658","14,118","13,144","4,147","2,359"
2020년02월_여_연령구간인구수,"47,296","3,516","5,845","2,509","1,658","14,118","13,144","4,147","2,359"
2020년02월_여_0~9세,"3,276",227,367,67,92,"1,072","1,183",190,78
2020년02월_여_10~19세,"4,425",310,602,110,107,"1,412","1,528",229,127
2020년02월_여_20~29세,"5,058",349,564,234,143,"1,605","1,561",394,208
2020년02월_여_30~39세,"5,106",389,573,187,155,"1,579","1,657",366,200
2020년02월_여_40~49세,"7,199",488,922,253,197,"2,208","2,384",475,272
2020년02월_여_50~59세,"7,703",604,938,476,294,"2,361","1,853",744,433
2020년02월_여_60~69세,"6,403",520,790,509,265,"1,777","1,314",776,452
2020년02월_여_70~79세,"5,065",385,708,384,259,"1,336","1,065",579,349
2020년02월_여_80~89세,"2,589",213,330,226,128,666,504,325,197
2020년02월_여_90~99세,410,28,46,46,16,92,92,52,38
2020년02월_여_100세 이상,62,3,5,17,2,10,3,17,5
