카테고리,경기도 부천시,경기도 부천시 심곡동,경기도 부천시 부천동,경기도 부천시 중동,경기도 부천시 신중동,경기도 부천시 상동,경기도 부천시 대산동,경기도 부천시 소사본동,경기도 부천시 범안동,경기도 부천시 성곡동,경기도 부천시 오정동
2020년04월_계_총인구수,"826,845","65,159","90,974","42,379","132,384","87,645","83,123","57,029","96,488","85,676","85,988"
2020년04월_계_연령구간인구수,"826,845","65,159","90,974","42,379","132,384","87,645","83,123","57,029","96,488","85,676","85,988"
2020년04월_계_0~9세,"60,305","3,239","5,987","2,889","10,345","8,387","5,030","3,818","10,291","4,900","5,419"
2020년04월_계_10~19세,"73,010","4,123","7,529","3,970","11,827","10,256","6,587","4,580","9,188","7,601","7,349"
2020년04월_계_20~29세,"119,179","10,263","12,976","6,313","19,849","12,477","11,940","7,989","11,514","12,844","13,014"
2020년04월_계_30~39세,"119,289","9,774","12,521","5,580","22,138","12,957","11,653","8,139","15,219","10,152","11,156"
2020년04월_계_40~49세,"131,906","9,920","14,212","6,550","20,864","15,662","12,714","8,046","17,048","13,430","13,460"
2020년04월_계_50~59세,"149,988","11,994","16,918","7,969","23,246","15,412","15,041","10,399","14,425","17,208","17,376"
2020년04월_계_60~69세,"105,335","9,421","12,491","5,628","15,509","8,186","11,986","8,583","11,047","11,371","11,113"
2020년04월_계_70~79세,"45,370","4,455","5,663","2,300","5,565","2,853","5,545","3,758","5,097","5,358","4,776"
2020년04월_계_80~89세,"19,238","1,704","2,317",993,"2,564","1,224","2,254","1,462","2,266","2,438","2,016"
2020년04월_계_90~99세,"2,983",233,327,174,457,227,342,229,358,347,289
2020년04월_계_100세 이상,242,33,33,13,20,4,31,26,35,27,20
2020년04월_남_총인구수,"410,678","33,067","45,682","20,939","64,166","43,076","41,157","28,216","47,377","42,947","44,051"
2020년04월_남_연령구간인구수,"410,678","33,067","45,682","20,939","64,166","43,076","41,157","28,216","47,377","42,947","44,051"
2020년04월_남_0~9세,"30,891","1,696","3,073","1,480","5,339","4,260","2,624","1,949","5,214","2,462","2,794"
2020년04월_남_10~19세,"37,580","2,101","3,931","2,100","5,995","5,250","3,423","2,313","4,622","3,946","3,899"
2020년04월_남_20~29세,"61,536","5,196","6,836","3,218","9,804","6,377","6,210","4,164","5,935","6,831","6,965"
2020년04월_남_30~39세,"61,184","5,394","6,523","2,834","10,915","6,178","6,165","4,319","7,443","5,423","5,990"
2020년04월_남_40~49세,"66,377","5,385","7,391","3,225","9,934","7,389","6,428","4,011","8,706","6,784","7,124"
2020년04월_남_50~59세,"73,046","6,046","8,393","3,824","10,842","7,537","7,135","4,917","6,920","8,637","8,795"
2020년04월_남_60~69세,"52,178","4,504","6,092","2,803","7,894","4,328","5,736","4,146","5,308","5,697","5,670"
2020년04월_남_70~79세,"20,847","2,109","2,563","1,093","2,585","1,333","2,541","1,825","2,371","2,307","2,120"
2020년04월_남_80~89세,"6,322",590,787,318,752,378,821,511,765,773,627
2020년04월_남_90~99세,658,39,82,40,101,45,66,57,82,82,64
2020년04월_남_100세 이상,59,7,11,4,5,1,8,4,11,5,3
2020년04월_여_총인구수,"416,167","32,092","45,292","21,440","68,218","44,569","41,966","28,813","49,111","42,729","41,937"
2020년04월_여_연령구간인구수,"416,167","32,092","45,292","21,440","68,218","44,569","41,966","28,813","49,111","42,729","41,937"
2020년04월_여_0~9세,"29,414","1,543","2,914","1,409","5,006","4,127","2,406","1,869","5,077","2,438","2,625"
2020년04월_여_10~19세,"35,430","2,022","3,598","1,870","5,832","5,006","3,164","2,267","4,566","3,655","3,450"
2020년04월_여_20~29세,"57,643","5,067","6,140","3,095","10,045","6,100","5,730","3,825","5,579","6,013","6,049"
2020년04월_여_30~39세,"58,105","4,380","5,998","2,746","11,223","6,779","5,488","3,820","7,776","4,729","5,166"
2020년04월_여_40~49세,"65,529","4,535","6,821","3,325","10,930","8,273","6,286","4,035","8,342","6,646","6,336"
2020년04월_여_50~59세,"76,942","5,948","8,525","4,145","12,404","7,875","7,906","5,482","7,505","8,571","8,581"
2020년04월_여_60~69세,"53,157","4,917","6,399","2,825","7,615","3,858","6,250","4,437","5,739","5,674","5,443"
2020년04월_여_70~79세,"24,523","2,346","3,100","1,207","2,980","1,520","3,004","1,933","2,726","3,051","2,656"
2020년04월_여_80~89세,"12,916","1,114","1,530",675,"1,812",846,"1,433",951,"1,501","1,665","1,389"
2020년04월_여_90~99세,"2,325",194,245,134,356,182,276,172,276,265,225
2020년04월_여_100세 이상,183,26,22,9,15,3,23,22,24,22,17
