,경기도 부천시,경기도 부천시 심곡동,경기도 부천시 부천동,경기도 부천시 중동,경기도 부천시 신중동,경기도 부천시 상동,경기도 부천시 대산동,경기도 부천시 소사본동,경기도 부천시 범안동,경기도 부천시 성곡동,경기도 부천시 오정동
2021년01월_계_총인구수,"817,449","64,125","90,001","41,833","131,433","86,414","81,918","57,203","96,152","83,881","84,489"
2021년01월_계_연령구간인구수,"817,449","64,125","90,001","41,833","131,433","86,414","81,918","57,203","96,152","83,881","84,489"
2021년01월_계_0~9세,"56,594","2,995","5,551","2,744","9,853","7,920","4,660","3,744","9,672","4,470","4,985"
2021년01월_계_10~19세,"70,237","3,900","7,216","3,868","11,339","9,911","6,346","4,360","9,252","7,091","6,954"
2021년01월_계_20~29세,"117,030","10,121","12,920","6,135","19,514","12,161","11,617","7,874","11,413","12,595","12,680"
2021년01월_계_30~39세,"115,524","9,459","12,010","5,459","21,614","12,546","11,231","8,233","14,428","9,726","10,818"
2021년01월_계_40~49세,"128,827","9,615","13,820","6,364","20,616","15,305","12,351","7,935","17,310","12,632","12,879"
2021년01월_계_50~59세,"147,397","11,657","16,570","7,760","22,816","15,283","14,719","10,297","14,409","16,967","16,919"
2021년01월_계_60~69세,"111,658","9,761","13,224","5,885","16,703","8,851","12,515","9,052","11,687","12,040","11,940"
2021년01월_계_70~79세,"46,848","4,592","5,899","2,389","5,841","2,922","5,741","3,907","5,247","5,448","4,862"
2021년01월_계_80~89세,"19,945","1,742","2,435","1,024","2,623","1,271","2,343","1,551","2,306","2,524","2,126"
2021년01월_계_90~99세,"3,135",249,322,191,494,238,364,228,387,362,300
2021년01월_계_100세 이상,254,34,34,14,20,6,31,22,41,26,26
2021년01월_남_총인구수,"405,464","32,530","45,097","20,643","63,552","42,474","40,528","28,225","47,186","42,022","43,207"
2021년01월_남_연령구간인구수,"405,464","32,530","45,097","20,643","63,552","42,474","40,528","28,225","47,186","42,022","43,207"
2021년01월_남_0~9세,"29,054","1,588","2,846","1,412","5,074","4,023","2,399","1,926","4,961","2,243","2,582"
2021년01월_남_10~19세,"36,055","1,987","3,768","2,030","5,740","5,085","3,268","2,181","4,624","3,690","3,682"
2021년01월_남_20~29세,"60,382","5,146","6,779","3,128","9,539","6,216","6,148","4,103","5,893","6,647","6,783"
2021년01월_남_30~39세,"59,342","5,200","6,260","2,771","10,677","6,023","5,960","4,344","7,021","5,228","5,858"
2021년01월_남_40~49세,"64,865","5,241","7,208","3,125","9,852","7,213","6,255","3,961","8,828","6,394","6,788"
2021년01월_남_50~59세,"71,541","5,846","8,176","3,731","10,560","7,400","7,017","4,830","6,909","8,528","8,544"
2021년01월_남_60~69세,"55,125","4,692","6,413","2,921","8,447","4,670","5,934","4,387","5,592","6,010","6,059"
2021년01월_남_70~79세,"21,619","2,162","2,699","1,147","2,722","1,390","2,608","1,886","2,457","2,380","2,168"
2021년01월_남_80~89세,"6,706",621,849,324,831,398,859,544,794,816,670
2021년01월_남_90~99세,713,40,89,50,107,53,72,59,94,81,68
2021년01월_남_100세 이상,62,7,10,4,3,3,8,4,13,5,5
2021년01월_여_총인구수,"411,985","31,595","44,904","21,190","67,881","43,940","41,390","28,978","48,966","41,859","41,282"
2021년01월_여_연령구간인구수,"411,985","31,595","44,904","21,190","67,881","43,940","41,390","28,978","48,966","41,859","41,282"
2021년01월_여_0~9세,"27,540","1,407","2,705","1,332","4,779","3,897","2,261","1,818","4,711","2,227","2,403"
2021년01월_여_10~19세,"34,182","1,913","3,448","1,838","5,599","4,826","3,078","2,179","4,628","3,401","3,272"
2021년01월_여_20~29세,"56,648","4,975","6,141","3,007","9,975","5,945","5,469","3,771","5,520","5,948","5,897"
2021년01월_여_30~39세,"56,182","4,259","5,750","2,688","10,937","6,523","5,271","3,889","7,407","4,498","4,960"
2021년01월_여_40~49세,"63,962","4,374","6,612","3,239","10,764","8,092","6,096","3,974","8,482","6,238","6,091"
2021년01월_여_50~59세,"75,856","5,811","8,394","4,029","12,256","7,883","7,702","5,467","7,500","8,439","8,375"
2021년01월_여_60~69세,"56,533","5,069","6,811","2,964","8,256","4,181","6,581","4,665","6,095","6,030","5,881"
2021년01월_여_70~79세,"25,229","2,430","3,200","1,242","3,119","1,532","3,133","2,021","2,790","3,068","2,694"
2021년01월_여_80~89세,"13,239","1,121","1,586",700,"1,792",873,"1,484","1,007","1,512","1,708","1,456"
2021년01월_여_90~99세,"2,422",209,233,141,387,185,292,169,293,281,232
2021년01월_여_100세 이상,192,27,24,10,17,3,23,18,28,21,21
