,경기도 성남시,경기도 성남시 수정구,경기도 성남시 수정구 신흥1동,경기도 성남시 수정구 신흥2동,경기도 성남시 수정구 신흥3동,경기도 성남시 수정구 태평1동,경기도 성남시 수정구 태평2동,경기도 성남시 수정구 태평3동,경기도 성남시 수정구 태평4동,경기도 성남시 수정구 수진1동,경기도 성남시 수정구 수진2동,경기도 성남시 수정구 단대동,경기도 성남시 수정구 산성동,경기도 성남시 수정구 양지동,경기도 성남시 수정구 복정동,경기도 성남시 수정구 위례동,경기도 성남시 수정구 신촌동,경기도 성남시 수정구 고등동,경기도 성남시 수정구 시흥동,경기도 성남시 중원구,경기도 성남시 중원구 성남동,경기도 성남시 중원구 중앙동,경기도 성남시 중원구 금광1동,경기도 성남시 중원구 금광2동,경기도 성남시 중원구 은행1동,경기도 성남시 중원구 은행2동,경기도 성남시 중원구 상대원1동,경기도 성남시 중원구 상대원2동,경기도 성남시 중원구 상대원3동,경기도 성남시 중원구 하대원동,경기도 성남시 중원구 도촌동,경기도 성남시 분당구,경기도 성남시 분당구 분당동,경기도 성남시 분당구 수내1동,경기도 성남시 분당구 수내2동,경기도 성남시 분당구 수내3동,경기도 성남시 분당구 정자동,경기도 성남시 분당구 정자1동,경기도 성남시 분당구 정자2동,경기도 성남시 분당구 정자3동,경기도 성남시 분당구 서현1동,경기도 성남시 분당구 서현2동,경기도 성남시 분당구 이매1동,경기도 성남시 분당구 이매2동,경기도 성남시 분당구 야탑1동,경기도 성남시 분당구 야탑2동,경기도 성남시 분당구 야탑3동,경기도 성남시 분당구 판교동,경기도 성남시 분당구 삼평동,경기도 성남시 분당구 백현동,경기도 성남시 분당구 금곡동,경기도 성남시 분당구 구미1동,경기도 성남시 분당구 구미동,경기도 성남시 분당구 운중동
2020년10월_계_총인구수,"941,480","242,451","13,476","19,465","11,202","15,505","15,689","13,562","13,491","12,584","16,071","15,788","12,367","9,960","11,117","45,587","4,785","8,468","3,334","216,013","33,703","14,119","7,017","24,544","10,675","24,559","25,902","13,850","12,597","21,202","27,845","483,016","26,468","18,089","10,691","14,050","19,788","30,995","16,033","15,578","32,386","18,800","26,065","13,882","17,670","16,844","29,232","23,927","24,916","27,805","28,897","17,821","31,508","21,571"
2020년10월_계_연령구간인구수,"941,480","242,451","13,476","19,465","11,202","15,505","15,689","13,562","13,491","12,584","16,071","15,788","12,367","9,960","11,117","45,587","4,785","8,468","3,334","216,013","33,703","14,119","7,017","24,544","10,675","24,559","25,902","13,850","12,597","21,202","27,845","483,016","26,468","18,089","10,691","14,050","19,788","30,995","16,033","15,578","32,386","18,800","26,065","13,882","17,670","16,844","29,232","23,927","24,916","27,805","28,897","17,821","31,508","21,571"
2020년10월_계_0~9세,"69,513","16,076",518,"1,734",428,512,760,635,715,401,811,"1,080",588,629,738,"5,126",532,692,177,"13,390","1,584",894,421,"1,266",673,"1,309","1,689",545,585,"1,489","2,935","40,047","2,040","1,277","1,178","1,045","1,475","2,080",921,"1,350","2,472","1,437","2,311","1,041","1,340","1,288","2,244","3,070","2,807","2,961","1,919","1,351","2,248","2,192"
2020년10월_계_10~19세,"88,264","17,730",716,"1,553",646,791,"1,141",931,"1,212",708,"1,095","1,297","1,012",932,456,"4,103",439,521,177,"16,694","1,987",887,471,"1,934","1,046","2,029","1,849",982,916,"1,781","2,812","53,840","2,985","2,270","1,970","2,472","1,938","3,291","1,423","1,758","4,365","2,315","3,159","1,874","1,325","1,787","2,077","3,410","3,029","3,143","2,377","1,712","2,763","2,397"
2020년10월_계_20~29세,"132,384","35,230","2,014","2,530","1,737","2,801","2,463","1,934","2,025","1,766","2,330","2,174","1,611","1,386","2,274","5,529",729,"1,398",529,"31,126","5,799","1,561",931,"3,807","1,794","3,623","3,524","1,786","1,803","3,131","3,367","66,028","3,733","2,472",972,"1,846","3,136","4,748","2,088","2,062","4,625","2,813","3,446","1,828","2,755","2,143","4,187","2,348","3,073","3,843","4,130","2,720","4,562","2,498"
2020년10월_계_30~39세,"137,397","36,145","1,804","3,298","1,536","2,158","2,164","1,747","1,642","1,464","2,120","2,207","1,543","1,137","2,635","7,457",902,"1,786",545,"31,051","5,746","1,917","1,099","3,378","1,368","3,023","3,999","1,621","1,574","2,940","4,386","70,201","3,622","2,452",912,"1,538","3,538","5,049","2,962","2,336","4,211","2,391","3,609","1,389","2,895","2,135","5,412","3,158","3,590","3,890","4,695","2,788","4,517","3,112"
2020년10월_계_40~49세,"157,978","37,805","2,028","2,900","1,730","2,108","2,299","2,036","2,166","1,758","2,318","2,458","2,118","1,655","1,997","7,962",760,"1,073",439,"33,143","4,768","2,234","1,053","3,744","1,658","3,751","4,020","2,022","1,823","3,090","4,980","87,030","4,679","3,752","2,641","3,207","3,256","5,916","2,699","2,834","6,406","3,288","4,683","2,446","2,755","2,785","4,397","5,276","4,701","4,747","4,449","2,996","5,071","4,046"
2020년10월_계_50~59세,"156,067","41,466","2,531","3,381","2,141","2,712","2,809","2,571","2,379","2,547","2,892","2,733","2,140","1,722","1,323","7,173",594,"1,308",510,"38,380","5,603","2,637","1,244","4,300","1,783","4,501","4,653","2,946","2,574","3,952","4,187","76,221","4,263","2,815","1,465","2,098","2,897","4,777","2,385","2,408","4,990","3,315","4,140","2,383","2,715","2,597","4,598","3,397","3,922","4,758","4,606","2,940","5,233","3,519"
2020년10월_계_60~69세,"112,650","33,358","2,221","2,580","1,676","2,403","2,249","2,085","1,777","2,174","2,550","2,130","1,787","1,365","1,061","5,226",522,"1,007",545,"30,372","4,637","2,308","1,069","3,557","1,296","3,408","3,685","2,307","1,954","3,043","3,108","48,920","2,851","1,370",768,"1,082","2,070","2,483","1,742","1,403","2,710","1,909","2,601","1,611","2,224","2,228","3,679","1,977","2,322","2,746","3,465","1,797","3,462","2,420"
2020년10월_계_70~79세,"57,877","17,187","1,143","1,068",947,"1,430","1,232","1,118","1,064","1,224","1,414","1,160","1,118",795,462,"2,025",212,476,299,"15,184","2,470","1,158",479,"1,791",736,"2,036","1,764","1,164",952,"1,221","1,413","25,506","1,460",939,484,484,"1,019","1,673","1,029",808,"1,559",828,"1,355",822,"1,114","1,189","1,725",862,992,"1,156","1,987",945,"2,155",921
