,경기도 수원시,경기도 수원시 장안구,경기도 수원시 장안구 파장동,경기도 수원시 장안구 율천동,경기도 수원시 장안구 정자1동,경기도 수원시 장안구 정자2동,경기도 수원시 장안구 정자3동,경기도 수원시 장안구 영화동,경기도 수원시 장안구 송죽동,경기도 수원시 장안구 조원1동,경기도 수원시 장안구 조원2동,경기도 수원시 장안구 연무동,경기도 수원시 권선구,경기도 수원시 권선구 세류1동,경기도 수원시 권선구 세류2동,경기도 수원시 권선구 세류3동,경기도 수원시 권선구 평동,경기도 수원시 권선구 서둔동,경기도 수원시 권선구 구운동,경기도 수원시 권선구 금곡동,경기도 수원시 권선구 호매실동,경기도 수원시 권선구 권선1동,경기도 수원시 권선구 권선2동,경기도 수원시 권선구 곡선동,경기도 수원시 권선구 입북동,경기도 수원시 팔달구,경기도 수원시 팔달구 매교동,경기도 수원시 팔달구 매산동,경기도 수원시 팔달구 고등동,경기도 수원시 팔달구 화서1동,경기도 수원시 팔달구 화서2동,경기도 수원시 팔달구 지동,경기도 수원시 팔달구 우만1동,경기도 수원시 팔달구 우만2동,경기도 수원시 팔달구 인계동,경기도 수원시 팔달구 행궁동,경기도 수원시 영통구,경기도 수원시 영통구 매탄1동,경기도 수원시 영통구 매탄2동,경기도 수원시 영통구 매탄3동,경기도 수원시 영통구 매탄4동,경기도 수원시 영통구 원천동,경기도 수원시 영통구 영통1동,경기도 수원시 영통구 영통2동,경기도 수원시 영통구 영통3동,경기도 수원시 영통구 망포1동,경기도 수원시 영통구 망포2동,경기도 수원시 영통구 광교1동,경기도 수원시 영통구 광교2동
2021년08월_계_총인구수,"1,183,419","269,906","23,476","42,622","29,248","29,748","42,069","20,056","19,572","28,288","18,773","16,054","365,103","10,229","23,570","18,851","40,480","38,085","24,421","45,567","46,369","24,702","48,835","27,338","16,656","183,288","5,880","10,440","19,763","22,641","26,268","10,862","20,230","16,983","39,597","10,624","365,122","17,805","14,883","36,128","21,644","38,904","35,085","26,386","32,718","31,174","27,984","53,031","29,380"
2021년08월_계_연령구간인구수,"1,183,419","269,906","23,476","42,622","29,248","29,748","42,069","20,056","19,572","28,288","18,773","16,054","365,103","10,229","23,570","18,851","40,480","38,085","24,421","45,567","46,369","24,702","48,835","27,338","16,656","183,288","5,880","10,440","19,763","22,641","26,268","10,862","20,230","16,983","39,597","10,624","365,122","17,805","14,883","36,128","21,644","38,904","35,085","26,386","32,718","31,174","27,984","53,031","29,380"
2021년08월_계_0~9세,"92,804","17,083","1,285","2,951","2,355","1,848","3,366",803,"1,088","1,401","1,335",651,"30,769",848,"1,094",865,"3,018","2,277","1,342","4,690","6,810","1,236","5,387","1,582","1,620","10,305",233,419,"1,648","1,436","1,914",385,846,"1,115","2,036",273,"34,647","1,077",833,"2,695","1,230","4,246","3,388","2,470","2,445","3,355","4,216","5,333","3,359"
2021년08월_계_10~19세,"116,023","27,765","1,813","4,109","3,435","3,107","6,770","1,163","1,707","2,658","2,003","1,000","32,698",589,"1,555","1,454","3,448","3,077","1,984","4,950","4,690","1,649","5,364","2,169","1,769","13,999",313,462,"1,344","2,072","2,845",669,"1,330","1,705","2,819",440,"41,561","1,793","1,464","4,308","2,169","3,653","4,659","2,122","4,251","3,988","3,277","6,771","3,106"
2021년08월_계_20~29세,"185,418","43,253","3,371","10,103","3,995","4,296","6,206","2,640","2,952","4,238","2,824","2,628","53,387","1,503","3,584","2,650","6,162","5,889","3,876","6,082","4,926","4,997","6,469","5,237","2,012","30,524",859,"1,802","2,799","3,159","4,007","1,338","3,232","3,611","8,209","1,508","58,254","2,995","2,448","6,423","3,715","6,521","4,800","5,386","6,589","4,461","3,234","8,512","3,170"
2021년08월_계_30~39세,"176,883","31,852","2,987","5,650","3,350","3,581","4,313","2,423","2,575","3,198","1,963","1,812","56,745","1,673","3,532","2,489","5,724","5,366","3,215","6,469","8,718","4,500","7,678","5,210","2,171","26,904",929,"1,625","3,390","2,570","3,429","1,113","2,883","2,191","7,424","1,350","61,382","2,326","1,918","5,488","3,166","7,108","5,364","6,744","4,357","4,861","5,326","9,477","5,247"
2021년08월_계_40~49세,"199,765","43,810","3,574","6,325","5,224","4,965","8,665","2,843","3,040","4,292","2,797","2,085","60,741","1,449","3,629","2,979","5,949","5,936","3,580","8,135","8,625","3,623","8,915","4,825","3,096","27,933",825,"1,451","2,964","3,654","4,305","1,525","2,869","2,658","6,306","1,376","67,281","2,816","2,321","6,725","3,586","7,323","6,802","4,173","5,916","5,736","5,685","10,505","5,693"
2021년08월_계_50~59세,"196,388","48,592","4,356","6,704","5,316","5,313","7,554","3,889","3,620","5,373","3,759","2,708","61,477","1,833","4,178","3,347","7,450","6,721","4,710","7,627","6,081","4,096","7,848","4,666","2,920","31,195","1,064","1,863","3,178","4,004","5,055","1,997","3,619","2,675","5,753","1,987","55,124","3,261","2,741","5,669","3,726","4,827","5,725","3,213","5,416","5,153","3,705","7,441","4,247"
2021년08월_계_60~69세,"129,064","32,737","3,505","4,044","3,228","3,591","3,040","3,677","2,729","3,983","2,259","2,681","42,684","1,341","3,519","2,928","5,369","5,272","3,528","4,552","4,088","2,955","4,852","2,360","1,920","24,366",926,"1,642","2,538","3,237","2,797","2,070","3,067","1,811","4,278","2,000","29,277","2,205","1,889","2,951","2,480","3,232","2,626","1,341","2,394","2,386","1,699","3,249","2,825"
2021년08월_계_70~79세,"56,706","15,686","1,666","1,684","1,475","1,971","1,334","1,786","1,228","1,976","1,017","1,549","17,526",658,"1,649","1,459","2,177","2,424","1,410","1,954","1,609","1,107","1,543",778,758,"12,049",476,778,"1,350","1,707","1,197","1,179","1,613",788,"1,836","1,125","11,445",920,834,"1,190","1,008","1,322","1,061",584,813,810,552,"1,186","1,165"
2021년08월_계_80~89세,"26,180","7,809",797,902,740,935,719,723,539,994,680,780,"7,850",290,714,596,"1,008",985,674,951,728,468,671,420,345,"5,261",231,336,490,703,629,519,685,366,821,481,"5,260",337,366,599,491,573,573,306,451,360,250,469,485
2021년08월_계_90~99세,"3,981","1,257",113,143,126,137,101,102,87,174,132,142,"1,166",44,103,80,164,132,99,154,90,69,100,88,43,707,21,55,58,94,84,64,80,62,109,80,851,71,64,77,70,96,81,44,85,62,37,86,78
2021년08월_계_100세 이상,207,62,9,7,4,4,1,7,7,1,4,18,60,1,13,4,11,6,3,3,4,2,8,3,2,45,3,7,4,5,6,3,6,1,6,4,40,4,5,3,3,3,6,3,1,2,3,2,5
2021년08월_남_총인구수,"595,810","135,945","11,865","22,555","14,386","14,584","20,999","10,254","9,713","14,264","9,052","8,273","184,433","5,134","12,153","9,510","20,492","19,428","12,321","22,488","23,085","12,630","24,008","14,749","8,435","92,377","3,093","5,603","9,970","10,987","12,897","5,539","10,089","8,540","19,963","5,696","183,055","8,935","7,389","18,703","10,571","19,691","17,259","13,954","16,737","15,725","13,975","25,944","14,172"
