카테고리,경기도 안산시,경기도 안산시 상록구,경기도 안산시 상록구 일동,경기도 안산시 상록구 이동,경기도 안산시 상록구 사동,경기도 안산시 상록구 사이동,경기도 안산시 상록구 해양동,경기도 안산시 상록구 본오1동,경기도 안산시 상록구 본오2동,경기도 안산시 상록구 본오3동,경기도 안산시 상록구 부곡동,경기도 안산시 상록구 월피동,경기도 안산시 상록구 성포동,경기도 안산시 상록구 반월동,경기도 안산시 상록구 안산동,경기도 안산시 단원구,경기도 안산시 단원구 와동,경기도 안산시 단원구 고잔동,경기도 안산시 단원구 중앙동,경기도 안산시 단원구 호수동,경기도 안산시 단원구 원곡동,경기도 안산시 단원구 백운동,경기도 안산시 단원구 신길동,경기도 안산시 단원구 초지동,경기도 안산시 단원구 선부1동,경기도 안산시 단원구 선부2동,경기도 안산시 단원구 선부3동,경기도 안산시 단원구 대부동
2020년09월_계_총인구수,"653,505","348,635","25,269","24,302","33,414","33,340","30,500","38,319","27,020","20,394","22,113","38,971","27,212","18,601","9,180","304,870","39,332","22,175","25,355","44,859","6,336","18,647","22,777","47,604","16,375","16,868","35,780","8,762"
2020년09월_계_연령구간인구수,"653,505","348,635","25,269","24,302","33,414","33,340","30,500","38,319","27,020","20,394","22,113","38,971","27,212","18,601","9,180","304,870","39,332","22,175","25,355","44,859","6,336","18,647","22,777","47,604","16,375","16,868","35,780","8,762"
2020년09월_계_0~9세,"45,031","23,541","1,811","1,151","1,871","2,668","3,316","2,771","1,595","1,026","1,526","2,337","1,789","1,176",504,"21,490","2,741","1,265","1,692","3,535",288,"1,344","1,684","3,917","1,199",958,"2,560",307
2020년09월_계_10~19세,"64,856","34,461","2,536","1,672","3,035","3,695","3,664","4,125","2,987","1,818","2,153","3,966","2,678","1,354",778,"30,395","4,030","1,972","2,244","5,337",319,"1,842","2,552","5,020","1,343","1,657","3,694",385
2020년09월_계_20~29세,"106,058","57,510","3,863","4,417","6,036","5,382","5,028","5,980","4,362","3,589","3,539","7,075","4,800","2,267","1,172","48,548","6,113","4,206","5,026","7,727",493,"2,859","3,104","7,516","2,463","2,521","5,805",715
2020년09월_계_30~39세,"85,611","43,824","3,174","3,804","4,629","4,269","4,279","4,726","2,994","2,478","2,499","4,419","3,276","2,318",959,"41,787","5,265","3,232","3,969","5,534",660,"2,501","2,981","7,303","2,634","1,940","5,097",671
2020년09월_계_40~49세,"109,065","58,080","4,592","4,062","5,784","5,616","5,362","6,971","4,620","3,240","3,710","6,211","3,787","2,749","1,376","50,985","7,224","3,359","3,803","7,514","1,032","2,886","4,103","8,402","2,552","2,914","6,248",948
2020년09월_계_50~59세,"127,447","68,315","4,633","4,586","6,330","6,390","5,312","7,336","5,423","4,282","4,645","8,209","5,795","3,500","1,874","59,132","7,570","4,102","4,579","9,119","1,672","3,756","4,329","8,264","3,064","3,746","6,955","1,976"
2020년09월_계_60~69세,"69,495","36,792","2,525","2,634","2,891","3,337","2,485","3,636","2,829","2,215","2,318","4,152","3,287","2,978","1,505","32,703","3,819","2,393","2,738","4,126",993,"2,281","2,557","4,320","1,972","1,931","3,484","2,089"
2020년09월_계_70~79세,"29,495","16,670","1,435","1,312","1,522","1,268",712,"1,799","1,426","1,109","1,094","1,624","1,101","1,600",668,"12,825","1,663","1,061",832,"1,224",588,849,957,"1,838",725,787,"1,241","1,060"
2020년09월_계_80~89세,"14,220","8,154",605,573,"1,107",621,286,873,691,568,565,851,570,562,282,"6,066",789,523,383,631,254,286,440,885,372,366,618,519
2020년09월_계_90~99세,"2,098","1,219",91,84,194,89,56,101,88,69,60,119,121,91,56,879,113,60,84,108,31,33,66,131,49,45,73,86
2020년09월_계_100세 이상,129,69,4,7,15,5,0,1,5,0,4,8,8,6,6,60,5,2,5,4,6,10,4,8,2,3,5,6
2020년09월_남_총인구수,"334,987","177,767","12,844","12,991","17,456","16,889","15,446","19,782","13,347","10,145","11,409","19,929","13,365","9,381","4,783","157,220","20,761","11,075","12,608","22,545","3,665","9,475","12,171","24,428","8,360","9,166","18,366","4,600"
2020년09월_남_연령구간인구수,"334,987","177,767","12,844","12,991","17,456","16,889","15,446","19,782","13,347","10,145","11,409","19,929","13,365","9,381","4,783","157,220","20,761","11,075","12,608","22,545","3,665","9,475","12,171","24,428","8,360","9,166","18,366","4,600"
2020년09월_남_0~9세,"22,937","11,984",895,580,957,"1,368","1,637","1,442",819,537,790,"1,196",930,581,252,"10,953","1,409",623,866,"1,771",146,688,864,"1,999",617,495,"1,300",175
2020년09월_남_10~19세,"33,390","17,621","1,242",867,"1,573","1,881","1,883","2,123","1,457",916,"1,074","2,102","1,401",701,401,"15,769","2,142","1,015","1,140","2,798",164,952,"1,305","2,550",691,877,"1,927",208
2020년09월_남_20~29세,"56,415","30,629","1,993","2,314","3,300","2,866","2,760","3,198","2,210","1,849","1,897","3,839","2,516","1,233",654,"25,786","3,371","2,117","2,519","3,955",302,"1,488","1,752","4,052","1,336","1,378","3,113",403
2020년09월_남_30~39세,"46,587","23,737","1,725","2,249","2,684","2,271","2,079","2,575","1,599","1,307","1,371","2,418","1,686","1,239",534,"22,850","2,941","1,803","2,089","2,787",399,"1,336","1,715","4,047","1,478","1,111","2,750",394
2020년09월_남_40~49세,"55,502","29,434","2,428","2,266","3,057","2,801","2,587","3,590","2,210","1,603","1,932","3,037","1,701","1,475",747,"26,068","3,858","1,654","1,838","3,509",627,"1,432","2,242","4,270","1,325","1,609","3,161",543
2020년09월_남_50~59세,"65,394","34,974","2,453","2,508","3,362","3,209","2,681","3,853","2,716","2,106","2,466","4,158","2,724","1,721","1,017","30,420","4,095","2,062","2,211","4,570","1,055","1,857","2,312","4,147","1,472","2,136","3,504",999
2020년09월_남_60~69세,"36,411","19,078","1,287","1,365","1,518","1,713","1,348","1,910","1,486","1,130","1,226","2,211","1,690","1,424",770,"17,333","1,994","1,188","1,421","2,323",568,"1,199","1,341","2,241","1,031","1,044","1,887","1,096"
2020년09월_남_70~79세,"13,180","7,324",602,613,619,551,369,779,596,461,454,702,497,772,309,"5,856",693,445,392,598,287,411,474,813,292,385,515,551
2020년09월_남_80~89세,"4,692","2,702",202,213,329,209,92,293,233,217,188,246,180,212,88,"1,990",236,159,118,208,104,104,152,281,108,116,196,208
2020년09월_남_90~99세,450,270,17,15,53,20,10,19,20,19,10,19,37,21,10,180,22,9,12,25,12,6,13,26,9,14,12,20
2020년09월_남_100세 이상,29,14,0,1,4,0,0,0,1,0,1,1,3,2,1,15,0,0,2,1,1,2,1,2,1,1,1,3
2020년09월_여_총인구수,"318,518","170,868","12,425","11,311","15,958","16,451","15,054","18,537","13,673","10,249","10,704","19,042","13,847","9,220","4,397","147,650","18,571","11,100","12,747","22,314","2,671","9,172","10,606","23,176","8,015","7,702","17,414","4,162"
2020년09월_여_연령구간인구수,"318,518","170,868","12,425","11,311","15,958","16,451","15,054","18,537","13,673","10,249","10,704","19,042","13,847","9,220","4,397","147,650","18,571","11,100","12,747","22,314","2,671","9,172","10,606","23,176","8,015","7,702","17,414","4,162"
2020년09월_여_0~9세,"22,094","11,557",916,571,914,"1,300","1,679","1,329",776,489,736,"1,141",859,595,252,"10,537","1,332",642,826,"1,764",142,656,820,"1,918",582,463,"1,260",132
2020년09월_여_10~19세,"31,466","16,840","1,294",805,"1,462","1,814","1,781","2,002","1,530",902,"1,079","1,864","1,277",653,377,"14,626","1,888",957,"1,104","2,539",155,890,"1,247","2,470",652,780,"1,767",177
2020년09월_여_20~29세,"49,643","26,881","1,870","2,103","2,736","2,516","2,268","2,782","2,152","1,740","1,642","3,236","2,284","1,034",518,"22,762","2,742","2,089","2,507","3,772",191,"1,371","1,352","3,464","1,127","1,143","2,692",312
2020년09월_여_30~39세,"39,024","20,087","1,449","1,555","1,945","1,998","2,200","2,151","1,395","1,171","1,128","2,001","1,590","1,079",425,"18,937","2,324","1,429","1,880","2,747",261,"1,165","1,266","3,256","1,156",829,"2,347",277
2020년09월_여_40~49세,"53,563","28,646","2,164","1,796","2,727","2,815","2,775","3,381","2,410","1,637","1,778","3,174","2,086","1,274",629,"24,917","3,366","1,705","1,965","4,005",405,"1,454","1,861","4,132","1,227","1,305","3,087",405
2020년09월_여_50~59세,"62,053","33,341","2,180","2,078","2,968","3,181","2,631","3,483","2,707","2,176","2,179","4,051","3,071","1,779",857,"28,712","3,475","2,040","2,368","4,549",617,"1,899","2,017","4,117","1,592","1,610","3,451",977
2020년09월_여_60~69세,"33,084","17,714","1,238","1,269","1,373","1,624","1,137","1,726","1,343","1,085","1,092","1,941","1,597","1,554",735,"15,370","1,825","1,205","1,317","1,803",425,"1,082","1,216","2,079",941,887,"1,597",993
2020년09월_여_70~79세,"16,315","9,346",833,699,903,717,343,"1,020",830,648,640,922,604,828,359,"6,969",970,616,440,626,301,438,483,"1,025",433,402,726,509
2020년09월_여_80~89세,"9,528","5,452",403,360,778,412,194,580,458,351,377,605,390,350,194,"4,076",553,364,265,423,150,182,288,604,264,250,422,311
2020년09월_여_90~99세,"1,648",949,74,69,141,69,46,82,68,50,50,100,84,70,46,699,91,51,72,83,19,27,53,105,40,31,61,66
2020년09월_여_100세 이상,100,55,4,6,11,5,0,1,4,0,3,7,5,4,5,45,5,2,3,3,5,8,3,6,1,2,4,3
