카테고리,경기도 안성시,경기도 안성시 공도읍,경기도 안성시 보개면,경기도 안성시 금광면,경기도 안성시 서운면,경기도 안성시 미양면,경기도 안성시 대덕면,경기도 안성시 양성면,경기도 안성시 원곡면,경기도 안성시 일죽면,경기도 안성시 죽산면,경기도 안성시 삼죽면,경기도 안성시 고삼면,경기도 안성시 안성1동,경기도 안성시 안성2동,경기도 안성시 안성3동
2021년07월_계_총인구수,"189,298","60,240","5,340","7,364","3,351","5,917","15,367","5,258","6,467","7,645","7,035","3,880","1,935","12,454","24,524","22,521"
2021년07월_계_연령구간인구수,"189,298","60,240","5,340","7,364","3,351","5,917","15,367","5,258","6,467","7,645","7,035","3,880","1,935","12,454","24,524","22,521"
2021년07월_계_0~9세,"13,511","5,722",166,370,82,204,"1,314",137,387,277,214,77,49,703,"2,064","1,745"
2021년07월_계_10~19세,"18,343","7,590",285,623,141,272,"1,079",272,397,514,527,481,80,"1,021","2,577","2,484"
2021년07월_계_20~29세,"23,085","7,086",488,729,297,547,"2,053",447,778,668,702,478,199,"1,607","3,703","3,303"
2021년07월_계_30~39세,"22,880","8,306",411,629,229,546,"2,529",384,961,606,528,275,133,"1,334","3,311","2,698"
2021년07월_계_40~49세,"30,211","12,107",540,992,338,726,"2,594",548,936,807,758,339,175,"1,707","4,101","3,543"
2021년07월_계_50~59세,"31,531","9,086","1,000","1,326",661,"1,104","2,340","1,013","1,183","1,349","1,401",642,363,"2,204","3,914","3,945"
2021년07월_계_60~69세,"27,074","5,806","1,228","1,458",777,"1,297","2,012","1,242","1,041","1,767","1,509",794,496,"2,052","2,873","2,722"
2021년07월_계_70~79세,"13,753","2,958",690,698,458,695,920,648,490,979,812,460,234,"1,109","1,284","1,318"
2021년07월_계_80~89세,"7,781","1,395",455,465,331,462,460,464,256,582,524,306,175,615,616,675
2021년07월_계_90~99세,"1,091",178,73,72,36,61,65,99,38,91,57,27,29,99,81,85
2021년07월_계_100세 이상,38,6,4,2,1,3,1,4,0,5,3,1,2,3,0,3
2021년07월_남_총인구수,"97,699","30,423","2,817","3,673","1,771","3,227","8,604","2,738","3,643","4,024","3,761","1,990","1,004","6,265","12,459","11,300"
2021년07월_남_연령구간인구수,"97,699","30,423","2,817","3,673","1,771","3,227","8,604","2,738","3,643","4,024","3,761","1,990","1,004","6,265","12,459","11,300"
2021년07월_남_0~9세,"6,959","2,901",86,202,45,106,712,72,222,144,105,37,26,341,"1,076",884
2021년07월_남_10~19세,"9,540","3,909",171,311,75,146,557,130,222,296,293,222,46,521,"1,341","1,300"
2021년07월_남_20~29세,"12,783","3,803",293,407,188,341,"1,184",262,474,375,399,248,110,878,"1,986","1,835"
2021년07월_남_30~39세,"12,554","4,372",240,326,129,337,"1,503",224,593,365,332,187,79,719,"1,750","1,398"
2021년07월_남_40~49세,"16,130","6,163",321,524,203,454,"1,578",320,571,482,443,201,105,902,"2,122","1,741"
2021년07월_남_50~59세,"16,731","4,721",545,694,378,609,"1,359",568,645,742,809,345,195,"1,135","2,000","1,986"
2021년07월_남_60~69세,"13,694","2,752",673,732,406,717,"1,058",671,574,901,799,414,254,"1,003","1,411","1,329"
2021년07월_남_70~79세,"6,305","1,303",312,297,216,339,458,310,241,484,372,220,113,506,556,578
2021년07월_남_80~89세,"2,775",463,162,167,122,165,185,164,87,217,196,112,72,238,196,229
2021년07월_남_90~99세,222,35,14,12,9,12,10,17,14,17,12,4,4,21,21,20
2021년07월_남_100세 이상,6,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0
2021년07월_여_총인구수,"91,599","29,817","2,523","3,691","1,580","2,690","6,763","2,520","2,824","3,621","3,274","1,890",931,"6,189","12,065","11,221"
2021년07월_여_연령구간인구수,"91,599","29,817","2,523","3,691","1,580","2,690","6,763","2,520","2,824","3,621","3,274","1,890",931,"6,189","12,065","11,221"
2021년07월_여_0~9세,"6,552","2,821",80,168,37,98,602,65,165,133,109,40,23,362,988,861
2021년07월_여_10~19세,"8,803","3,681",114,312,66,126,522,142,175,218,234,259,34,500,"1,236","1,184"
2021년07월_여_20~29세,"10,302","3,283",195,322,109,206,869,185,304,293,303,230,89,729,"1,717","1,468"
2021년07월_여_30~39세,"10,326","3,934",171,303,100,209,"1,026",160,368,241,196,88,54,615,"1,561","1,300"
2021년07월_여_40~49세,"14,081","5,944",219,468,135,272,"1,016",228,365,325,315,138,70,805,"1,979","1,802"
2021년07월_여_50~59세,"14,800","4,365",455,632,283,495,981,445,538,607,592,297,168,"1,069","1,914","1,959"
2021년07월_여_60~69세,"13,380","3,054",555,726,371,580,954,571,467,866,710,380,242,"1,049","1,462","1,393"
2021년07월_여_70~79세,"7,448","1,655",378,401,242,356,462,338,249,495,440,240,121,603,728,740
2021년07월_여_80~89세,"5,006",932,293,298,209,297,275,300,169,365,328,194,103,377,420,446
2021년07월_여_90~99세,869,143,59,60,27,49,55,82,24,74,45,23,25,78,60,65
2021년07월_여_100세 이상,32,5,4,1,1,2,1,4,0,4,2,1,2,2,0,3
