,경기도 안양시,경기도 안양시 만안구,경기도 안양시 만안구 안양1동,경기도 안양시 만안구 안양2동,경기도 안양시 만안구 안양3동,경기도 안양시 만안구 안양4동,경기도 안양시 만안구 안양5동,경기도 안양시 만안구 안양6동,경기도 안양시 만안구 안양7동,경기도 안양시 만안구 안양8동,경기도 안양시 만안구 안양9동,경기도 안양시 만안구 석수1동,경기도 안양시 만안구 석수2동,경기도 안양시 만안구 석수3동,경기도 안양시 만안구 박달1동,경기도 안양시 만안구 박달2동,경기도 안양시 동안구,경기도 안양시 동안구 비산1동,경기도 안양시 동안구 비산2동,경기도 안양시 동안구 비산3동,경기도 안양시 동안구 부흥동,경기도 안양시 동안구 달안동,경기도 안양시 동안구 관양1동,경기도 안양시 동안구 관양2동,경기도 안양시 동안구 부림동,경기도 안양시 동안구 평촌동,경기도 안양시 동안구 평안동,경기도 안양시 동안구 귀인동,경기도 안양시 동안구 호계1동,경기도 안양시 동안구 호계2동,경기도 안양시 동안구 호계3동,경기도 안양시 동안구 범계동,경기도 안양시 동안구 신촌동,경기도 안양시 동안구 갈산동
2020년04월_계_총인구수,"561,069","241,999","12,791","21,661","16,813","7,292","13,155","20,035","16,028","11,175","17,613","20,090","32,621","13,951","15,544","23,230","319,070","21,941","11,231","22,755","17,872","11,307","37,446","19,458","27,507","15,430","24,349","17,022","8,168","21,853","22,298","15,644","13,407","11,382"
2020년04월_계_연령구간인구수,"561,069","241,999","12,791","21,661","16,813","7,292","13,155","20,035","16,028","11,175","17,613","20,090","32,621","13,951","15,544","23,230","319,070","21,941","11,231","22,755","17,872","11,307","37,446","19,458","27,507","15,430","24,349","17,022","8,168","21,853","22,298","15,644","13,407","11,382"
2020년04월_계_0~9세,"41,516","16,305",988,"1,227",935,305,593,"1,106","1,796",528,"1,054","1,509","2,293",997,770,"2,204","25,211","1,900",844,"1,256","1,566",816,"2,342","1,305","2,498","1,424","2,589","1,503",982,"1,528","1,680","1,208",985,785
2020년04월_계_10~19세,"54,416","19,563","1,143","1,557","1,366",511,957,"1,279","1,350",746,"1,338","1,616","2,714","1,426","1,222","2,338","34,853","2,325","1,142","1,873","2,312",769,"3,062","1,490","2,506","1,780","3,803","3,416",751,"1,868","2,155","2,368","1,665","1,568"
2020년04월_계_20~29세,"80,063","35,071","1,926","3,403","2,480","1,070","1,824","2,994","2,076","1,692","2,589","2,664","4,688","2,012","2,186","3,467","44,992","3,001","1,611","3,594","2,186","1,479","6,086","3,038","3,674","2,266","2,648","1,957",977,"3,554","3,346","2,030","1,994","1,551"
2020년04월_계_30~39세,"79,223","33,896","1,998","3,087","2,284",954,"1,642","3,301","2,835","1,576","2,168","2,792","4,343","1,664","1,749","3,503","45,327","2,861","1,432","2,872","2,297","2,461","5,019","3,109","5,961","1,898","3,387","1,291","1,606","3,324","3,088","1,921","1,630","1,170"
2020년04월_계_40~49세,"90,620","35,965","2,042","3,067","2,375","1,059","1,876","2,957","2,632","1,550","2,337","3,096","4,878","2,183","2,340","3,573","54,655","3,620","1,771","3,085","3,429","1,902","5,322","3,024","5,153","2,680","5,405","4,080","1,452","3,034","3,356","3,097","2,250","1,995"
2020년04월_계_50~59세,"99,747","44,317","2,198","4,012","3,114","1,336","2,438","3,502","2,686","2,094","3,394","3,552","6,229","2,614","3,173","3,975","55,430","3,996","2,133","4,642","2,753","1,702","7,142","3,544","3,939","2,987","3,440","2,625","1,192","4,088","4,286","2,513","2,480","1,968"
2020년04월_계_60~69세,"68,228","32,980","1,481","3,067","2,538","1,048","2,066","2,872","1,658","1,792","2,727","2,814","4,234","1,799","2,257","2,627","35,248","2,673","1,404","3,275","1,957","1,205","4,943","2,263","2,239","1,450","1,789","1,205",773,"2,896","2,917","1,353","1,548","1,358"
2020년04월_계_70~79세,"31,158","16,102",686,"1,554","1,197",647,"1,134","1,354",693,825,"1,346","1,366","2,197",825,"1,260","1,018","15,056","1,035",613,"1,345",878,585,"2,344","1,116","1,003",569,772,594,283,"1,050",976,692,581,620
2020년04월_계_80~89세,"13,865","6,778",280,594,463,315,556,594,237,320,579,571,909,391,514,455,"7,087",438,227,686,435,337,"1,021",500,477,336,441,298,125,431,412,379,237,307
2020년04월_계_90~99세,"2,064",941,48,83,53,47,64,62,58,48,72,104,129,39,66,68,"1,123",73,44,121,57,50,156,64,54,36,72,52,22,73,75,81,37,56
2020년04월_계_100세 이상,169,81,1,10,8,0,5,14,7,4,9,6,7,1,7,2,88,19,10,6,2,1,9,5,3,4,3,1,5,7,7,2,0,4
2020년04월_남_총인구수,"277,727","121,239","6,383","10,877","8,381","3,634","6,547","10,306","7,930","5,765","8,694","9,836","16,364","7,019","7,847","11,656","156,488","10,674","5,447","11,268","8,621","5,179","18,364","9,897","13,358","7,610","11,905","8,404","4,162","10,759","11,192","7,512","6,611","5,525"
2020년04월_남_연령구간인구수,"277,727","121,239","6,383","10,877","8,381","3,634","6,547","10,306","7,930","5,765","8,694","9,836","16,364","7,019","7,847","11,656","156,488","10,674","5,447","11,268","8,621","5,179","18,364","9,897","13,358","7,610","11,905","8,404","4,162","10,759","11,192","7,512","6,611","5,525"
2020년04월_남_0~9세,"21,153","8,276",488,606,497,152,313,566,900,267,531,801,"1,157",488,375,"1,135","12,877",996,425,645,832,424,"1,234",661,"1,239",725,"1,308",818,492,767,851,603,483,374
2020년04월_남_10~19세,"28,154","10,181",583,824,719,253,505,636,695,383,679,855,"1,459",760,629,"1,201","17,973","1,204",568,"1,004","1,219",394,"1,583",733,"1,288",919,"1,978","1,782",388,960,"1,068","1,260",846,779
2020년04월_남_20~29세,"41,661","18,374",976,"1,725","1,311",528,946,"1,614","1,030",921,"1,376","1,373","2,429","1,113","1,150","1,882","23,287","1,493",828,"1,919","1,126",700,"3,243","1,642","1,810","1,187","1,393",982,487,"1,817","1,770","1,008","1,059",823
2020년04월_남_30~39세,"40,673","17,855","1,034","1,664","1,211",530,909,"1,840","1,387",929,"1,167","1,354","2,219",852,974,"1,785","22,818","1,384",715,"1,531","1,059","1,240","2,636","1,718","3,051",890,"1,573",555,819,"1,724","1,611",894,834,584
2020년04월_남_40~49세,"44,291","18,326","1,006","1,558","1,237",554,947,"1,563","1,338",840,"1,173","1,522","2,507","1,101","1,210","1,770","25,965","1,719",827,"1,504","1,598",872,"2,575","1,523","2,490","1,257","2,557","1,868",766,"1,468","1,633","1,387",995,926
2020년04월_남_50~59세,"48,557","21,840","1,121","1,983","1,466",697,"1,232","1,774","1,345","1,035","1,613","1,639","3,106","1,317","1,650","1,862","26,717","1,896","1,002","2,159","1,357",735,"3,355","1,765","1,841","1,479","1,736","1,390",618,"1,943","2,057","1,229","1,216",939
2020년04월_남_60~69세,"33,800","16,283",733,"1,545","1,221",515,991,"1,401",815,867,"1,320","1,394","2,119",901,"1,098","1,363","17,517","1,321",715,"1,648",912,512,"2,351","1,141","1,092",751,903,620,404,"1,410","1,550",693,813,681
2020년04월_남_70~79세,"14,182","7,450",322,728,551,265,497,663,315,396,608,676,"1,007",365,576,481,"6,732",474,290,620,383,206,"1,024",512,381,268,308,255,151,508,500,285,279,288
2020년04월_남_80~89세,"4,717","2,413",107,226,156,121,189,221,91,122,209,195,329,117,170,160,"2,304",160,65,202,123,86,321,184,155,124,129,115,36,148,133,131,76,116
2020년04월_남_90~99세,489,216,13,14,10,19,17,23,11,5,15,24,31,5,12,17,273,26,8,33,11,10,40,18,10,9,17,19,0,12,15,22,10,13
2020년04월_남_100세 이상,50,25,0,4,2,0,1,5,3,0,3,3,1,0,3,0,25,1,4,3,1,0,2,0,1,1,3,0,1,2,4,0,0,2
2020년04월_여_총인구수,"283,342","120,760","6,408","10,784","8,432","3,658","6,608","9,729","8,098","5,410","8,919","10,254","16,257","6,932","7,697","11,574","162,582","11,267","5,784","11,487","9,251","6,128","19,082","9,561","14,149","7,820","12,444","8,618","4,006","11,094","11,106","8,132","6,796","5,857"
2020년04월_여_연령구간인구수,"283,342","120,760","6,408","10,784","8,432","3,658","6,608","9,729","8,098","5,410","8,919","10,254","16,257","6,932","7,697","11,574","162,582","11,267","5,784","11,487","9,251","6,128","19,082","9,561","14,149","7,820","12,444","8,618","4,006","11,094","11,106","8,132","6,796","5,857"
2020년04월_여_0~9세,"20,363","8,029",500,621,438,153,280,540,896,261,523,708,"1,136",509,395,"1,069","12,334",904,419,611,734,392,"1,108",644,"1,259",699,"1,281",685,490,761,829,605,502,411
2020년04월_여_10~19세,"26,262","9,382",560,733,647,258,452,643,655,363,659,761,"1,255",666,593,"1,137","16,880","1,121",574,869,"1,093",375,"1,479",757,"1,218",861,"1,825","1,634",363,908,"1,087","1,108",819,789
2020년04월_여_20~29세,"38,402","16,697",950,"1,678","1,169",542,878,"1,380","1,046",771,"1,213","1,291","2,259",899,"1,036","1,585","21,705","1,508",783,"1,675","1,060",779,"2,843","1,396","1,864","1,079","1,255",975,490,"1,737","1,576","1,022",935,728
2020년04월_여_30~39세,"38,550","16,041",964,"1,423","1,073",424,733,"1,461","1,448",647,"1,001","1,438","2,124",812,775,"1,718","22,509","1,477",717,"1,341","1,238","1,221","2,383","1,391","2,910","1,008","1,814",736,787,"1,600","1,477","1,027",796,586
2020년04월_여_40~49세,"46,329","17,639","1,036","1,509","1,138",505,929,"1,394","1,294",710,"1,164","1,574","2,371","1,082","1,130","1,803","28,690","1,901",944,"1,581","1,831","1,030","2,747","1,501","2,663","1,423","2,848","2,212",686,"1,566","1,723","1,710","1,255","1,069"
2020년04월_여_50~59세,"51,190","22,477","1,077","2,029","1,648",639,"1,206","1,728","1,341","1,059","1,781","1,913","3,123","1,297","1,523","2,113","28,713","2,100","1,131","2,483","1,396",967,"3,787","1,779","2,098","1,508","1,704","1,235",574,"2,145","2,229","1,284","1,264","1,029"
2020년04월_여_60~69세,"34,428","16,697",748,"1,522","1,317",533,"1,075","1,471",843,925,"1,407","1,420","2,115",898,"1,159","1,264","17,731","1,352",689,"1,627","1,045",693,"2,592","1,122","1,147",699,886,585,369,"1,486","1,367",660,735,677
2020년04월_여_70~79세,"16,976","8,652",364,826,646,382,637,691,378,429,738,690,"1,190",460,684,537,"8,324",561,323,725,495,379,"1,320",604,622,301,464,339,132,542,476,407,302,332
2020년04월_여_80~89세,"9,148","4,365",173,368,307,194,367,373,146,198,370,376,580,274,344,295,"4,783",278,162,484,312,251,700,316,322,212,312,183,89,283,279,248,161,191
2020년04월_여_90~99세,"1,575",725,35,69,43,28,47,39,47,43,57,80,98,34,54,51,850,47,36,88,46,40,116,46,44,27,55,33,22,61,60,59,27,43
2020년04월_여_100세 이상,119,56,1,6,6,0,4,9,4,4,6,3,6,1,4,2,63,18,6,3,1,1,7,5,2,3,0,1,4,5,3,2,0,2
