카테고리,경기도 양평군,경기도 양평군 양평읍,경기도 양평군 강상면,경기도 양평군 강하면,경기도 양평군 양서면,경기도 양평군 옥천면,경기도 양평군 서종면,경기도 양평군 단월면,경기도 양평군 청운면,경기도 양평군 양동면,경기도 양평군 지평면,경기도 양평군 용문면,경기도 양평군 개군면
2020년09월_계_총인구수,"118,433","30,515","10,320","4,674","13,588","7,871","9,645","3,849","3,762","4,572","6,833","17,733","5,071"
2020년09월_계_연령구간인구수,"118,433","30,515","10,320","4,674","13,588","7,871","9,645","3,849","3,762","4,572","6,833","17,733","5,071"
2020년09월_계_0~9세,"7,387","2,256",947,175,725,489,639,124,116,141,242,"1,303",230
2020년09월_계_10~19세,"9,899","3,280",927,241,"1,111",548,823,223,162,193,384,"1,690",317
2020년09월_계_20~29세,"10,553","3,499",820,326,"1,248",734,596,259,229,275,479,"1,688",400
2020년09월_계_30~39세,"10,860","3,218","1,222",371,"1,210",782,831,285,204,291,414,"1,659",373
2020년09월_계_40~49세,"16,323","4,819","1,654",511,"1,825","1,040","1,511",437,364,381,686,"2,497",598
2020년09월_계_50~59세,"20,926","5,381","1,685",907,"2,447","1,390","1,722",690,691,910,"1,286","2,925",892
2020년09월_계_60~69세,"22,278","4,339","1,692","1,179","2,645","1,601","2,016",937,957,"1,154","1,636","2,960","1,162"
2020년09월_계_70~79세,"12,987","2,395",911,690,"1,587",866,"1,024",561,609,703,"1,012","1,914",715
2020년09월_계_80~89세,"6,183","1,164",399,226,675,360,400,296,382,437,582,921,341
2020년09월_계_90~99세,969,149,59,46,105,57,78,37,41,79,109,168,41
2020년09월_계_100세 이상,68,15,4,2,10,4,5,0,7,8,3,8,2
2020년09월_남_총인구수,"59,493","15,273","5,096","2,362","6,846","3,969","4,787","1,963","1,908","2,267","3,482","8,966","2,574"
2020년09월_남_연령구간인구수,"59,493","15,273","5,096","2,362","6,846","3,969","4,787","1,963","1,908","2,267","3,482","8,966","2,574"
2020년09월_남_0~9세,"3,792","1,173",481,97,368,235,300,59,63,80,144,678,114
2020년09월_남_10~19세,"5,289","1,686",470,141,631,293,447,124,92,99,222,911,173
2020년09월_남_20~29세,"5,835","1,915",433,187,676,430,326,142,118,158,278,947,225
2020년09월_남_30~39세,"5,496","1,615",590,193,617,401,395,172,114,160,212,833,194
2020년09월_남_40~49세,"8,336","2,334",825,262,937,561,756,237,212,209,386,"1,293",324
2020년09월_남_50~59세,"10,726","2,792",837,447,"1,239",698,845,357,363,480,661,"1,537",470
2020년09월_남_60~69세,"11,038","2,162",820,565,"1,273",779,992,480,483,566,874,"1,470",574
2020년09월_남_70~79세,"6,371","1,141",466,367,780,423,549,277,295,331,475,905,362
2020년09월_남_80~89세,"2,365",416,155,94,296,134,157,109,161,165,197,353,128
2020년09월_남_90~99세,230,36,19,7,24,15,19,6,6,18,33,38,9
2020년09월_남_100세 이상,15,3,0,2,5,0,1,0,1,1,0,1,1
2020년09월_여_총인구수,"58,940","15,242","5,224","2,312","6,742","3,902","4,858","1,886","1,854","2,305","3,351","8,767","2,497"
2020년09월_여_연령구간인구수,"58,940","15,242","5,224","2,312","6,742","3,902","4,858","1,886","1,854","2,305","3,351","8,767","2,497"
2020년09월_여_0~9세,"3,595","1,083",466,78,357,254,339,65,53,61,98,625,116
2020년09월_여_10~19세,"4,610","1,594",457,100,480,255,376,99,70,94,162,779,144
2020년09월_여_20~29세,"4,718","1,584",387,139,572,304,270,117,111,117,201,741,175
2020년09월_여_30~39세,"5,364","1,603",632,178,593,381,436,113,90,131,202,826,179
2020년09월_여_40~49세,"7,987","2,485",829,249,888,479,755,200,152,172,300,"1,204",274
2020년09월_여_50~59세,"10,200","2,589",848,460,"1,208",692,877,333,328,430,625,"1,388",422
2020년09월_여_60~69세,"11,240","2,177",872,614,"1,372",822,"1,024",457,474,588,762,"1,490",588
2020년09월_여_70~79세,"6,616","1,254",445,323,807,443,475,284,314,372,537,"1,009",353
2020년09월_여_80~89세,"3,818",748,244,132,379,226,243,187,221,272,385,568,213
2020년09월_여_90~99세,739,113,40,39,81,42,59,31,35,61,76,130,32
2020년09월_여_100세 이상,53,12,4,0,5,4,4,0,6,7,3,7,1
