,경기도 여주시,경기도 여주시 가남읍,경기도 여주시 점동면,경기도 여주시 흥천면,경기도 여주시 금사면,경기도 여주시 능서면,경기도 여주시 대신면,경기도 여주시 북내면,경기도 여주시 강천면,경기도 여주시 산북면,경기도 여주시 여흥동,경기도 여주시 중앙동,경기도 여주시 오학동
2021년08월_계_총인구수,"112,289","15,366","4,740","5,122","2,995","6,295","7,004","4,895","4,235","2,611","21,729","18,623","18,674"
2021년08월_계_연령구간인구수,"112,289","15,366","4,740","5,122","2,995","6,295","7,004","4,895","4,235","2,611","21,729","18,623","18,674"
2021년08월_계_0~9세,"7,063",932,193,179,86,262,202,143,137,112,"1,441","1,345","2,031"
2021년08월_계_10~19세,"9,521","1,239",252,266,142,425,411,332,261,209,"1,943","2,153","1,888"
2021년08월_계_20~29세,"12,152","1,652",450,402,222,537,625,413,338,211,"2,783","2,440","2,079"
2021년08월_계_30~39세,"11,231","1,709",283,352,191,464,432,290,306,180,"2,391","1,968","2,665"
2021년08월_계_40~49세,"15,771","2,190",415,518,256,685,653,556,450,250,"3,452","3,046","3,300"
2021년08월_계_50~59세,"20,046","2,764",867,918,563,"1,069","1,266",998,880,431,"3,878","3,360","3,052"
2021년08월_계_60~69세,"19,794","2,689","1,150","1,290",793,"1,444","1,705","1,068",960,629,"3,369","2,527","2,170"
2021년08월_계_70~79세,"10,238","1,348",666,724,462,811,979,620,550,361,"1,576","1,155",986
2021년08월_계_80~89세,"5,568",728,395,396,235,518,628,408,290,196,782,547,445
2021년08월_계_90~99세,874,110,65,75,45,79,101,66,63,31,107,78,54
2021년08월_계_100세 이상,31,5,4,2,0,1,2,1,0,1,7,4,4
2021년08월_남_총인구수,"57,131","7,983","2,456","2,687","1,554","3,243","3,657","2,541","2,195","1,328","10,865","9,336","9,286"
2021년08월_남_연령구간인구수,"57,131","7,983","2,456","2,687","1,554","3,243","3,657","2,541","2,195","1,328","10,865","9,336","9,286"
2021년08월_남_0~9세,"3,644",455,112,100,46,124,96,76,68,51,756,704,"1,056"
2021년08월_남_10~19세,"4,907",645,139,147,66,216,235,190,133,111,983,"1,103",939
2021년08월_남_20~29세,"6,650",917,266,226,143,298,373,231,201,120,"1,488","1,291","1,096"
2021년08월_남_30~39세,"5,944",969,151,206,103,254,254,161,157,99,"1,221","1,027","1,342"
2021년08월_남_40~49세,"8,185","1,180",234,283,143,408,365,295,250,140,"1,756","1,486","1,645"
2021년08월_남_50~59세,"10,525","1,492",460,510,303,601,683,571,493,221,"1,945","1,754","1,492"
2021년08월_남_60~69세,"10,071","1,360",590,674,421,751,916,568,480,326,"1,673","1,229","1,083"
2021년08월_남_70~79세,"4,903",657,346,365,230,397,455,280,278,169,736,527,463
2021년08월_남_80~89세,"2,087",273,136,158,91,177,245,153,124,83,284,203,160
2021년08월_남_90~99세,207,32,21,18,8,16,35,16,11,7,22,12,9
2021년08월_남_100세 이상,8,3,1,0,0,1,0,0,0,1,1,0,1
2021년08월_여_총인구수,"55,158","7,383","2,284","2,435","1,441","3,052","3,347","2,354","2,040","1,283","10,864","9,287","9,388"
2021년08월_여_연령구간인구수,"55,158","7,383","2,284","2,435","1,441","3,052","3,347","2,354","2,040","1,283","10,864","9,287","9,388"
2021년08월_여_0~9세,"3,419",477,81,79,40,138,106,67,69,61,685,641,975
2021년08월_여_10~19세,"4,614",594,113,119,76,209,176,142,128,98,960,"1,050",949
2021년08월_여_20~29세,"5,502",735,184,176,79,239,252,182,137,91,"1,295","1,149",983
2021년08월_여_30~39세,"5,287",740,132,146,88,210,178,129,149,81,"1,170",941,"1,323"
2021년08월_여_40~49세,"7,586","1,010",181,235,113,277,288,261,200,110,"1,696","1,560","1,655"
2021년08월_여_50~59세,"9,521","1,272",407,408,260,468,583,427,387,210,"1,933","1,606","1,560"
2021년08월_여_60~69세,"9,723","1,329",560,616,372,693,789,500,480,303,"1,696","1,298","1,087"
2021년08월_여_70~79세,"5,335",691,320,359,232,414,524,340,272,192,840,628,523
2021년08월_여_80~89세,"3,481",455,259,238,144,341,383,255,166,113,498,344,285
2021년08월_여_90~99세,667,78,44,57,37,63,66,50,52,24,85,66,45
2021년08월_여_100세 이상,23,2,3,2,0,0,2,1,0,0,6,4,3
