카테고리,경기도 연천군,경기도 연천군 연천읍,경기도 연천군 전곡읍,경기도 연천군 군남면,경기도 연천군 청산면,경기도 연천군 백학면,경기도 연천군 미산면,경기도 연천군 왕징면,경기도 연천군 신서면,경기도 연천군 중면,경기도 연천군 장남면
2020년05월_계_총인구수,"43,689","7,924","19,299","3,280","3,981","2,680","1,763","1,016","2,818",197,731
2020년05월_계_연령구간인구수,"43,689","7,924","19,299","3,280","3,981","2,680","1,763","1,016","2,818",197,731
2020년05월_계_0~9세,"2,865",724,"1,647",98,136,93,46,23,62,9,27
2020년05월_계_10~19세,"3,239",462,"1,942",187,193,157,72,51,128,10,37
2020년05월_계_20~29세,"5,439","1,242","2,465",347,459,249,149,79,353,42,54
2020년05월_계_30~39세,"4,318","1,032","2,213",208,291,187,111,61,156,11,48
2020년05월_계_40~49세,"5,021",826,"2,671",295,417,253,144,88,244,19,64
2020년05월_계_50~59세,"7,297","1,093","3,211",605,742,525,351,152,441,33,144
2020년05월_계_60~69세,"7,274","1,082","2,612",689,840,538,451,231,645,34,152
2020년05월_계_70~79세,"5,061",883,"1,524",502,567,437,273,223,506,24,122
2020년05월_계_80~89세,"2,731",501,840,312,281,221,144,97,249,13,73
2020년05월_계_90~99세,396,74,152,32,47,18,20,10,32,1,10
2020년05월_계_100세 이상,48,5,22,5,8,2,2,1,2,1,0
2020년05월_남_총인구수,"22,930","4,298","9,845","1,741","2,119","1,445",937,537,"1,530",114,364
2020년05월_남_연령구간인구수,"22,930","4,298","9,845","1,741","2,119","1,445",937,537,"1,530",114,364
2020년05월_남_0~9세,"1,471",370,852,50,64,45,26,14,30,4,16
2020년05월_남_10~19세,"1,739",258,"1,018",103,117,89,40,31,59,4,20
2020년05월_남_20~29세,"3,458",855,"1,383",240,320,160,94,49,289,37,31
2020년05월_남_30~39세,"2,449",611,"1,189",119,179,116,65,35,100,7,28
2020년05월_남_40~49세,"2,742",467,"1,371",176,246,143,86,55,151,8,39
2020년05월_남_50~59세,"3,916",609,"1,681",330,394,290,183,93,248,19,69
2020년05월_남_60~69세,"3,748",545,"1,324",373,433,294,258,112,315,19,75
2020년05월_남_70~79세,"2,288",378,702,224,244,207,121,104,239,11,58
2020년05월_남_80~89세,991,182,276,115,105,94,55,41,90,5,28
2020년05월_남_90~99세,112,23,40,9,16,6,8,2,8,0,0
2020년05월_남_100세 이상,16,0,9,2,1,1,1,1,1,0,0
2020년05월_여_총인구수,"20,759","3,626","9,454","1,539","1,862","1,235",826,479,"1,288",83,367
2020년05월_여_연령구간인구수,"20,759","3,626","9,454","1,539","1,862","1,235",826,479,"1,288",83,367
2020년05월_여_0~9세,"1,394",354,795,48,72,48,20,9,32,5,11
2020년05월_여_10~19세,"1,500",204,924,84,76,68,32,20,69,6,17
2020년05월_여_20~29세,"1,981",387,"1,082",107,139,89,55,30,64,5,23
2020년05월_여_30~39세,"1,869",421,"1,024",89,112,71,46,26,56,4,20
2020년05월_여_40~49세,"2,279",359,"1,300",119,171,110,58,33,93,11,25
2020년05월_여_50~59세,"3,381",484,"1,530",275,348,235,168,59,193,14,75
2020년05월_여_60~69세,"3,526",537,"1,288",316,407,244,193,119,330,15,77
2020년05월_여_70~79세,"2,773",505,822,278,323,230,152,119,267,13,64
2020년05월_여_80~89세,"1,740",319,564,197,176,127,89,56,159,8,45
2020년05월_여_90~99세,284,51,112,23,31,12,12,8,24,1,10
2020년05월_여_100세 이상,32,5,13,3,7,1,1,0,1,1,0
