,경기도 오산시,경기도 오산시 중앙동,경기도 오산시 남촌동,경기도 오산시 신장동,경기도 오산시 세마동,경기도 오산시 초평동,경기도 오산시 대원동
2021년07월_계_총인구수,"230,657","35,846","20,568","61,285","32,056","16,211","64,691"
2021년07월_계_연령구간인구수,"230,657","35,846","20,568","61,285","32,056","16,211","64,691"
2021년07월_계_0~9세,"22,645","3,840",854,"6,811","3,918","1,312","5,910"
2021년07월_계_10~19세,"24,918","4,166","1,163","7,112","3,364","1,939","7,174"
2021년07월_계_20~29세,"31,519","4,470","3,841","7,140","4,069","2,213","9,786"
2021년07월_계_30~39세,"38,080","5,358","4,958","9,693","5,844","2,322","9,905"
2021년07월_계_40~49세,"43,683","6,736","3,863","11,764","6,175","3,089","12,056"
2021년07월_계_50~59세,"33,718","5,449","2,895","8,516","4,283","2,546","10,029"
2021년07월_계_60~69세,"21,372","3,398","1,812","6,029","2,788","1,605","5,740"
2021년07월_계_70~79세,"9,916","1,604",810,"2,846","1,116",774,"2,766"
2021년07월_계_80~89세,"4,253",748,340,"1,206",423,369,"1,167"
2021년07월_계_90~99세,528,77,28,156,75,37,155
2021년07월_계_100세 이상,25,0,4,12,1,5,3
2021년07월_남_총인구수,"119,588","17,979","12,209","30,972","16,414","8,334","33,680"
2021년07월_남_연령구간인구수,"119,588","17,979","12,209","30,972","16,414","8,334","33,680"
2021년07월_남_0~9세,"11,577","1,998",418,"3,477","1,967",683,"3,034"
2021년07월_남_10~19세,"12,744","2,056",582,"3,608","1,717","1,004","3,777"
2021년07월_남_20~29세,"17,051","2,328","2,211","3,764","2,149","1,217","5,382"
2021년07월_남_30~39세,"20,679","2,716","3,212","5,035","3,064","1,266","5,386"
2021년07월_남_40~49세,"23,252","3,435","2,434","6,217","3,237","1,591","6,338"
2021년07월_남_50~59세,"17,638","2,788","1,828","4,306","2,163","1,308","5,245"
2021년07월_남_60~69세,"10,568","1,672",994,"2,865","1,408",794,"2,835"
2021년07월_남_70~79세,"4,396",684,388,"1,256",550,335,"1,183"
2021년07월_남_80~89세,"1,570",290,139,406,152,124,459
2021년07월_남_90~99세,106,12,3,35,7,9,40
2021년07월_남_100세 이상,7,0,0,3,0,3,1
2021년07월_여_총인구수,"111,069","17,867","8,359","30,313","15,642","7,877","31,011"
2021년07월_여_연령구간인구수,"111,069","17,867","8,359","30,313","15,642","7,877","31,011"
2021년07월_여_0~9세,"11,068","1,842",436,"3,334","1,951",629,"2,876"
2021년07월_여_10~19세,"12,174","2,110",581,"3,504","1,647",935,"3,397"
2021년07월_여_20~29세,"14,468","2,142","1,630","3,376","1,920",996,"4,404"
2021년07월_여_30~39세,"17,401","2,642","1,746","4,658","2,780","1,056","4,519"
2021년07월_여_40~49세,"20,431","3,301","1,429","5,547","2,938","1,498","5,718"
2021년07월_여_50~59세,"16,080","2,661","1,067","4,210","2,120","1,238","4,784"
2021년07월_여_60~69세,"10,804","1,726",818,"3,164","1,380",811,"2,905"
2021년07월_여_70~79세,"5,520",920,422,"1,590",566,439,"1,583"
2021년07월_여_80~89세,"2,683",458,201,800,271,245,708
2021년07월_여_90~99세,422,65,25,121,68,28,115
2021년07월_여_100세 이상,18,0,4,9,1,2,2
