,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사면,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역삼동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 성복동
2020년11월_계_총인구수,"1,074,790","258,079","33,415","26,105","20,230","23,470","8,211","8,621","19,732","24,543","44,694","35,933","13,125","440,764","38,843","30,686","17,632","42,140","13,430","33,684","21,359","25,821","39,415","32,396","33,043","27,260","23,498","24,957","36,600","375,947","36,725","41,737","38,187","56,913","18,522","49,534","48,759","34,065","51,505"
2020년11월_계_연령구간인구수,"1,074,790","258,079","33,415","26,105","20,230","23,470","8,211","8,621","19,732","24,543","44,694","35,933","13,125","440,764","38,843","30,686","17,632","42,140","13,430","33,684","21,359","25,821","39,415","32,396","33,043","27,260","23,498","24,957","36,600","375,947","36,725","41,737","38,187","56,913","18,522","49,534","48,759","34,065","51,505"
2020년11월_계_0~9세,"101,101","21,271","2,337","1,932","1,592","3,195",328,236,"1,296","1,582","4,929","3,162",682,"43,007","3,412","3,543","1,901","4,379",984,"3,093","1,847","3,205","3,353","2,717","3,530","2,668","2,988","1,994","3,393","36,823","2,757","4,724","3,553","5,137","1,525","5,760","4,844","3,396","5,127"
2020년11월_계_10~19세,"122,298","25,843","3,870","2,354","1,779","1,865",566,655,"2,584","2,205","4,438","4,365","1,162","50,921","3,623","3,547","1,291","3,396","1,294","4,343","2,159","2,446","4,876","3,114","5,740","4,717","2,976","2,836","4,563","45,534","3,719","5,812","5,310","7,128","1,616","5,361","6,189","4,230","6,169"
2020년11월_계_20~29세,"137,632","34,602","4,777","3,324","2,141","1,937",753,874,"2,490","4,369","7,181","4,881","1,875","56,609","5,147","3,817","2,482","6,711","1,959","4,048","2,527","4,978","4,300","4,098","3,522","3,143","2,215","3,437","4,225","46,421","5,438","4,923","4,084","7,841","2,771","5,585","6,328","3,883","5,568"
2020년11월_계_30~39세,"145,734","33,935","3,953","3,039","2,371","4,205",724,725,"2,364","3,136","7,440","4,555","1,423","59,777","6,222","4,746","3,250","7,884","1,887","3,959","2,777","4,566","4,281","4,114","3,448","2,443","3,175","2,825","4,200","52,022","6,218","6,261","4,114","7,068","3,295","7,988","6,846","4,341","5,891"
2020년11월_계_40~49세,"200,106","43,479","5,994","4,445","3,320","4,093","1,068","1,008","3,105","3,863","7,776","6,807","2,000","83,987","6,665","6,038","2,770","7,083","2,425","6,550","3,794","4,427","7,790","5,422","7,934","6,297","4,936","4,513","7,343","72,640","6,099","9,068","8,006","10,924","3,051","9,615","9,382","6,584","9,911"
2020년11월_계_50~59세,"164,719","43,211","5,856","4,647","3,699","3,105","1,620","1,620","3,385","4,208","6,365","6,103","2,603","66,499","6,238","4,768","2,769","6,543","2,262","5,161","3,502","3,183","5,806","5,076","4,586","4,226","2,675","4,387","5,317","55,009","5,422","5,747","5,707","8,688","2,893","6,998","7,031","5,038","7,485"
2020년11월_계_60~69세,"105,706","31,131","3,669","3,590","2,942","2,846","1,643","1,807","2,594","2,933","3,788","3,337","1,982","41,005","3,941","2,550","1,666","3,519","1,260","3,329","2,660","1,823","4,297","3,728","2,098","1,947","2,005","2,683","3,499","33,570","3,620","2,426","3,450","5,075","1,760","4,614","4,090","3,048","5,487"
2020년11월_계_70~79세,"65,568","15,986","1,912","1,860","1,497","1,496",946,946,"1,184","1,464","1,889","1,825",967,"26,244","2,398","1,150",752,"1,858",901,"2,209","1,435",816,"3,194","2,804","1,479","1,204","1,698","1,541","2,805","23,338","2,324","1,749","2,786","3,343","1,051","2,579","2,796","2,477","4,233"
