카테고리,경기도 의왕시,경기도 의왕시 고천동,경기도 의왕시 부곡동,경기도 의왕시 오전동,경기도 의왕시 내손1동,경기도 의왕시 내손2동,경기도 의왕시 청계동
2021년11월_계_총인구수,"163,555","14,190","29,489","39,276","20,802","22,503","37,295"
2021년11월_계_연령구간인구수,"163,555","14,190","29,489","39,276","20,802","22,503","37,295"
2021년11월_계_0~9세,"12,649",884,"2,100","2,876","1,445","2,207","3,137"
2021년11월_계_10~19세,"14,132",898,"2,344","3,851","1,926","2,056","3,057"
2021년11월_계_20~29세,"22,802","2,296","4,082","5,140","3,214","2,984","5,086"
2021년11월_계_30~39세,"22,898","2,661","4,215","4,976","2,382","3,361","5,303"
2021년11월_계_40~49세,"24,072","1,683","4,248","6,037","3,016","3,490","5,598"
2021년11월_계_50~59세,"29,325","1,978","5,201","7,139","4,091","3,963","6,953"
2021년11월_계_60~69세,"23,257","2,257","4,069","5,897","2,988","2,809","5,237"
2021년11월_계_70~79세,"9,174","1,005","2,018","2,255","1,040",978,"1,878"
2021년11월_계_80~89세,"4,463",439,"1,067",946,582,560,869
2021년11월_계_90~99세,762,87,142,157,112,94,170
2021년11월_계_100세 이상,21,2,3,2,6,1,7
2021년11월_남_총인구수,"81,252","7,191","14,999","19,503","10,206","11,043","18,310"
2021년11월_남_연령구간인구수,"81,252","7,191","14,999","19,503","10,206","11,043","18,310"
2021년11월_남_0~9세,"6,536",469,"1,106","1,429",752,"1,123","1,657"
2021년11월_남_10~19세,"7,268",472,"1,205","1,989","1,016","1,073","1,513"
2021년11월_남_20~29세,"11,972","1,195","2,226","2,721","1,658","1,533","2,639"
2021년11월_남_30~39세,"11,768","1,444","2,291","2,543","1,176","1,637","2,677"
2021년11월_남_40~49세,"11,990",887,"2,243","2,947","1,432","1,736","2,745"
2021년11월_남_50~59세,"14,050",926,"2,577","3,446","1,951","1,890","3,260"
2021년11월_남_60~69세,"11,587","1,122","2,027","2,921","1,515","1,416","2,586"
2021년11월_남_70~79세,"4,325",500,899,"1,114",472,428,912
2021년11월_남_80~89세,"1,579",154,388,360,209,186,282
2021년11월_남_90~99세,176,22,37,33,25,21,38
2021년11월_남_100세 이상,1,0,0,0,0,0,1
2021년11월_여_총인구수,"82,303","6,999","14,490","19,773","10,596","11,460","18,985"
2021년11월_여_연령구간인구수,"82,303","6,999","14,490","19,773","10,596","11,460","18,985"
2021년11월_여_0~9세,"6,113",415,994,"1,447",693,"1,084","1,480"
2021년11월_여_10~19세,"6,864",426,"1,139","1,862",910,983,"1,544"
2021년11월_여_20~29세,"10,830","1,101","1,856","2,419","1,556","1,451","2,447"
2021년11월_여_30~39세,"11,130","1,217","1,924","2,433","1,206","1,724","2,626"
2021년11월_여_40~49세,"12,082",796,"2,005","3,090","1,584","1,754","2,853"
2021년11월_여_50~59세,"15,275","1,052","2,624","3,693","2,140","2,073","3,693"
2021년11월_여_60~69세,"11,670","1,135","2,042","2,976","1,473","1,393","2,651"
2021년11월_여_70~79세,"4,849",505,"1,119","1,141",568,550,966
2021년11월_여_80~89세,"2,884",285,679,586,373,374,587
2021년11월_여_90~99세,586,65,105,124,87,73,132
2021년11월_여_100세 이상,20,2,3,2,6,1,6
