카테고리,경기도 의정부시,경기도 의정부시 의정부1동,경기도 의정부시 의정부2동,경기도 의정부시 호원1동,경기도 의정부시 호원2동,경기도 의정부시 장암동,경기도 의정부시 신곡1동,경기도 의정부시 신곡2동,경기도 의정부시 송산1동,경기도 의정부시 송산2동,경기도 의정부시 송산3동,경기도 의정부시 자금동,경기도 의정부시 가능동,경기도 의정부시 흥선동,경기도 의정부시 녹양동
2020년11월_계_총인구수,"460,390","31,515","31,239","36,297","35,314","20,728","44,031","48,111","38,065","33,903","46,547","27,163","26,129","19,151","22,197"
2020년11월_계_연령구간인구수,"460,390","31,515","31,239","36,297","35,314","20,728","44,031","48,111","38,065","33,903","46,547","27,163","26,129","19,151","22,197"
2020년11월_계_0~9세,"34,369","1,121","1,812","2,322","2,500","1,539","2,822","3,521","3,023","2,890","6,723","1,915","1,517","1,097","1,567"
2020년11월_계_10~19세,"42,614","1,592","2,135","2,824","3,450","2,094","4,084","5,236","3,379","4,328","5,150","2,537","2,024","1,613","2,168"
2020년11월_계_20~29세,"64,366","6,266","5,207","4,735","4,574","2,425","6,184","6,945","5,349","4,575","5,194","3,753","3,598","2,512","3,049"
2020년11월_계_30~39세,"59,901","4,712","4,610","4,649","4,098","2,335","5,236","5,446","5,267","3,794","8,399","3,181","3,329","2,214","2,631"
2020년11월_계_40~49세,"74,755","4,372","4,849","5,845","5,662","3,468","6,863","7,769","6,069","6,406","8,987","4,254","3,826","2,805","3,580"
2020년11월_계_50~59세,"80,261","5,534","5,531","5,860","5,974","3,447","8,551","8,940","6,689","5,937","6,013","5,118","5,089","3,617","3,961"
2020년11월_계_60~69세,"56,826","4,409","3,955","5,163","4,535","2,826","5,836","5,865","4,734","2,985","3,623","3,463","3,696","2,891","2,845"
2020년11월_계_70~79세,"31,237","2,272","2,128","3,451","3,017","1,706","2,979","2,845","2,209","1,930","1,680","1,872","2,069","1,538","1,541"
2020년11월_계_80~89세,"13,969","1,035",889,"1,284","1,338",768,"1,300","1,332","1,179",915,690,923,859,722,735
2020년11월_계_90~99세,"1,865",141,112,145,155,108,165,202,155,138,85,127,108,107,117
2020년11월_계_100세 이상,227,61,11,19,11,12,11,10,12,5,3,20,14,35,3
2020년11월_남_총인구수,"226,656","16,078","15,480","17,703","17,124","9,880","21,676","23,335","18,889","16,781","22,641","13,284","13,051","9,656","11,078"
2020년11월_남_연령구간인구수,"226,656","16,078","15,480","17,703","17,124","9,880","21,676","23,335","18,889","16,781","22,641","13,284","13,051","9,656","11,078"
2020년11월_남_0~9세,"17,759",598,957,"1,212","1,295",759,"1,513","1,833","1,529","1,494","3,424",955,770,577,843
2020년11월_남_10~19세,"21,949",799,"1,145","1,429","1,736","1,070","2,078","2,732","1,769","2,207","2,578","1,329","1,057",849,"1,171"
2020년11월_남_20~29세,"32,720","2,955","2,540","2,319","2,326","1,217","3,217","3,525","2,770","2,426","2,598","1,984","1,873","1,358","1,612"
2020년11월_남_30~39세,"30,548","2,607","2,395","2,369","2,053","1,153","2,690","2,738","2,775","1,863","3,979","1,587","1,788","1,223","1,328"
2020년11월_남_40~49세,"37,469","2,445","2,495","3,050","2,754","1,717","3,340","3,718","3,005","3,079","4,516","2,085","1,966","1,486","1,813"
2020년11월_남_50~59세,"39,438","2,994","2,738","2,795","2,915","1,633","4,140","4,195","3,277","3,079","2,891","2,480","2,524","1,832","1,945"
2020년11월_남_60~69세,"27,405","2,244","1,888","2,364","2,124","1,336","2,872","2,839","2,333","1,438","1,679","1,697","1,829","1,377","1,385"
2020년11월_남_70~79세,"13,706",998,932,"1,569","1,313",718,"1,323","1,248","1,016",803,744,805,906,658,673
2020년11월_남_80~89세,"5,171",396,354,548,553,261,465,463,384,357,209,316,315,273,277
2020년11월_남_90~99세,442,30,32,44,53,15,35,41,28,33,22,36,22,20,31
2020년11월_남_100세 이상,49,12,4,4,2,1,3,3,3,2,1,10,1,3,0
2020년11월_여_총인구수,"233,734","15,437","15,759","18,594","18,190","10,848","22,355","24,776","19,176","17,122","23,906","13,879","13,078","9,495","11,119"
2020년11월_여_연령구간인구수,"233,734","15,437","15,759","18,594","18,190","10,848","22,355","24,776","19,176","17,122","23,906","13,879","13,078","9,495","11,119"
2020년11월_여_0~9세,"16,610",523,855,"1,110","1,205",780,"1,309","1,688","1,494","1,396","3,299",960,747,520,724
2020년11월_여_10~19세,"20,665",793,990,"1,395","1,714","1,024","2,006","2,504","1,610","2,121","2,572","1,208",967,764,997
2020년11월_여_20~29세,"31,646","3,311","2,667","2,416","2,248","1,208","2,967","3,420","2,579","2,149","2,596","1,769","1,725","1,154","1,437"
2020년11월_여_30~39세,"29,353","2,105","2,215","2,280","2,045","1,182","2,546","2,708","2,492","1,931","4,420","1,594","1,541",991,"1,303"
2020년11월_여_40~49세,"37,286","1,927","2,354","2,795","2,908","1,751","3,523","4,051","3,064","3,327","4,471","2,169","1,860","1,319","1,767"
2020년11월_여_50~59세,"40,823","2,540","2,793","3,065","3,059","1,814","4,411","4,745","3,412","2,858","3,122","2,638","2,565","1,785","2,016"
2020년11월_여_60~69세,"29,421","2,165","2,067","2,799","2,411","1,490","2,964","3,026","2,401","1,547","1,944","1,766","1,867","1,514","1,460"
2020년11월_여_70~79세,"17,531","1,274","1,196","1,882","1,704",988,"1,656","1,597","1,193","1,127",936,"1,067","1,163",880,868
2020년11월_여_80~89세,"8,798",639,535,736,785,507,835,869,795,558,481,607,544,449,458
2020년11월_여_90~99세,"1,423",111,80,101,102,93,130,161,127,105,63,91,86,87,86
2020년11월_여_100세 이상,178,49,7,15,9,11,8,7,9,3,2,10,13,32,3
