,경기도 의정부시,경기도 의정부시 의정부1동,경기도 의정부시 의정부2동,경기도 의정부시 호원1동,경기도 의정부시 호원2동,경기도 의정부시 장암동,경기도 의정부시 신곡1동,경기도 의정부시 신곡2동,경기도 의정부시 송산1동,경기도 의정부시 송산2동,경기도 의정부시 송산3동,경기도 의정부시 자금동,경기도 의정부시 가능동,경기도 의정부시 흥선동,경기도 의정부시 녹양동
2021년01월_계_총인구수,"462,499","31,760","31,351","36,257","35,225","20,673","43,895","48,203","40,281","33,740","46,600","27,096","26,096","19,174","22,148"
2021년01월_계_연령구간인구수,"462,499","31,760","31,351","36,257","35,225","20,673","43,895","48,203","40,281","33,740","46,600","27,096","26,096","19,174","22,148"
2021년01월_계_0~9세,"34,316","1,109","1,792","2,300","2,448","1,525","2,779","3,469","3,384","2,819","6,643","1,910","1,498","1,116","1,524"
2021년01월_계_10~19세,"42,445","1,607","2,110","2,787","3,414","2,082","4,008","5,204","3,567","4,271","5,160","2,488","2,022","1,578","2,147"
2021년01월_계_20~29세,"64,700","6,366","5,312","4,735","4,578","2,406","6,187","6,944","5,576","4,556","5,197","3,725","3,582","2,511","3,025"
2021년01월_계_30~39세,"60,085","4,779","4,598","4,583","4,027","2,300","5,178","5,472","5,702","3,803","8,292","3,184","3,287","2,250","2,630"
2021년01월_계_40~49세,"74,819","4,377","4,822","5,776","5,615","3,457","6,767","7,732","6,535","6,299","9,053","4,208","3,871","2,765","3,542"
2021년01월_계_50~59세,"80,522","5,526","5,565","5,900","5,961","3,434","8,593","8,946","6,936","5,959","6,042","5,080","4,999","3,607","3,974"
2021년01월_계_60~69세,"57,843","4,468","3,989","5,231","4,614","2,848","5,912","5,988","4,937","3,029","3,719","3,518","3,772","2,927","2,891"
2021년01월_계_70~79세,"31,433","2,273","2,147","3,476","3,027","1,719","2,972","2,872","2,266","1,932","1,697","1,894","2,054","1,547","1,557"
2021년01월_계_80~89세,"14,193","1,047",885,"1,306","1,366",780,"1,324","1,356","1,203",927,697,946,887,735,734
2021년01월_계_90~99세,"1,908",145,119,143,165,110,163,209,162,140,96,122,110,103,121
2021년01월_계_100세 이상,235,63,12,20,10,12,12,11,13,5,4,21,14,35,3
2021년01월_남_총인구수,"227,731","16,237","15,540","17,679","17,076","9,859","21,591","23,403","19,991","16,698","22,658","13,243","13,035","9,663","11,058"
2021년01월_남_연령구간인구수,"227,731","16,237","15,540","17,679","17,076","9,859","21,591","23,403","19,991","16,698","22,658","13,243","13,035","9,663","11,058"
2021년01월_남_0~9세,"17,730",594,948,"1,199","1,263",761,"1,484","1,816","1,714","1,458","3,386",949,755,585,818
2021년01월_남_10~19세,"21,883",820,"1,134","1,411","1,720","1,062","2,046","2,716","1,860","2,179","2,574","1,300","1,065",835,"1,161"
2021년01월_남_20~29세,"32,863","3,004","2,600","2,295","2,330","1,205","3,209","3,534","2,880","2,409","2,595","1,965","1,874","1,368","1,595"
2021년01월_남_30~39세,"30,692","2,643","2,385","2,354","2,033","1,140","2,670","2,761","2,978","1,863","3,945","1,589","1,769","1,220","1,342"
2021년01월_남_40~49세,"37,520","2,448","2,500","3,006","2,716","1,705","3,309","3,691","3,266","3,042","4,532","2,072","1,979","1,464","1,790"
2021년01월_남_50~59세,"39,568","3,000","2,750","2,830","2,918","1,624","4,142","4,204","3,382","3,082","2,907","2,451","2,475","1,838","1,965"
2021년01월_남_60~69세,"27,888","2,283","1,898","2,395","2,157","1,349","2,896","2,900","2,449","1,455","1,724","1,723","1,868","1,399","1,392"
2021년01월_남_70~79세,"13,823","1,004",941,"1,583","1,311",725,"1,325","1,257","1,036",817,758,824,897,656,689
2021년01월_남_80~89세,"5,261",396,346,558,568,270,475,477,394,362,211,322,331,275,276
2021년01월_남_90~99세,452,33,34,43,58,17,32,44,29,29,25,37,21,20,30
2021년01월_남_100세 이상,51,12,4,5,2,1,3,3,3,2,1,11,1,3,0
2021년01월_여_총인구수,"234,768","15,523","15,811","18,578","18,149","10,814","22,304","24,800","20,290","17,042","23,942","13,853","13,061","9,511","11,090"
2021년01월_여_연령구간인구수,"234,768","15,523","15,811","18,578","18,149","10,814","22,304","24,800","20,290","17,042","23,942","13,853","13,061","9,511","11,090"
2021년01월_여_0~9세,"16,586",515,844,"1,101","1,185",764,"1,295","1,653","1,670","1,361","3,257",961,743,531,706
2021년01월_여_10~19세,"20,562",787,976,"1,376","1,694","1,020","1,962","2,488","1,707","2,092","2,586","1,188",957,743,986
2021년01월_여_20~29세,"31,837","3,362","2,712","2,440","2,248","1,201","2,978","3,410","2,696","2,147","2,602","1,760","1,708","1,143","1,430"
2021년01월_여_30~39세,"29,393","2,136","2,213","2,229","1,994","1,160","2,508","2,711","2,724","1,940","4,347","1,595","1,518","1,030","1,288"
2021년01월_여_40~49세,"37,299","1,929","2,322","2,770","2,899","1,752","3,458","4,041","3,269","3,257","4,521","2,136","1,892","1,301","1,752"
2021년01월_여_50~59세,"40,954","2,526","2,815","3,070","3,043","1,810","4,451","4,742","3,554","2,877","3,135","2,629","2,524","1,769","2,009"
2021년01월_여_60~69세,"29,955","2,185","2,091","2,836","2,457","1,499","3,016","3,088","2,488","1,574","1,995","1,795","1,904","1,528","1,499"
2021년01월_여_70~79세,"17,610","1,269","1,206","1,893","1,716",994,"1,647","1,615","1,230","1,115",939,"1,070","1,157",891,868
2021년01월_여_80~89세,"8,932",651,539,748,798,510,849,879,809,565,486,624,556,460,458
2021년01월_여_90~99세,"1,456",112,85,100,107,93,131,165,133,111,71,85,89,83,91
2021년01월_여_100세 이상,184,51,8,15,8,11,9,8,10,3,3,10,13,32,3
