카테고리,경기도 의정부시,경기도 의정부시 의정부1동,경기도 의정부시 의정부2동,경기도 의정부시 호원1동,경기도 의정부시 호원2동,경기도 의정부시 장암동,경기도 의정부시 신곡1동,경기도 의정부시 신곡2동,경기도 의정부시 송산1동,경기도 의정부시 송산2동,경기도 의정부시 송산3동,경기도 의정부시 자금동,경기도 의정부시 가능동,경기도 의정부시 흥선동,경기도 의정부시 녹양동
2021년02월_계_총인구수,"462,619","32,029","31,353","36,362","35,143","20,626","43,760","48,176","40,412","33,730","46,615","27,108","26,115","19,091","22,099"
2021년02월_계_연령구간인구수,"462,619","32,029","31,353","36,362","35,143","20,626","43,760","48,176","40,412","33,730","46,615","27,108","26,115","19,091","22,099"
2021년02월_계_0~9세,"34,113","1,117","1,782","2,286","2,413","1,494","2,748","3,470","3,403","2,796","6,598","1,911","1,502","1,090","1,503"
2021년02월_계_10~19세,"42,272","1,618","2,114","2,800","3,396","2,074","3,968","5,147","3,585","4,242","5,158","2,470","2,015","1,557","2,128"
2021년02월_계_20~29세,"64,815","6,514","5,322","4,753","4,572","2,423","6,140","6,938","5,555","4,564","5,201","3,741","3,596","2,494","3,002"
2021년02월_계_30~39세,"59,849","4,807","4,592","4,570","4,001","2,277","5,147","5,479","5,709","3,779","8,201","3,170","3,267","2,230","2,620"
2021년02월_계_40~49세,"74,735","4,408","4,809","5,786","5,593","3,440","6,742","7,697","6,529","6,301","9,109","4,194","3,867","2,738","3,522"
2021년02월_계_50~59세,"80,621","5,500","5,540","5,940","5,981","3,434","8,574","8,957","6,989","5,989","6,077","5,080","4,985","3,596","3,979"
2021년02월_계_60~69세,"58,291","4,515","4,018","5,265","4,614","2,851","5,960","6,036","4,975","3,049","3,764","3,560","3,807","2,961","2,916"
2021년02월_계_70~79세,"31,406","2,283","2,140","3,479","3,013","1,712","2,971","2,874","2,272","1,925","1,699","1,889","2,050","1,541","1,558"
2021년02월_계_80~89세,"14,344","1,053",905,"1,318","1,383",794,"1,334","1,355","1,217",938,707,952,901,744,743
2021년02월_계_90~99세,"1,938",151,119,145,167,115,164,212,165,142,97,120,111,105,125
2021년02월_계_100세 이상,235,63,12,20,10,12,12,11,13,5,4,21,14,35,3
2021년02월_남_총인구수,"227,725","16,331","15,537","17,727","17,028","9,839","21,521","23,373","20,049","16,703","22,670","13,242","13,052","9,620","11,033"
2021년02월_남_연령구간인구수,"227,725","16,331","15,537","17,727","17,028","9,839","21,521","23,373","20,049","16,703","22,670","13,242","13,052","9,620","11,033"
2021년02월_남_0~9세,"17,611",589,938,"1,192","1,240",748,"1,466","1,817","1,725","1,445","3,374",945,762,567,803
2021년02월_남_10~19세,"21,806",821,"1,135","1,425","1,710","1,066","2,028","2,687","1,869","2,166","2,576","1,291","1,058",822,"1,152"
2021년02월_남_20~29세,"32,823","3,043","2,593","2,295","2,332","1,207","3,180","3,514","2,862","2,416","2,584","1,966","1,883","1,366","1,582"
2021년02월_남_30~39세,"30,582","2,664","2,395","2,345","2,025","1,129","2,659","2,761","2,978","1,866","3,885","1,584","1,753","1,205","1,333"
2021년02월_남_40~49세,"37,519","2,461","2,483","3,009","2,700","1,696","3,296","3,689","3,268","3,047","4,584","2,070","1,976","1,452","1,788"
2021년02월_남_50~59세,"39,607","2,985","2,756","2,856","2,922","1,624","4,136","4,203","3,405","3,082","2,922","2,452","2,472","1,827","1,965"
2021년02월_남_60~69세,"28,117","2,311","1,910","2,404","2,158","1,358","2,915","2,922","2,467","1,470","1,742","1,738","1,888","1,424","1,410"
2021년02월_남_70~79세,"13,821","1,010",936,"1,588","1,307",722,"1,331","1,255","1,041",813,762,821,893,657,685
2021년02월_남_80~89세,"5,330",400,354,565,574,270,475,477,402,366,215,327,344,276,285
2021년02월_남_90~99세,458,35,33,43,58,18,32,45,29,30,25,37,22,21,30
2021년02월_남_100세 이상,51,12,4,5,2,1,3,3,3,2,1,11,1,3,0
2021년02월_여_총인구수,"234,894","15,698","15,816","18,635","18,115","10,787","22,239","24,803","20,363","17,027","23,945","13,866","13,063","9,471","11,066"
2021년02월_여_연령구간인구수,"234,894","15,698","15,816","18,635","18,115","10,787","22,239","24,803","20,363","17,027","23,945","13,866","13,063","9,471","11,066"
2021년02월_여_0~9세,"16,502",528,844,"1,094","1,173",746,"1,282","1,653","1,678","1,351","3,224",966,740,523,700
2021년02월_여_10~19세,"20,466",797,979,"1,375","1,686","1,008","1,940","2,460","1,716","2,076","2,582","1,179",957,735,976
2021년02월_여_20~29세,"31,992","3,471","2,729","2,458","2,240","1,216","2,960","3,424","2,693","2,148","2,617","1,775","1,713","1,128","1,420"
2021년02월_여_30~39세,"29,267","2,143","2,197","2,225","1,976","1,148","2,488","2,718","2,731","1,913","4,316","1,586","1,514","1,025","1,287"
2021년02월_여_40~49세,"37,216","1,947","2,326","2,777","2,893","1,744","3,446","4,008","3,261","3,254","4,525","2,124","1,891","1,286","1,734"
2021년02월_여_50~59세,"41,014","2,515","2,784","3,084","3,059","1,810","4,438","4,754","3,584","2,907","3,155","2,628","2,513","1,769","2,014"
2021년02월_여_60~69세,"30,174","2,204","2,108","2,861","2,456","1,493","3,045","3,114","2,508","1,579","2,022","1,822","1,919","1,537","1,506"
2021년02월_여_70~79세,"17,585","1,273","1,204","1,891","1,706",990,"1,640","1,619","1,231","1,112",937,"1,068","1,157",884,873
2021년02월_여_80~89세,"9,014",653,551,753,809,524,859,878,815,572,492,625,557,468,458
2021년02월_여_90~99세,"1,480",116,86,102,109,97,132,167,136,112,72,83,89,84,95
2021년02월_여_100세 이상,184,51,8,15,8,11,9,8,10,3,3,10,13,32,3
