카테고리,경기도 이천시,경기도 이천시 장호원읍,경기도 이천시 부발읍,경기도 이천시 신둔면,경기도 이천시 백사면,경기도 이천시 호법면,경기도 이천시 마장면,경기도 이천시 대월면,경기도 이천시 모가면,경기도 이천시 설성면,경기도 이천시 율면,경기도 이천시 창전동,경기도 이천시 증포동,경기도 이천시 중리동,경기도 이천시 관고동
2021년01월_계_총인구수,"218,651","14,717","36,092","13,730","11,321","5,831","14,367","14,494","4,442","4,743","2,680","17,264","53,783","14,879","10,308"
2021년01월_계_연령구간인구수,"218,651","14,717","36,092","13,730","11,321","5,831","14,367","14,494","4,442","4,743","2,680","17,264","53,783","14,879","10,308"
2021년01월_계_0~9세,"18,689",977,"3,285","1,072",795,306,"1,523","1,214",146,174,62,971,"6,672",923,569
2021년01월_계_10~19세,"22,042","1,372","4,471",999,872,374,"1,049","1,204",271,222,122,"1,552","7,821",922,791
2021년01월_계_20~29세,"30,257","1,543","5,073","1,629","1,318",665,"2,167","2,587",374,398,178,"2,864","6,847","3,102","1,512"
2021년01월_계_30~39세,"30,540","1,521","5,088","1,845","1,272",652,"2,595","2,494",360,378,155,"2,200","8,206","2,413","1,361"
2021년01월_계_40~49세,"34,713","2,007","6,709","1,985","1,621",716,"2,014","2,121",504,501,237,"2,578","10,366","1,878","1,476"
2021년01월_계_50~59세,"35,314","2,512","5,561","2,563","2,189","1,114","2,036","1,961",856,882,445,"2,952","7,971","2,300","1,972"
2021년01월_계_60~69세,"26,185","2,441","3,406","2,087","1,731","1,058","1,612","1,557",960,"1,029",686,"2,451","3,678","1,915","1,574"
2021년01월_계_70~79세,"13,114","1,424","1,608",998,918,581,866,880,571,668,399,"1,127","1,437",931,706
2021년01월_계_80~89세,"6,770",810,790,463,513,317,429,402,356,421,343,507,687,429,303
2021년01월_계_90~99세,963,99,97,82,88,47,70,70,42,64,49,58,96,60,41
2021년01월_계_100세 이상,64,11,4,7,4,1,6,4,2,6,4,4,2,6,3
2021년01월_남_총인구수,"113,095","7,485","18,937","7,195","5,769","3,091","7,800","7,373","2,383","2,506","1,378","8,582","26,901","8,436","5,259"
2021년01월_남_연령구간인구수,"113,095","7,485","18,937","7,195","5,769","3,091","7,800","7,373","2,383","2,506","1,378","8,582","26,901","8,436","5,259"
2021년01월_남_0~9세,"9,653",494,"1,669",554,408,157,787,640,84,80,36,500,"3,463",478,303
2021년01월_남_10~19세,"11,459",735,"2,321",526,466,202,537,600,155,118,64,799,"4,079",488,369
2021년01월_남_20~29세,"17,137",921,"2,974",892,726,359,"1,318","1,270",237,240,103,"1,529","3,635","2,144",789
2021년01월_남_30~39세,"16,372",795,"2,698","1,002",648,391,"1,477","1,319",227,235,98,"1,230","3,952","1,512",788
2021년01월_남_40~49세,"17,948","1,037","3,450","1,089",853,421,"1,153","1,163",289,308,154,"1,263","4,980","1,025",763
2021년01월_남_50~59세,"18,372","1,305","2,999","1,341","1,109",619,"1,095","1,030",467,489,236,"1,403","4,082","1,194","1,003"
2021년01월_남_60~69세,"13,369","1,217","1,769","1,112",899,554,849,790,504,539,355,"1,143","1,865",959,814
2021년01월_남_70~79세,"6,035",657,747,472,424,260,408,398,274,324,192,520,606,447,306
2021년01월_남_80~89세,"2,493",295,288,188,211,117,154,144,135,159,127,176,218,171,110
2021년01월_남_90~99세,237,25,22,16,24,11,20,17,11,12,12,19,20,15,13
2021년01월_남_100세 이상,20,4,0,3,1,0,2,2,0,2,1,0,1,3,1
2021년01월_여_총인구수,"105,556","7,232","17,155","6,535","5,552","2,740","6,567","7,121","2,059","2,237","1,302","8,682","26,882","6,443","5,049"
2021년01월_여_연령구간인구수,"105,556","7,232","17,155","6,535","5,552","2,740","6,567","7,121","2,059","2,237","1,302","8,682","26,882","6,443","5,049"
2021년01월_여_0~9세,"9,036",483,"1,616",518,387,149,736,574,62,94,26,471,"3,209",445,266
2021년01월_여_10~19세,"10,583",637,"2,150",473,406,172,512,604,116,104,58,753,"3,742",434,422
2021년01월_여_20~29세,"13,120",622,"2,099",737,592,306,849,"1,317",137,158,75,"1,335","3,212",958,723
2021년01월_여_30~39세,"14,168",726,"2,390",843,624,261,"1,118","1,175",133,143,57,970,"4,254",901,573
2021년01월_여_40~49세,"16,765",970,"3,259",896,768,295,861,958,215,193,83,"1,315","5,386",853,713
2021년01월_여_50~59세,"16,942","1,207","2,562","1,222","1,080",495,941,931,389,393,209,"1,549","3,889","1,106",969
2021년01월_여_60~69세,"12,816","1,224","1,637",975,832,504,763,767,456,490,331,"1,308","1,813",956,760
2021년01월_여_70~79세,"7,079",767,861,526,494,321,458,482,297,344,207,607,831,484,400
2021년01월_여_80~89세,"4,277",515,502,275,302,200,275,258,221,262,216,331,469,258,193
2021년01월_여_90~99세,726,74,75,66,64,36,50,53,31,52,37,39,76,45,28
2021년01월_여_100세 이상,44,7,4,4,3,1,4,2,2,4,3,4,1,3,2
