카테고리,경기도 파주시,경기도 파주시 문산읍,경기도 파주시 파주읍,경기도 파주시 법원읍,경기도 파주시 조리읍,경기도 파주시 월롱면,경기도 파주시 탄현면,경기도 파주시 광탄면,경기도 파주시 파평면,경기도 파주시 적성면,경기도 파주시 군내면,경기도 파주시 장단출장소,경기도 파주시 장단면,경기도 파주시 진동면,경기도 파주시 진서면,경기도 파주시 금촌1동,경기도 파주시 금촌2동,경기도 파주시 금촌3동,경기도 파주시 교하동,경기도 파주시 운정1동,경기도 파주시 운정2동,경기도 파주시 운정3동
2020년09월_계_총인구수,"461,314","48,485","13,201","10,853","30,114","9,079","13,344","11,510","3,920","7,607",0,560,0,160,0,"22,415","33,149","27,240","41,440","45,473","62,040","80,724"
2020년09월_계_연령구간인구수,"461,314","48,485","13,201","10,853","30,114","9,079","13,344","11,510","3,920","7,607",0,560,0,160,0,"22,415","33,149","27,240","41,440","45,473","62,040","80,724"
2020년09월_계_0~9세,"44,596","5,017",581,352,"1,807",196,697,503,96,597,0,21,0,5,0,"1,184","3,405","2,338","3,911","5,103","8,914","9,869"
2020년09월_계_10~19세,"48,620","4,754",789,759,"2,768",290,"1,007",657,193,531,0,36,0,12,0,"1,535","4,252","2,776","5,547","5,821","7,474","9,419"
2020년09월_계_20~29세,"56,285","5,806","1,467","1,317","3,785","2,089","1,463","1,275",421,936,0,55,0,4,0,"3,452","4,271","3,801","4,579","5,358","6,680","9,526"
2020년09월_계_30~39세,"66,926","7,741","1,332",891,"3,061","2,157","1,486","1,052",263,883,0,46,0,10,0,"2,833","4,535","3,663","5,174","6,628","11,803","13,368"
2020년09월_계_40~49세,"80,083","7,523","1,710","1,269","4,495",936,"2,156","1,355",358,850,0,76,0,15,0,"3,361","6,125","4,346","8,325","8,887","12,199","16,097"
2020년09월_계_50~59세,"71,926","6,938","2,542","2,223","5,951","1,307","2,589","2,364",796,"1,251",0,100,0,28,0,"4,233","5,144","4,626","6,674","6,719","7,301","11,140"
2020년09월_계_60~69세,"48,160","5,131","2,273","1,996","4,402","1,154","1,989","2,189",778,"1,202",0,93,0,35,0,"3,052","2,753","3,039","3,886","3,864","4,111","6,213"
2020년09월_계_70~79세,"28,621","3,510","1,490","1,279","2,467",564,"1,177","1,264",582,905,0,94,0,31,0,"1,822","1,729","1,714","2,141","2,043","2,412","3,397"
2020년09월_계_80~89세,"13,875","1,791",845,659,"1,198",333,661,694,364,376,0,36,0,18,0,809,810,829,"1,026",912,"1,004","1,510"
2020년09월_계_90~99세,"2,025",246,130,95,165,50,110,142,58,74,0,3,0,2,0,118,114,104,166,128,141,179
2020년09월_계_100세 이상,197,28,42,13,15,3,9,15,11,2,0,0,0,0,0,16,11,4,11,10,1,6
2020년09월_남_총인구수,"233,949","24,711","7,019","5,755","15,276","5,751","7,225","6,267","2,052","4,079",0,283,0,87,0,"11,855","16,249","13,988","21,041","22,300","30,320","39,691"
2020년09월_남_연령구간인구수,"233,949","24,711","7,019","5,755","15,276","5,751","7,225","6,267","2,052","4,079",0,283,0,87,0,"11,855","16,249","13,988","21,041","22,300","30,320","39,691"
2020년09월_남_0~9세,"22,772","2,532",312,189,906,92,365,254,54,305,0,10,0,1,0,609,"1,762","1,176","1,980","2,602","4,542","5,081"
2020년09월_남_10~19세,"25,030","2,445",413,418,"1,378",161,524,362,99,303,0,13,0,4,0,812,"2,202","1,452","2,911","2,924","3,749","4,860"
2020년09월_남_20~29세,"29,720","3,142",886,797,"2,061","1,242",843,787,280,581,0,30,0,4,0,"1,943","2,146","2,079","2,504","2,604","3,125","4,666"
2020년09월_남_30~39세,"35,470","4,293",769,513,"1,661","1,762",882,628,150,497,0,22,0,6,0,"1,669","2,288","1,976","2,598","3,266","5,932","6,558"
2020년09월_남_40~49세,"41,153","3,988","1,008",729,"2,309",665,"1,220",797,210,490,0,53,0,5,0,"1,798","2,943","2,272","4,160","4,372","6,108","8,026"
2020년09월_남_50~59세,"37,651","3,606","1,450","1,214","3,106",794,"1,494","1,324",441,674,0,51,0,19,0,"2,389","2,623","2,387","3,575","3,370","3,600","5,534"
2020년09월_남_60~69세,"23,923","2,462","1,189","1,052","2,241",633,"1,065","1,225",397,645,0,50,0,18,0,"1,511","1,262","1,516","1,976","1,889","1,884","2,908"
2020년09월_남_70~79세,"12,580","1,501",644,590,"1,113",284,553,632,266,423,0,39,0,18,0,816,706,772,937,894,962,"1,430"
2020년09월_남_80~89세,"5,073",650,302,219,454,106,254,223,138,145,0,13,0,10,0,274,287,326,366,346,379,581
2020년09월_남_90~99세,517,79,35,30,42,12,24,31,11,16,0,2,0,2,0,27,28,30,33,31,38,46
2020년09월_남_100세 이상,60,13,11,4,5,0,1,4,6,0,0,0,0,0,0,7,2,2,1,2,1,1
2020년09월_여_총인구수,"227,365","23,774","6,182","5,098","14,838","3,328","6,119","5,243","1,868","3,528",0,277,0,73,0,"10,560","16,900","13,252","20,399","23,173","31,720","41,033"
2020년09월_여_연령구간인구수,"227,365","23,774","6,182","5,098","14,838","3,328","6,119","5,243","1,868","3,528",0,277,0,73,0,"10,560","16,900","13,252","20,399","23,173","31,720","41,033"
2020년09월_여_0~9세,"21,824","2,485",269,163,901,104,332,249,42,292,0,11,0,4,0,575,"1,643","1,162","1,931","2,501","4,372","4,788"
2020년09월_여_10~19세,"23,590","2,309",376,341,"1,390",129,483,295,94,228,0,23,0,8,0,723,"2,050","1,324","2,636","2,897","3,725","4,559"
2020년09월_여_20~29세,"26,565","2,664",581,520,"1,724",847,620,488,141,355,0,25,0,0,0,"1,509","2,125","1,722","2,075","2,754","3,555","4,860"
2020년09월_여_30~39세,"31,456","3,448",563,378,"1,400",395,604,424,113,386,0,24,0,4,0,"1,164","2,247","1,687","2,576","3,362","5,871","6,810"
2020년09월_여_40~49세,"38,930","3,535",702,540,"2,186",271,936,558,148,360,0,23,0,10,0,"1,563","3,182","2,074","4,165","4,515","6,091","8,071"
2020년09월_여_50~59세,"34,275","3,332","1,092","1,009","2,845",513,"1,095","1,040",355,577,0,49,0,9,0,"1,844","2,521","2,239","3,099","3,349","3,701","5,606"
2020년09월_여_60~69세,"24,237","2,669","1,084",944,"2,161",521,924,964,381,557,0,43,0,17,0,"1,541","1,491","1,523","1,910","1,975","2,227","3,305"
2020년09월_여_70~79세,"16,041","2,009",846,689,"1,354",280,624,632,316,482,0,55,0,13,0,"1,006","1,023",942,"1,204","1,149","1,450","1,967"
2020년09월_여_80~89세,"8,802","1,141",543,440,744,227,407,471,226,231,0,23,0,8,0,535,523,503,660,566,625,929
2020년09월_여_90~99세,"1,508",167,95,65,123,38,86,111,47,58,0,1,0,0,0,91,86,74,133,97,103,133
2020년09월_여_100세 이상,137,15,31,9,10,3,8,11,5,2,0,0,0,0,0,9,9,2,10,8,0,5
