카테고리,경기도 포천시,경기도 포천시 소흘읍,경기도 포천시 군내면,경기도 포천시 내촌면,경기도 포천시 가산면,경기도 포천시 신북면,경기도 포천시 창수면,경기도 포천시 영중면,경기도 포천시 일동면,경기도 포천시 이동면,경기도 포천시 영북면,경기도 포천시 관인면,경기도 포천시 화현면,경기도 포천시 포천동,경기도 포천시 선단동
2021년01월_계_총인구수,"147,393","43,802","8,674","4,616","7,725","12,494","2,156","4,860","9,476","6,229","8,472","2,793","2,751","18,868","14,477"
2021년01월_계_연령구간인구수,"147,393","43,802","8,674","4,616","7,725","12,494","2,156","4,860","9,476","6,229","8,472","2,793","2,751","18,868","14,477"
2021년01월_계_0~9세,"8,509","2,822",609,111,216,649,43,188,499,511,639,54,197,"1,251",720
2021년01월_계_10~19세,"12,141","4,846",574,195,426,958,80,251,699,356,444,146,147,"1,847","1,172"
2021년01월_계_20~29세,"17,895","5,821",943,443,786,"1,490",186,417,965,849,974,230,292,"2,555","1,944"
2021년01월_계_30~39세,"14,559","4,272","1,112",333,621,"1,191",123,296,854,880,"1,010",127,354,"1,976","1,410"
2021년01월_계_40~49세,"20,425","7,187","1,148",551,888,"1,658",203,512,"1,215",636,884,253,272,"2,769","2,249"
2021년01월_계_50~59세,"29,147","8,942","1,630","1,113","1,899","2,508",378,"1,019","1,592",889,"1,295",542,451,"3,631","3,258"
2021년01월_계_60~69세,"24,646","5,872","1,494","1,046","1,658","2,319",567,"1,097","1,837","1,033","1,506",667,544,"2,755","2,251"
2021년01월_계_70~79세,"12,488","2,568",719,507,724,"1,075",364,669,"1,097",682,"1,016",488,298,"1,353",928
2021년01월_계_80~89세,"6,520","1,259",386,283,431,553,192,360,599,354,575,255,171,623,479
2021년01월_계_90~99세,984,201,58,32,74,86,20,47,110,36,112,28,24,97,59
2021년01월_계_100세 이상,79,12,1,2,2,7,0,4,9,3,17,3,1,11,7
2021년01월_남_총인구수,"77,964","22,338","4,675","2,641","4,527","6,871","1,212","2,639","4,902","3,380","4,516","1,459","1,449","9,553","7,802"
2021년01월_남_연령구간인구수,"77,964","22,338","4,675","2,641","4,527","6,871","1,212","2,639","4,902","3,380","4,516","1,459","1,449","9,553","7,802"
2021년01월_남_0~9세,"4,398","1,439",315,66,109,354,27,95,256,261,335,25,97,630,389
2021년01월_남_10~19세,"6,361","2,508",294,111,222,529,50,131,382,172,221,69,66,989,617
2021년01월_남_20~29세,"10,358","3,139",550,271,464,909,126,250,586,580,667,148,165,"1,393","1,110"
2021년01월_남_30~39세,"8,094","2,186",618,206,396,680,83,176,500,522,607,85,206,"1,057",772
2021년01월_남_40~49세,"11,001","3,571",655,355,575,907,119,321,672,372,509,153,154,"1,396","1,242"
2021년01월_남_50~59세,"15,981","4,726",882,651,"1,194","1,454",229,597,831,480,714,291,238,"1,858","1,836"
2021년01월_남_60~69세,"13,345","3,096",850,615,"1,004","1,298",316,616,936,539,781,348,310,"1,411","1,225"
2021년01월_남_70~79세,"5,782","1,185",356,242,376,508,172,297,500,323,426,232,153,576,436
2021년01월_남_80~89세,"2,381",443,143,119,173,208,83,137,206,120,222,98,54,219,156
2021년01월_남_90~99세,233,41,11,4,13,23,7,17,28,11,28,7,6,20,17
2021년01월_남_100세 이상,30,4,1,1,1,1,0,2,5,0,6,3,0,4,2
2021년01월_여_총인구수,"69,429","21,464","3,999","1,975","3,198","5,623",944,"2,221","4,574","2,849","3,956","1,334","1,302","9,315","6,675"
2021년01월_여_연령구간인구수,"69,429","21,464","3,999","1,975","3,198","5,623",944,"2,221","4,574","2,849","3,956","1,334","1,302","9,315","6,675"
2021년01월_여_0~9세,"4,111","1,383",294,45,107,295,16,93,243,250,304,29,100,621,331
2021년01월_여_10~19세,"5,780","2,338",280,84,204,429,30,120,317,184,223,77,81,858,555
2021년01월_여_20~29세,"7,537","2,682",393,172,322,581,60,167,379,269,307,82,127,"1,162",834
2021년01월_여_30~39세,"6,465","2,086",494,127,225,511,40,120,354,358,403,42,148,919,638
2021년01월_여_40~49세,"9,424","3,616",493,196,313,751,84,191,543,264,375,100,118,"1,373","1,007"
2021년01월_여_50~59세,"13,166","4,216",748,462,705,"1,054",149,422,761,409,581,251,213,"1,773","1,422"
2021년01월_여_60~69세,"11,301","2,776",644,431,654,"1,021",251,481,901,494,725,319,234,"1,344","1,026"
2021년01월_여_70~79세,"6,706","1,383",363,265,348,567,192,372,597,359,590,256,145,777,492
2021년01월_여_80~89세,"4,139",816,243,164,258,345,109,223,393,234,353,157,117,404,323
2021년01월_여_90~99세,751,160,47,28,61,63,13,30,82,25,84,21,18,77,42
2021년01월_여_100세 이상,49,8,0,1,1,6,0,2,4,3,11,0,1,7,5
