,경기도 하남시,경기도 하남시 천현동,경기도 하남시 신장1동,경기도 하남시 신장2동,경기도 하남시 덕풍1동,경기도 하남시 덕풍2동,경기도 하남시 덕풍3동,경기도 하남시 풍산동,경기도 하남시 감북동,경기도 하남시 감일동,경기도 하남시 위례동,경기도 하남시 춘궁동,경기도 하남시 초이동,경기도 하남시 미사1동,경기도 하남시 미사2동
2021년01월_계_총인구수,"295,122","7,813","6,737","45,461","16,280","19,459","25,745","30,305","2,856","15,295","19,227","4,055","3,705","49,927","48,257"
2021년01월_계_연령구간인구수,"295,122","7,813","6,737","45,461","16,280","19,459","25,745","30,305","2,856","15,295","19,227","4,055","3,705","49,927","48,257"
2021년01월_계_0~9세,"30,164",352,308,"3,798",995,"1,106","2,149","4,566",84,"2,165","2,557",127,172,"4,985","6,800"
2021년01월_계_10~19세,"25,378",428,413,"3,901","1,124","1,199","2,558","2,940",151,"1,283","1,942",200,170,"3,881","5,188"
2021년01월_계_20~29세,"36,632",988,"1,004","5,185","2,189","2,552","3,099","3,315",348,"1,776","2,131",494,483,"8,981","4,087"
2021년01월_계_30~39세,"50,171","1,023","1,037","6,656","2,326","2,961","3,395","5,562",381,"3,121","3,243",441,486,"11,674","7,865"
2021년01월_계_40~49세,"51,912","1,047",939,"7,254","2,259","2,593","4,435","5,971",385,"2,560","3,786",548,468,"9,162","10,505"
2021년01월_계_50~59세,"42,254","1,498","1,256","7,113","2,900","3,475","4,157","3,861",585,"1,958","2,841",807,747,"5,222","5,834"
2021년01월_계_60~69세,"35,407","1,540","1,022","6,752","2,725","3,386","3,462","2,570",523,"1,493","1,911",789,731,"3,688","4,815"
2021년01월_계_70~79세,"16,319",618,520,"3,446","1,254","1,519","1,734",988,264,646,608,401,296,"1,708","2,317"
2021년01월_계_80~89세,"5,753",261,200,"1,155",437,557,642,396,109,247,174,209,136,519,711
2021년01월_계_90~99세,"1,009",50,32,185,58,102,105,105,20,39,32,32,14,105,130
2021년01월_계_100세 이상,123,8,6,16,13,9,9,31,6,7,2,7,2,2,5
2021년01월_남_총인구수,"148,229","4,308","3,481","22,503","8,230","9,828","12,819","15,060","1,578","7,715","9,376","2,275","2,117","25,170","23,769"
2021년01월_남_연령구간인구수,"148,229","4,308","3,481","22,503","8,230","9,828","12,819","15,060","1,578","7,715","9,376","2,275","2,117","25,170","23,769"
2021년01월_남_0~9세,"15,437",180,154,"1,923",508,578,"1,142","2,281",46,"1,132","1,266",65,88,"2,593","3,481"
2021년01월_남_10~19세,"12,933",236,218,"2,035",604,610,"1,306","1,501",77,652,944,113,89,"1,921","2,627"
2021년01월_남_20~29세,"18,633",568,547,"2,690","1,194","1,411","1,663","1,677",202,893,"1,044",276,278,"4,131","2,059"
2021년01월_남_30~39세,"25,437",604,603,"3,409","1,242","1,624","1,739","2,606",239,"1,540","1,456",271,302,"6,216","3,586"
2021년01월_남_40~49세,"27,217",639,517,"3,676","1,175","1,351","2,209","3,137",228,"1,338","1,923",336,296,"4,898","5,494"
2021년01월_남_50~59세,"21,024",849,649,"3,382","1,371","1,710","2,021","1,901",317,977,"1,366",491,437,"2,674","2,879"
2021년01월_남_60~69세,"17,114",815,487,"3,191","1,314","1,626","1,639","1,258",286,759,980,433,415,"1,663","2,248"
2021년01월_남_70~79세,"8,128",302,228,"1,696",627,723,830,531,132,338,334,194,154,882,"1,157"
2021년01월_남_80~89세,"2,048",100,72,449,180,178,243,136,40,71,53,91,54,172,209
2021년01월_남_90~99세,224,13,4,46,12,14,26,20,9,14,10,3,4,20,29
2021년01월_남_100세 이상,34,2,2,6,3,3,1,12,2,1,0,2,0,0,0
2021년01월_여_총인구수,"146,893","3,505","3,256","22,958","8,050","9,631","12,926","15,245","1,278","7,580","9,851","1,780","1,588","24,757","24,488"
2021년01월_여_연령구간인구수,"146,893","3,505","3,256","22,958","8,050","9,631","12,926","15,245","1,278","7,580","9,851","1,780","1,588","24,757","24,488"
2021년01월_여_0~9세,"14,727",172,154,"1,875",487,528,"1,007","2,285",38,"1,033","1,291",62,84,"2,392","3,319"
2021년01월_여_10~19세,"12,445",192,195,"1,866",520,589,"1,252","1,439",74,631,998,87,81,"1,960","2,561"
2021년01월_여_20~29세,"17,999",420,457,"2,495",995,"1,141","1,436","1,638",146,883,"1,087",218,205,"4,850","2,028"
2021년01월_여_30~39세,"24,734",419,434,"3,247","1,084","1,337","1,656","2,956",142,"1,581","1,787",170,184,"5,458","4,279"
2021년01월_여_40~49세,"24,695",408,422,"3,578","1,084","1,242","2,226","2,834",157,"1,222","1,863",212,172,"4,264","5,011"
2021년01월_여_50~59세,"21,230",649,607,"3,731","1,529","1,765","2,136","1,960",268,981,"1,475",316,310,"2,548","2,955"
2021년01월_여_60~69세,"18,293",725,535,"3,561","1,411","1,760","1,823","1,312",237,734,931,356,316,"2,025","2,567"
2021년01월_여_70~79세,"8,191",316,292,"1,750",627,796,904,457,132,308,274,207,142,826,"1,160"
2021년01월_여_80~89세,"3,705",161,128,706,257,379,399,260,69,176,121,118,82,347,502
2021년01월_여_90~99세,785,37,28,139,46,88,79,85,11,25,22,29,10,85,101
2021년01월_여_100세 이상,89,6,4,10,10,6,8,19,4,6,2,5,2,2,5
