카테고리,경기도 화성시,경기도 화성시 봉담읍,경기도 화성시 우정읍,경기도 화성시 향남읍,경기도 화성시 남양읍,경기도 화성시 매송면,경기도 화성시 비봉면,경기도 화성시 마도면,경기도 화성시 송산면,경기도 화성시 서신면,경기도 화성시 팔탄면,경기도 화성시 장안면,경기도 화성시 양감면,경기도 화성시 정남면,경기도 화성시 새솔동,경기도 화성시 진안동,경기도 화성시 병점1동,경기도 화성시 병점2동,경기도 화성시 반월동,경기도 화성시 기배동,경기도 화성시 화산동,경기도 화성시 동탄1동,경기도 화성시 동탄2동,경기도 화성시 동탄3동,경기도 화성시 동탄4동,경기도 화성시 동탄5동,경기도 화성시 동탄6동,경기도 화성시 동탄7동,경기도 화성시 동탄8동
2020년08월_계_총인구수,"842,864","78,997","17,489","85,183","40,339","7,262","5,862","6,936","10,887","7,142","9,906","10,271","4,016","11,412","21,005","43,825","28,240","24,519","32,597","13,805","23,311","51,109","36,000","42,180","53,747","39,938","30,916","80,402","25,568"
2020년08월_계_연령구간인구수,"842,864","78,997","17,489","85,183","40,339","7,262","5,862","6,936","10,887","7,142","9,906","10,271","4,016","11,412","21,005","43,825","28,240","24,519","32,597","13,805","23,311","51,109","36,000","42,180","53,747","39,938","30,916","80,402","25,568"
2020년08월_계_0~9세,"105,676","8,278",982,"10,861","4,084",314,235,270,473,185,312,406,107,453,"3,918","4,585","2,734","2,642","4,507","1,411","1,858","6,566","4,524","6,063","9,672","6,292","4,554","14,804","4,586"
2020년08월_계_10~19세,"95,459","9,727","1,466","9,916","3,410",487,337,423,800,310,473,618,167,815,"2,025","3,985","3,152","4,013","3,990","1,847","2,287","6,907","6,549","5,372","8,694","4,033","2,858","8,590","2,208"
2020년08월_계_20~29세,"101,796","9,734","1,814","10,154","5,462",853,589,736,985,563,994,996,393,"1,327","2,400","7,048","4,725","2,900","4,149","1,696","3,126","7,622","3,703","5,980","4,244","4,361","4,448","7,971","2,823"
2020년08월_계_30~39세,"150,901","11,041","1,644","16,010","6,957",673,519,749,876,538,"1,014",876,381,"1,154","4,791","9,040","4,532","3,211","6,012","1,634","3,042","9,761","4,454","8,511","9,793","9,776","7,783","19,161","6,968"
2020년08월_계_40~49세,"161,212","15,378","2,806","16,958","6,572",988,691,"1,011","1,432",837,"1,472","1,357",473,"1,683","3,899","7,766","5,120","5,434","5,985","2,742","3,973","10,426","8,744","8,501","13,167","7,764","5,657","15,917","4,459"
2020년08월_계_50~59세,"113,082","12,060","3,502","10,681","6,380","1,532","1,268","1,428","2,187","1,617","2,354","2,200",936,"2,435","2,556","5,844","4,005","3,212","4,522","2,210","4,179","6,203","4,641","4,121","5,186","3,962","3,219","8,193","2,449"
2020년08월_계_60~69세,"66,942","7,519","2,691","6,123","4,336","1,279","1,107","1,214","2,002","1,632","1,852","2,000",827,"1,886","1,044","3,347","2,316","1,674","2,325","1,327","2,911","2,286","1,949","2,006","1,949","2,349","1,549","3,999","1,443"
2020년08월_계_70~79세,"31,572","3,619","1,630","2,920","2,044",733,651,717,"1,262",850,842,"1,102",434,"1,019",241,"1,515","1,163",974,748,668,"1,311",934,"1,030","1,168",734,"1,009",582,"1,242",430
2020년08월_계_80~89세,"14,120","1,405",835,"1,384",942,355,390,338,731,525,512,650,266,556,113,616,432,411,301,238,551,359,360,399,267,340,226,447,171
2020년08월_계_90~99세,"1,994",224,114,166,148,45,72,46,130,76,75,58,31,76,17,77,60,48,56,31,65,43,43,58,41,50,39,74,31
2020년08월_계_100세 이상,110,12,5,10,4,3,3,4,9,9,6,8,1,8,1,2,1,0,2,1,8,2,3,1,0,2,1,4,0
2020년08월_남_총인구수,"437,083","40,086","9,503","45,499","22,017","3,833","3,309","4,133","5,856","3,959","6,006","5,882","2,444","6,593","10,571","23,491","14,424","11,937","16,504","7,073","12,299","26,207","17,755","21,634","26,775","19,964","16,016","40,389","12,924"
2020년08월_남_연령구간인구수,"437,083","40,086","9,503","45,499","22,017","3,833","3,309","4,133","5,856","3,959","6,006","5,882","2,444","6,593","10,571","23,491","14,424","11,937","16,504","7,073","12,299","26,207","17,755","21,634","26,775","19,964","16,016","40,389","12,924"
2020년08월_남_0~9세,"54,122","4,123",513,"5,659","2,110",163,133,155,247,94,172,229,59,238,"1,931","2,357","1,426","1,336","2,273",745,973,"3,318","2,322","3,094","4,970","3,243","2,339","7,573","2,327"
2020년08월_남_10~19세,"48,771","4,868",752,"5,053","1,773",261,177,227,440,166,250,340,91,433,"1,027","2,029","1,618","2,010","2,066",955,"1,210","3,537","3,318","2,804","4,363","2,044","1,501","4,357","1,101"
2020년08월_남_20~29세,"54,849","5,171","1,108","5,604","3,229",482,358,478,571,363,667,606,267,822,"1,225","3,999","2,560","1,462","2,212",925,"1,797","4,074","1,875","3,253","2,105","2,076","2,208","3,955","1,397"
2020년08월_남_30~39세,"78,488","5,565",980,"8,964","4,089",378,321,519,523,326,699,562,258,766,"2,391","5,127","2,394","1,545","2,981",832,"1,669","4,898","2,015","4,410","4,292","4,895","4,105","9,413","3,571"
2020년08월_남_40~49세,"85,983","7,986","1,668","9,421","3,723",556,440,682,824,517,"1,000",888,340,"1,069","2,026","4,327","2,613","2,656","3,100","1,396","2,193","5,220","4,260","4,369","6,839","4,043","3,043","8,399","2,385"
2020년08월_남_50~59세,"60,662","6,381","2,006","5,891","3,438",860,739,877,"1,273",942,"1,522","1,341",600,"1,483","1,256","3,055","2,022","1,668","2,197","1,161","2,180","3,427","2,468","2,157","2,835","2,005","1,701","4,007","1,170"
2020년08월_남_60~69세,"34,056","3,775","1,381","3,090","2,292",667,651,679,"1,062",895,"1,069","1,127",507,"1,066",568,"1,672","1,119",725,"1,202",656,"1,466","1,152",917,876,959,"1,084",763,"1,938",698
2020년08월_남_70~79세,"14,711","1,687",777,"1,309",998,326,315,379,592,422,428,515,218,501,115,674,502,388,369,317,611,442,436,496,330,460,278,615,211
2020년08월_남_80~89세,"4,988",482,286,471,339,125,157,126,290,215,178,251,95,199,30,228,161,142,89,81,189,130,137,156,78,106,70,117,60
2020년08월_남_90~99세,418,44,29,32,26,13,16,11,34,16,21,17,9,14,2,22,9,5,14,5,9,9,6,19,4,8,7,13,4
2020년08월_남_100세 이상,35,4,3,5,0,2,2,0,0,3,0,6,0,2,0,1,0,0,1,0,2,0,1,0,0,0,1,2,0
2020년08월_여_총인구수,"405,781","38,911","7,986","39,684","18,322","3,429","2,553","2,803","5,031","3,183","3,900","4,389","1,572","4,819","10,434","20,334","13,816","12,582","16,093","6,732","11,012","24,902","18,245","20,546","26,972","19,974","14,900","40,013","12,644"
2020년08월_여_연령구간인구수,"405,781","38,911","7,986","39,684","18,322","3,429","2,553","2,803","5,031","3,183","3,900","4,389","1,572","4,819","10,434","20,334","13,816","12,582","16,093","6,732","11,012","24,902","18,245","20,546","26,972","19,974","14,900","40,013","12,644"
2020년08월_여_0~9세,"51,554","4,155",469,"5,202","1,974",151,102,115,226,91,140,177,48,215,"1,987","2,228","1,308","1,306","2,234",666,885,"3,248","2,202","2,969","4,702","3,049","2,215","7,231","2,259"
2020년08월_여_10~19세,"46,688","4,859",714,"4,863","1,637",226,160,196,360,144,223,278,76,382,998,"1,956","1,534","2,003","1,924",892,"1,077","3,370","3,231","2,568","4,331","1,989","1,357","4,233","1,107"
2020년08월_여_20~29세,"46,947","4,563",706,"4,550","2,233",371,231,258,414,200,327,390,126,505,"1,175","3,049","2,165","1,438","1,937",771,"1,329","3,548","1,828","2,727","2,139","2,285","2,240","4,016","1,426"
2020년08월_여_30~39세,"72,413","5,476",664,"7,046","2,868",295,198,230,353,212,315,314,123,388,"2,400","3,913","2,138","1,666","3,031",802,"1,373","4,863","2,439","4,101","5,501","4,881","3,678","9,748","3,397"
2020년08월_여_40~49세,"75,229","7,392","1,138","7,537","2,849",432,251,329,608,320,472,469,133,614,"1,873","3,439","2,507","2,778","2,885","1,346","1,780","5,206","4,484","4,132","6,328","3,721","2,614","7,518","2,074"
2020년08월_여_50~59세,"52,420","5,679","1,496","4,790","2,942",672,529,551,914,675,832,859,336,952,"1,300","2,789","1,983","1,544","2,325","1,049","1,999","2,776","2,173","1,964","2,351","1,957","1,518","4,186","1,279"
